episode,reward,evacuated,died,avg_steps,avg_hp,epsilon,loss,duration,lr,evac_min,evac_max
1,-19516.06967496872,71,409,19.591548919677734,69.36619567871094,0.9488553267278022,0.036786284820552455,24.945791721343994,0.0003,3,14
2,-20076.30712032318,69,411,18.478261947631836,77.89855194091797,0.8986694950475276,0.02433276045436071,14.087936401367188,0.0002802714301553792,5,12
3,-14811.527304649353,108,372,21.953702926635742,74.53704071044922,0.8511380382023779,0.02722809679995654,14.373822450637817,0.00026184024853780535,7,17
4,-13823.98546409607,136,344,22.955883026123047,69.66912078857422,0.8061205638638923,0.032990836222671856,14.63815188407898,0.00024462113643310216,10,19
5,-8964.989413261414,144,336,21.72916603088379,73.4375,0.7655966069112582,0.047185265159766586,13.872676372528076,0.00022853438584779896,11,21
6,-7974.971688270569,150,330,22.380001068115234,70.16667175292969,0.727779804536826,0.08079420578750697,13.428903818130493,0.00021350553053747957,7,22
7,-3760.6647567749023,206,274,24.07767105102539,67.59709167480469,0.6918309709189385,0.10628155862743205,13.528977155685425,0.00019946500129940797,16,24
8,-4611.435862541199,201,279,21.87064552307129,76.36815643310547,0.6552393940159831,0.14108406979653795,14.362022638320923,0.0001863478039337655,15,23
9,-311.99172592163086,263,217,25.4372615814209,68.63117980957031,0.6194410750767835,0.19659997229693366,14.648083925247192,0.00017409321838276885,23,29
10,5354.6914620399475,269,211,23.31598472595215,73.14126586914062,0.586678266401979,0.25008438148740997,14.346693754196167,0.00016264451765497128,23,29
11,7912.231338500977,278,202,23.165468215942383,73.47122192382812,0.5556483128371277,0.308640060535932,14.404083967208862,0.00015194870523363544,26,32
12,10040.455940246582,285,195,22.301753997802734,77.10526275634766,0.5257750822566961,0.37731423527002333,14.393654108047485,0.00014195626975363053,24,32
13,6600.680046081543,280,200,19.30714225769043,81.16071319580078,0.49522208008852353,0.4507013921554272,15.134815216064453,0.00013262095581124278,23,31
14,12344.592674255371,302,178,20.105960845947266,82.61589050292969,0.46859753530862797,0.47212698807319003,14.385857105255127,0.00012389954984596787,27,34
15,14074.393157958984,309,171,20.530744552612305,82.36246490478516,0.4425883723626284,0.519926963794616,14.727635622024536,0.0001157516801031237,27,34
16,15481.859413146973,304,176,18.894737243652344,85.3618392944336,0.4187935651179202,0.5509245559573174,14.328619480133057,0.00010813962975130146,25,34
17,14782.240928649902,297,183,18.070707321166992,85.94275665283203,0.39700867811218615,0.5896459725396387,13.719294548034668,0.00010102816228956819,25,33
18,14659.841606140137,300,180,16.99333381652832,87.25,0.37705091583339506,0.6476728463811534,13.484778642654419,9.438435843622342e-05,24,35
19,15969.471168518066,297,183,16.865320205688477,87.03703308105469,0.35677958828856443,0.6287114540735881,14.167278528213501,8.81774637440609e-05,25,35
20,19507.369743347168,329,151,19.395137786865234,81.61094665527344,0.33697679858440577,0.6875895204082612,14.316773176193237,8.237874623674016e-05,30,36
21,22122.261604309082,326,154,18.472393035888672,82.66870880126953,0.318566423657313,0.7265641630673018,14.36009407043457,7.696136340726076e-05,25,38
22,25622.010330200195,349,131,19.939828872680664,78.6532974243164,0.30060763026282505,0.7429408222909958,15.498494386672974,7.190023796286947e-05,27,39
23,22707.72585296631,341,139,19.170087814331055,79.91202545166016,0.2847082159799305,0.7646030298734116,13.931242227554321,6.71719417412184e-05,29,38
24,25417.55184173584,334,146,18.206586837768555,82.26048278808594,0.26964973635434375,0.7998110096333391,13.641968965530396,6.275458726041699e-05,27,37
25,25802.877555847168,335,145,17.346269607543945,84.62686920166016,0.2551526010909684,0.8051539381345113,14.47269058227539,5.8627726400958704e-05,27,38
26,29250.007514953613,368,112,20.415761947631836,76.90217590332031,0.24032558049332572,0.8350478016413175,14.710804462432861,5.47722557505166e-05,32,40
27,28030.54615020752,352,128,18.91193199157715,80.18466186523438,0.2265687455012928,0.8475830527022481,15.218358755111694,5.117032817344494e-05,28,41
28,28344.26572418213,368,112,20.211956024169922,77.51358795166016,0.2139932132455958,0.8408924716134225,14.490633964538574,4.780527019563836e-05,31,42
29,27374.34553527832,352,128,18.480113983154297,80.96591186523438,0.2028616716966308,0.8720796519312365,13.629650831222534,4.4661504822319626e-05,29,38
30,24315.871170043945,341,139,18.219942092895508,80.49853515625,0.19266374595240954,0.8616686133401734,12.181779384613037,4.172447943147629e-05,27,39
31,33700.94976043701,374,106,19.941177368164062,76.53743743896484,0.18180256237742773,0.8494071714461796,12.193612575531006,3.8980598409161886e-05,34,41
32,31184.847579956055,377,103,20.26525115966797,76.52519989013672,0.1721868574986021,0.8617803848395913,11.284777164459229,3.641716021482767e-05,31,41
33,33259.87483215332,366,114,19.726776123046875,76.57103729248047,0.16307973610236093,0.8740759380793167,9.597387313842773,3.402229858535777e-05,32,41
34,43380.17663574219,392,88,22.132652282714844,73.4693832397461,0.1533204199034931,0.8733080963590252,9.798048734664917,3.178492760563852e-05,35,45
35,37265.60823059082,390,90,20.5205135345459,74.16667175292969,0.14507747890889275,0.8911878963311514,8.773366928100586,2.9694690391391673e-05,32,44
36,40124.710678100586,383,97,19.412532806396484,77.67623901367188,0.13715132259365018,0.899028266062502,8.95086932182312,2.7741911146721807e-05,30,46
37,42609.62959289551,395,85,20.49620246887207,76.77215576171875,0.12930043917962952,0.9069609539583325,9.200176477432251,2.591755037445059e-05,34,47
38,39293.36859893799,393,87,20.078880310058594,76.52671813964844,0.12234888053268296,0.8949502825736999,8.817938804626465,2.4213163031904505e-05,35,43
39,36415.729263305664,362,118,17.67127227783203,79.76519775390625,0.1159845121190181,0.9027901374060532,8.890510082244873,2.2620859438457447e-05,32,40
40,37601.43167114258,366,114,19.035518646240234,81.2158432006836,0.10974885550989612,0.9351028869549434,9.496397256851196,2.1133268753867592e-05,29,42
41,44610.81303405762,377,103,19.177719116210938,79.11140441894531,0.10337130523505972,0.9302832594284645,9.415303230285645,1.97435048583482e-05,29,43
42,40842.84461975098,399,81,20.478696823120117,74.68671417236328,0.09781377043229988,0.9571651965379715,8.675777673721313,1.8445134476429758e-05,36,45
43,48977.638275146484,420,60,22.230953216552734,72.67857360839844,0.09204495717531837,0.9971502351038384,8.295528888702393,1.7232147397057535e-05,36,47
44,42326.850494384766,391,89,21.051151275634766,75.8311996459961,0.08693606925094287,1.0098721932980321,6.74037504196167,1.6098928652072037e-05,34,44
45,45115.08606719971,384,96,19.9609375,78.77604675292969,0.08188417919005243,1.0226404373462383,6.920492172241211,1.504023252428547e-05,29,43
46,42927.41606140137,401,79,19.9825439453125,77.49376678466797,0.07748185327756317,1.0403592576583227,6.4393839836120605,1.405115826483646e-05,28,45
