episode,reward,evacuated,died,avg_steps,avg_hp,epsilon,loss,duration,lr,evac_min,evac_max
1,-23785.109395742416,50,430,11.639999389648438,96.0,0.9462371613657939,0.6367534580330054,26.496351957321167,0.0003,2,8
2,-25721.57141160965,71,409,11.028168678283691,97.18309783935547,0.8920721887252705,0.1069860506686382,9.242727518081665,0.0002802714301553792,3,11
3,-27101.950669765472,87,393,14.298850059509277,96.83908081054688,0.8394599865193987,0.14563501513365543,9.84264087677002,0.00026184024853780535,5,14
4,-23072.75932121277,107,373,14.504672050476074,98.83177185058594,0.793596968195771,0.2798033178341193,9.51395559310913,0.00024462113643310216,8,14
5,-26848.30414581299,146,334,15.075342178344727,98.45890045166016,0.746105085193065,0.4657003345774181,9.844194650650024,0.00022853438584779896,11,20
6,-20614.780163764954,158,322,15.411393165588379,94.30380249023438,0.7066429004252096,0.6913795592421192,8.959748029708862,0.00021350553053747957,10,21
7,-28395.740022063255,180,300,16.69444465637207,95.97222137451172,0.6619116119411229,0.8762908309278353,10.766844511032104,0.00019946500129940797,14,25
8,-23833.796036958694,221,259,17.714933395385742,95.70136260986328,0.6228737089440308,1.3602920644211047,9.922212600708008,0.0001863478039337655,18,29
9,-23872.670852661133,234,246,15.89743709564209,95.51282501220703,0.5872188659713051,1.90583479963243,9.667588233947754,0.00017409321838276885,16,27
10,-21123.83599638939,266,214,16.308271408081055,97.18045043945312,0.5546257129579125,2.5658052073371027,9.648338556289673,0.00016264451765497128,20,32
11,-20398.87868618965,268,212,16.80223846435547,95.70895385742188,0.5243243172456393,3.2826715473268853,8.997481346130371,0.00015194870523363544,22,31
12,-21543.919171333313,288,192,16.05555534362793,96.18055725097656,0.49476617368167836,4.247715219618782,10.136697053909302,0.00014195626975363053,20,33
13,-22444.372135162354,293,187,16.06825828552246,97.86688995361328,0.4660151117021861,5.469754556509165,9.833313941955566,0.00013262095581124278,23,35
14,-20184.13964176178,317,163,16.425867080688477,97.08202362060547,0.44055486350655515,7.0696563720703125,9.041362285614014,0.00012389954984596787,24,37
15,-25286.59693622589,337,143,16.54006004333496,97.10682678222656,0.41342810804713637,8.952721412631048,10.398056745529175,0.0001157516801031237,28,38
16,-21842.15137386322,330,150,15.781817436218262,97.2727279663086,0.39012160295267795,10.07187004694863,8.827863216400146,0.00010813962975130146,26,39
17,-21027.59299850464,350,130,15.871428489685059,97.28571319580078,0.3681289736425336,11.6412063250466,9.59007453918457,0.00010102816228956819,29,41
18,-21003.703989982605,349,131,15.573066711425781,98.20917510986328,0.3473761519726548,12.446998618897938,9.461458206176758,9.438435843622342e-05,26,41
19,-23679.397575378418,356,124,15.160112380981445,97.82303619384766,0.3265878321723378,13.788868605200925,10.06169581413269,8.81774637440609e-05,29,42
20,-20936.024433135986,363,117,15.104683876037598,96.90082550048828,0.30817684166115317,16.10625681801448,9.253836870193481,8.237874623674016e-05,33,40
21,-21678.605396270752,366,114,14.928961753845215,97.60928344726562,0.29053603143031653,18.545481637120247,9.48715591430664,7.696136340726076e-05,32,41
22,-23039.77820968628,381,99,15.209973335266113,98.55642700195312,0.27340093785056285,21.956215598366477,9.129000902175903,7.190023796286947e-05,33,44
23,-24324.798106193542,379,101,14.67546272277832,97.69129943847656,0.25656652970348826,24.911875710971113,9.996612310409546,6.71719417412184e-05,34,43
24,-22715.97380065918,374,106,14.473262786865234,98.12834167480469,0.2414348729714165,25.530000253157183,8.963402509689331,6.275458726041699e-05,28,42
25,-20446.683105945587,387,93,15.059432029724121,98.6434097290039,0.22803420720004325,27.956876847051806,9.164554357528687,5.8627726400958704e-05,32,44
26,-21664.072649002075,381,99,13.9606294631958,97.90026092529297,0.21498096103893738,30.334666341543198,9.10213303565979,5.47722557505166e-05,34,42
27,-20945.44700717926,379,101,14.218997955322266,98.54882049560547,0.20267491520989805,34.300107300281525,8.800804138183594,5.117032817344494e-05,30,43
28,-23575.636474132538,385,95,14.155843734741211,98.37662506103516,0.19054607179632618,34.3461105005065,9.584476947784424,4.780527019563836e-05,34,45
29,-26549.708287715912,391,89,14.145779609680176,98.33759307861328,0.17848429164980212,36.75952621245048,9.776549816131592,4.4661504822319626e-05,31,45
30,-20136.29807949066,393,87,13.829516410827637,98.79135131835938,0.16857765178289907,41.10099420239848,8.393818378448486,4.172447943147629e-05,33,45
31,-20042.33486366272,394,86,14.426395416259766,98.73096466064453,0.15936758810287827,42.71191177993524,9.283885717391968,3.8980598409161886e-05,35,44
32,-22010.33467245102,406,74,14.01970386505127,99.07635498046875,0.1501066732570386,43.74079446059007,8.652978897094727,3.641716021482767e-05,38,45
33,-20533.423429489136,393,87,13.4020357131958,99.17302703857422,0.1417751123122016,45.37362584760112,8.603516340255737,3.402229858535777e-05,35,44
34,-21708.36639690399,402,78,13.763681411743164,99.00497436523438,0.13365955165464585,48.31116509437561,8.656266212463379,3.178492760563852e-05,37,44
35,-18392.082036972046,409,71,13.870416641235352,99.44988250732422,0.12647363474711665,50.98084417978922,8.585894584655762,2.9694690391391673e-05,34,44
36,-23287.246470451355,411,69,14.068126678466797,99.27007293701172,0.11890496789851127,53.067542802042034,9.633916139602661,2.7741911146721807e-05,35,46
37,-19618.431204795837,401,79,13.812968254089355,98.62843322753906,0.11240871934697437,55.5986460701364,8.46019196510315,2.591755037445059e-05,36,44
38,-22331.299478530884,393,87,13.256997108459473,99.5547103881836,0.10587660331137105,58.34811119666466,9.124646425247192,2.4213163031904505e-05,33,44
39,-25074.588691711426,406,74,13.591133117675781,98.95320129394531,0.09935735005868573,58.95748326398324,9.380674123764038,2.2620859438457447e-05,38,44
40,-25696.960836410522,410,70,13.504878044128418,99.32926940917969,0.09323951375406457,61.208142709040985,9.090707540512085,2.1133268753867592e-05,37,45
41,-21795.602096557617,405,75,13.204938888549805,98.95062255859375,0.08790225168308967,64.17720222473145,8.99204397201538,1.97435048583482e-05,38,43
42,-21229.535181999207,407,73,13.304668426513672,99.20146942138672,0.08294686950952751,70.05985629369341,8.56897258758545,1.8445134476429758e-05,35,45
43,-24606.444185256958,407,73,12.992629051208496,99.6314468383789,0.07791121911131045,69.53614206875072,9.15940809249878,1.7232147397057535e-05,38,44
44,-20194.86196231842,415,65,13.40000057220459,98.97590637207031,0.0735190692071578,69.14768715510293,8.727926015853882,1.6098928652072037e-05,38,44
45,-19414.17790365219,404,76,13.059405326843262,99.13365936279297,0.06943844712409933,70.99121992049679,8.476868867874146,1.504023252428547e-05,36,44
46,-19923.192814350128,411,69,13.260340690612793,99.3917236328125,0.06558431698067387,72.74764060974121,9.313433170318604,1.405115826483646e-05,37,44
47,-21738.571201324463,411,69,13.401459693908691,99.02676391601562,0.06183010727517239,73.7863774895668,9.05331802368164,1.3127127407417639e-05,36,44
48,-23317.306670188904,404,76,13.081683158874512,99.13365936279297,0.05818352110480817,73.3824770378344,9.725452184677124,1.2263862574362724e-05,35,45
49,-23551.18054497242,405,75,13.330864906311035,99.38272094726562,0.05470159628939813,81.26872970808797,9.618149995803833,1.1457367676485572e-05,37,45
50,-20355.0820646286,408,72,13.338235855102539,99.32598114013672,0.05166542425669593,81.39635399849185,8.465956449508667,1.0703909415015418e-05,36,46
