Using device: cuda
EP   1 | time  9.59s | reward -22759.7 | evac  66 | died 414 | eps 0.946 | lr 0.00028 | loss  0.638
EP   2 | time  9.16s | reward -24158.7 | evac  72 | died 408 | eps 0.891 | lr 0.00026 | loss  0.116
EP   3 | time  9.24s | reward -20903.8 | evac  83 | died 397 | eps 0.843 | lr 0.00024 | loss  0.175
EP   4 | time  8.57s | reward -20123.5 | evac 111 | died 369 | eps 0.798 | lr 0.00023 | loss  0.394
EP   5 | time  8.76s | reward -18558.3 | evac 121 | died 359 | eps 0.756 | lr 0.00021 | loss  0.657
EP   6 | time  8.99s | reward -20108.5 | evac 148 | died 332 | eps 0.716 | lr 0.00020 | loss  1.008
EP   7 | time  8.59s | reward -19841.3 | evac 164 | died 316 | eps 0.677 | lr 0.00019 | loss  1.588
EP   8 | time  9.38s | reward -22944.6 | evac 167 | died 313 | eps 0.637 | lr 0.00017 | loss  2.318
EP   9 | time  9.36s | reward -23953.3 | evac 188 | died 292 | eps 0.599 | lr 0.00016 | loss  2.993
EP  10 | time  7.92s | reward -18202.5 | evac 210 | died 270 | eps 0.568 | lr 0.00015 | loss  3.797
EP  11 | time  9.67s | reward -23170.1 | evac 223 | died 257 | eps 0.534 | lr 0.00014 | loss  5.819
EP  12 | time  8.48s | reward -20666.9 | evac 236 | died 244 | eps 0.504 | lr 0.00013 | loss  6.942
EP  13 | time  7.94s | reward -17578.2 | evac 247 | died 233 | eps 0.477 | lr 0.00012 | loss  9.188
EP  14 | time  8.75s | reward -20738.7 | evac 243 | died 237 | eps 0.450 | lr 0.00012 | loss 10.320
EP  15 | time  8.37s | reward -22215.4 | evac 277 | died 203 | eps 0.424 | lr 0.00011 | loss 12.946
EP  16 | time  8.56s | reward -17380.5 | evac 275 | died 205 | eps 0.401 | lr 0.00010 | loss 14.539
EP  17 | time  7.94s | reward -15779.1 | evac 279 | died 201 | eps 0.381 | lr 0.00009 | loss 17.118
EP  18 | time  8.24s | reward -19835.9 | evac 271 | died 209 | eps 0.359 | lr 0.00009 | loss 19.115
EP  19 | time  8.49s | reward -20573.9 | evac 284 | died 196 | eps 0.339 | lr 0.00008 | loss 21.861
EP  20 | time  8.06s | reward -19717.2 | evac 307 | died 173 | eps 0.320 | lr 0.00008 | loss 22.713
EP  21 | time  8.43s | reward -15889.6 | evac 309 | died 171 | eps 0.303 | lr 0.00007 | loss 27.441
EP  22 | time  8.37s | reward -22079.4 | evac 310 | died 170 | eps 0.285 | lr 0.00007 | loss 30.393
EP  23 | time  8.68s | reward -20707.3 | evac 315 | died 165 | eps 0.269 | lr 0.00006 | loss 35.190
EP  24 | time  8.80s | reward -19954.3 | evac 318 | died 162 | eps 0.253 | lr 0.00006 | loss 38.551
EP  25 | time  8.17s | reward -18896.8 | evac 315 | died 165 | eps 0.239 | lr 0.00005 | loss 40.842
EP  26 | time  8.49s | reward -17320.4 | evac 326 | died 154 | eps 0.226 | lr 0.00005 | loss 44.759
EP  27 | time  7.69s | reward -16263.9 | evac 325 | died 155 | eps 0.214 | lr 0.00005 | loss 49.675
EP  28 | time  8.47s | reward -19829.8 | evac 336 | died 144 | eps 0.202 | lr 0.00004 | loss 54.773
EP  29 | time  8.58s | reward -18965.5 | evac 336 | died 144 | eps 0.191 | lr 0.00004 | loss 55.735
EP  30 | time  7.81s | reward -17159.7 | evac 322 | died 158 | eps 0.180 | lr 0.00004 | loss 56.968
EP  31 | time  8.66s | reward -20276.8 | evac 334 | died 146 | eps 0.170 | lr 0.00004 | loss 60.390
EP  32 | time  8.17s | reward -17739.5 | evac 333 | died 147 | eps 0.161 | lr 0.00003 | loss 66.385
EP  33 | time  7.69s | reward -16143.7 | evac 341 | died 139 | eps 0.152 | lr 0.00003 | loss 69.503
EP  34 | time  7.91s | reward -17086.3 | evac 338 | died 142 | eps 0.144 | lr 0.00003 | loss 75.068
EP  35 | time  7.27s | reward -15963.6 | evac 349 | died 131 | eps 0.137 | lr 0.00003 | loss 79.212
EP  36 | time  8.56s | reward -18753.6 | evac 326 | died 154 | eps 0.129 | lr 0.00003 | loss 79.396
EP  37 | time  8.14s | reward -19182.9 | evac 352 | died 128 | eps 0.122 | lr 0.00002 | loss 85.955
EP  38 | time  8.30s | reward -15792.0 | evac 348 | died 132 | eps 0.115 | lr 0.00002 | loss 90.052
EP  39 | time  7.60s | reward -16051.5 | evac 346 | died 134 | eps 0.109 | lr 0.00002 | loss 91.959
EP  40 | time  9.05s | reward -20416.1 | evac 348 | died 132 | eps 0.103 | lr 0.00002 | loss 96.538
EP  41 | time 11.08s | reward -20322.1 | evac 361 | died 119 | eps 0.097 | lr 0.00002 | loss 98.014
EP  42 | time  8.37s | reward -15910.3 | evac 348 | died 132 | eps 0.092 | lr 0.00002 | loss 100.359
EP  43 | time  9.23s | reward -15631.1 | evac 343 | died 137 | eps 0.087 | lr 0.00002 | loss 99.342
EP  44 | time 10.43s | reward -18882.9 | evac 346 | died 134 | eps 0.082 | lr 0.00002 | loss 102.717
EP  45 | time  9.09s | reward -21802.8 | evac 360 | died 120 | eps 0.078 | lr 0.00001 | loss 107.956
EP  46 | time  8.85s | reward -19604.9 | evac 347 | died 133 | eps 0.073 | lr 0.00001 | loss 111.124
EP  47 | time  7.22s | reward -18035.2 | evac 346 | died 134 | eps 0.069 | lr 0.00001 | loss 107.082
EP  48 | time  8.30s | reward -21013.8 | evac 348 | died 132 | eps 0.065 | lr 0.00001 | loss 113.641
EP  49 | time  6.50s | reward -15239.2 | evac 346 | died 134 | eps 0.062 | lr 0.00001 | loss 110.712
EP  50 | time  6.35s | reward -15750.9 | evac 349 | died 131 | eps 0.059 | lr 0.00001 | loss 116.306
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_0_DuelingDDQN.csv
