Using device: cuda
EP   1 | time  8.86s | reward -14184.9 | evac  89 | died 391 | eps 0.953 | lr 0.00028 | loss  0.234
EP   2 | time  8.94s | reward -13569.7 | evac  88 | died 392 | eps 0.902 | lr 0.00026 | loss  0.062
EP   3 | time  8.61s | reward  -1228.6 | evac 169 | died 311 | eps 0.859 | lr 0.00024 | loss  0.084
EP   4 | time  8.49s | reward    880.2 | evac 154 | died 326 | eps 0.816 | lr 0.00023 | loss  0.160
EP   5 | time 10.37s | reward  12532.8 | evac 237 | died 243 | eps 0.766 | lr 0.00021 | loss  0.328
EP   6 | time  9.30s | reward  13184.2 | evac 265 | died 215 | eps 0.727 | lr 0.00020 | loss  0.524
EP   7 | time  9.05s | reward  12806.7 | evac 232 | died 248 | eps 0.690 | lr 0.00019 | loss  0.812
EP   8 | time  9.01s | reward  16408.3 | evac 270 | died 210 | eps 0.655 | lr 0.00017 | loss  1.060
EP   9 | time  9.79s | reward  19610.6 | evac 289 | died 191 | eps 0.620 | lr 0.00016 | loss  1.338
EP  10 | time  9.19s | reward  22362.1 | evac 313 | died 167 | eps 0.587 | lr 0.00015 | loss  1.427
EP  11 | time  9.71s | reward  24710.0 | evac 331 | died 149 | eps 0.557 | lr 0.00014 | loss  1.871
EP  12 | time  9.61s | reward  29013.2 | evac 337 | died 143 | eps 0.528 | lr 0.00013 | loss  2.143
EP  13 | time  9.37s | reward  31123.9 | evac 363 | died 117 | eps 0.500 | lr 0.00012 | loss  2.529
EP  14 | time  9.44s | reward  28867.2 | evac 321 | died 159 | eps 0.475 | lr 0.00012 | loss  2.791
EP  15 | time  9.45s | reward  31243.3 | evac 379 | died 101 | eps 0.452 | lr 0.00011 | loss  3.381
EP  16 | time  9.25s | reward  37233.2 | evac 390 | died  90 | eps 0.429 | lr 0.00010 | loss  3.664
EP  17 | time  9.54s | reward  37902.9 | evac 394 | died  86 | eps 0.406 | lr 0.00009 | loss  3.898
EP  18 | time 10.62s | reward  42006.7 | evac 396 | died  84 | eps 0.384 | lr 0.00009 | loss  4.423
EP  19 | time 10.32s | reward  45651.1 | evac 420 | died  60 | eps 0.363 | lr 0.00008 | loss  4.720
EP  20 | time  9.59s | reward  42543.9 | evac 434 | died  46 | eps 0.344 | lr 0.00008 | loss  4.823
EP  21 | time 11.24s | reward  48865.5 | evac 411 | died  69 | eps 0.324 | lr 0.00007 | loss  5.055
EP  22 | time 10.82s | reward  41667.9 | evac 387 | died  93 | eps 0.307 | lr 0.00007 | loss  4.909
EP  23 | time 11.42s | reward  53065.1 | evac 422 | died  58 | eps 0.289 | lr 0.00006 | loss  4.847
EP  24 | time 10.31s | reward  41334.6 | evac 422 | died  58 | eps 0.273 | lr 0.00006 | loss  4.944
EP  25 | time 11.01s | reward  43955.6 | evac 411 | died  69 | eps 0.259 | lr 0.00005 | loss  4.813
EP  26 | time 10.82s | reward  42496.0 | evac 423 | died  57 | eps 0.246 | lr 0.00005 | loss  4.443
EP  27 | time 11.47s | reward  45125.9 | evac 394 | died  86 | eps 0.232 | lr 0.00005 | loss  4.555
EP  28 | time 11.45s | reward  46310.7 | evac 405 | died  75 | eps 0.220 | lr 0.00004 | loss  4.358
EP  29 | time 11.45s | reward  42303.0 | evac 392 | died  88 | eps 0.208 | lr 0.00004 | loss  4.280
EP  30 | time 10.88s | reward  37751.1 | evac 386 | died  94 | eps 0.197 | lr 0.00004 | loss  4.169
EP  31 | time 12.41s | reward  44998.1 | evac 372 | died 108 | eps 0.186 | lr 0.00004 | loss  4.063
EP  32 | time 11.73s | reward  45499.1 | evac 390 | died  90 | eps 0.176 | lr 0.00003 | loss  4.025
EP  33 | time 12.85s | reward  46396.0 | evac 398 | died  82 | eps 0.167 | lr 0.00003 | loss  4.178
EP  34 | time 16.13s | reward  46195.0 | evac 394 | died  86 | eps 0.158 | lr 0.00003 | loss  4.065
EP  35 | time 14.69s | reward  45620.3 | evac 399 | died  81 | eps 0.149 | lr 0.00003 | loss  3.598
EP  36 | time 15.70s | reward  46180.8 | evac 410 | died  70 | eps 0.142 | lr 0.00003 | loss  3.904
EP  37 | time 12.86s | reward  45958.1 | evac 406 | died  74 | eps 0.134 | lr 0.00002 | loss  3.944
EP  38 | time 13.08s | reward  46867.3 | evac 402 | died  78 | eps 0.127 | lr 0.00002 | loss  3.402
