Using device: cuda
EP   1 | time  8.40s | reward -15143.7 | evac 113 | died 367 | eps  nan | lr 0.00028 | loss  1.147
EP   2 | time  7.54s | reward  22455.1 | evac 380 | died 100 | eps  nan | lr 0.00026 | loss  0.533
EP   3 | time  8.54s | reward  31846.9 | evac 350 | died 130 | eps  nan | lr 0.00024 | loss  0.550
EP   4 | time  7.56s | reward  37174.2 | evac 352 | died 128 | eps  nan | lr 0.00023 | loss  0.478
EP   5 | time  7.98s | reward  37684.3 | evac 359 | died 121 | eps  nan | lr 0.00021 | loss  0.660
EP   6 | time  7.53s | reward  42268.9 | evac 394 | died  86 | eps  nan | lr 0.00020 | loss  0.834
EP   7 | time  8.00s | reward  48306.8 | evac 420 | died  60 | eps  nan | lr 0.00019 | loss  1.242
EP   8 | time  7.00s | reward  49087.4 | evac 431 | died  49 | eps  nan | lr 0.00017 | loss  1.330
EP   9 | time  7.39s | reward  49780.0 | evac 438 | died  42 | eps  nan | lr 0.00016 | loss  1.943
EP  10 | time  7.08s | reward  50642.7 | evac 445 | died  35 | eps  nan | lr 0.00015 | loss  2.663
EP  11 | time  8.00s | reward  57317.4 | evac 451 | died  29 | eps  nan | lr 0.00014 | loss  3.120
EP  12 | time  7.32s | reward  54099.7 | evac 451 | died  29 | eps  nan | lr 0.00013 | loss  3.029
EP  13 | time  7.61s | reward  52349.5 | evac 443 | died  37 | eps  nan | lr 0.00012 | loss  2.903
EP  14 | time  6.69s | reward  47522.3 | evac 440 | died  40 | eps  nan | lr 0.00012 | loss  2.874
EP  15 | time  7.37s | reward  49552.2 | evac 442 | died  38 | eps  nan | lr 0.00011 | loss  3.209
EP  16 | time  7.32s | reward  45660.4 | evac 438 | died  42 | eps  nan | lr 0.00010 | loss  2.908
EP  17 | time  7.81s | reward  48139.7 | evac 426 | died  54 | eps  nan | lr 0.00009 | loss  2.881
EP  18 | time  6.96s | reward  44806.9 | evac 432 | died  48 | eps  nan | lr 0.00009 | loss  2.897
EP  19 | time  7.82s | reward  45807.3 | evac 414 | died  66 | eps  nan | lr 0.00008 | loss  2.866
EP  20 | time  7.73s | reward  42669.1 | evac 412 | died  68 | eps  nan | lr 0.00008 | loss  2.516
EP  21 | time  7.10s | reward  38403.1 | evac 415 | died  65 | eps  nan | lr 0.00007 | loss  2.202
EP  22 | time  9.33s | reward  47593.4 | evac 418 | died  62 | eps  nan | lr 0.00007 | loss  2.149
EP  23 | time  8.16s | reward  48759.0 | evac 406 | died  74 | eps  nan | lr 0.00006 | loss  1.907
EP  24 | time  8.66s | reward  50949.7 | evac 407 | died  73 | eps  nan | lr 0.00006 | loss  1.819
EP  25 | time  8.07s | reward  36650.1 | evac 386 | died  94 | eps  nan | lr 0.00005 | loss  1.805
EP  26 | time  7.45s | reward  36021.3 | evac 380 | died 100 | eps  nan | lr 0.00005 | loss  1.781
EP  27 | time  8.09s | reward  39369.2 | evac 396 | died  84 | eps  nan | lr 0.00005 | loss  1.757
EP  28 | time  7.61s | reward  38021.5 | evac 393 | died  87 | eps  nan | lr 0.00004 | loss  1.663
EP  29 | time  8.54s | reward  39335.3 | evac 387 | died  93 | eps  nan | lr 0.00004 | loss  1.634
EP  30 | time  8.16s | reward  43061.1 | evac 405 | died  75 | eps  nan | lr 0.00004 | loss  1.558
EP  31 | time  7.84s | reward  34294.6 | evac 382 | died  98 | eps  nan | lr 0.00004 | loss  1.618
EP  32 | time  7.91s | reward  38095.1 | evac 397 | died  83 | eps  nan | lr 0.00003 | loss  1.442
EP  33 | time  7.79s | reward  39393.4 | evac 391 | died  89 | eps  nan | lr 0.00003 | loss  1.488
EP  34 | time  8.24s | reward  44491.9 | evac 418 | died  62 | eps  nan | lr 0.00003 | loss  1.459
EP  35 | time  7.40s | reward  40968.3 | evac 390 | died  90 | eps  nan | lr 0.00003 | loss  1.389
EP  36 | time  8.45s | reward  45479.3 | evac 400 | died  80 | eps  nan | lr 0.00003 | loss  1.498
EP  37 | time  7.40s | reward  40300.1 | evac 404 | died  76 | eps  nan | lr 0.00002 | loss  1.513
EP  38 | time  7.68s | reward  43480.9 | evac 404 | died  76 | eps  nan | lr 0.00002 | loss  1.519
EP  39 | time  8.63s | reward  47771.0 | evac 413 | died  67 | eps  nan | lr 0.00002 | loss  1.539
EP  40 | time  7.58s | reward  44330.9 | evac 415 | died  65 | eps  nan | lr 0.00002 | loss  1.727
EP  41 | time  8.19s | reward  43062.2 | evac 399 | died  81 | eps  nan | lr 0.00002 | loss  1.657
EP  42 | time  7.57s | reward  48630.4 | evac 417 | died  63 | eps  nan | lr 0.00002 | loss  1.528
EP  43 | time  8.98s | reward  43793.7 | evac 395 | died  85 | eps  nan | lr 0.00002 | loss  1.594
EP  44 | time  9.14s | reward  44662.1 | evac 406 | died  74 | eps  nan | lr 0.00002 | loss  1.536
EP  45 | time  9.67s | reward  45457.0 | evac 416 | died  64 | eps  nan | lr 0.00001 | loss  1.690
EP  46 | time  8.73s | reward  42862.2 | evac 407 | died  73 | eps  nan | lr 0.00001 | loss  1.540
EP  47 | time  9.37s | reward  52063.4 | evac 416 | died  64 | eps  nan | lr 0.00001 | loss  1.686
EP  48 | time  9.52s | reward  41710.0 | evac 417 | died  63 | eps  nan | lr 0.00001 | loss  1.548
EP  49 | time  7.78s | reward  43744.9 | evac 412 | died  68 | eps  nan | lr 0.00001 | loss  1.813
EP  50 | time  8.35s | reward  43849.7 | evac 411 | died  69 | eps  nan | lr 0.00001 | loss  1.696
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_0_NoisyDuelingDDQN.csv
