Using device: cuda
EP   1 | time 26.04s | reward -17876.2 | evac  15 | died 465 | eps  nan | lr 0.00028 | loss  1.232
EP   2 | time 10.33s | reward -21836.7 | evac  23 | died 457 | eps  nan | lr 0.00026 | loss  0.401
EP   3 | time 11.09s | reward -11837.7 | evac  45 | died 435 | eps  nan | lr 0.00024 | loss  0.242
EP   4 | time 11.97s | reward  -9137.3 | evac  60 | died 420 | eps  nan | lr 0.00023 | loss  0.252
EP   5 | time 11.85s | reward -11859.1 | evac  77 | died 403 | eps  nan | lr 0.00021 | loss  0.230
EP   6 | time 12.28s | reward  -5198.5 | evac 121 | died 359 | eps  nan | lr 0.00020 | loss  0.257
EP   7 | time 10.97s | reward  -1387.4 | evac 120 | died 360 | eps  nan | lr 0.00019 | loss  0.249
EP   8 | time 10.56s | reward   5969.6 | evac 157 | died 323 | eps  nan | lr 0.00017 | loss  0.258
EP   9 | time 11.49s | reward  50082.9 | evac 332 | died 148 | eps  nan | lr 0.00016 | loss  0.402
EP  10 | time 11.05s | reward  33490.0 | evac 288 | died 192 | eps  nan | lr 0.00015 | loss  0.515
EP  11 | time 10.14s | reward  41454.7 | evac 328 | died 152 | eps  nan | lr 0.00014 | loss  0.917
EP  12 | time  9.53s | reward  54685.1 | evac 396 | died  84 | eps  nan | lr 0.00013 | loss  1.239
EP  13 | time 10.01s | reward  64235.0 | evac 412 | died  68 | eps  nan | lr 0.00012 | loss  1.662
EP  14 | time  8.65s | reward  45941.9 | evac 389 | died  91 | eps  nan | lr 0.00012 | loss  2.117
EP  15 | time  9.13s | reward  46262.1 | evac 392 | died  88 | eps  nan | lr 0.00011 | loss  2.585
EP  16 | time  9.20s | reward  42424.4 | evac 369 | died 111 | eps  nan | lr 0.00010 | loss  3.020
EP  17 | time  9.47s | reward  42587.4 | evac 381 | died  99 | eps  nan | lr 0.00009 | loss  2.900
EP  18 | time  9.93s | reward  45298.4 | evac 390 | died  90 | eps  nan | lr 0.00009 | loss  3.501
EP  19 | time  9.42s | reward  45921.3 | evac 388 | died  92 | eps  nan | lr 0.00008 | loss  4.144
EP  20 | time  8.67s | reward  44474.4 | evac 412 | died  68 | eps  nan | lr 0.00008 | loss  4.306
EP  21 | time  9.75s | reward  51281.8 | evac 380 | died 100 | eps  nan | lr 0.00007 | loss  5.094
EP  22 | time  8.86s | reward  50037.4 | evac 398 | died  82 | eps  nan | lr 0.00007 | loss  5.731
EP  23 | time  8.97s | reward  44834.9 | evac 385 | died  95 | eps  nan | lr 0.00006 | loss  6.221
EP  24 | time  9.52s | reward  46137.5 | evac 365 | died 115 | eps  nan | lr 0.00006 | loss  6.129
EP  25 | time  9.16s | reward  48803.5 | evac 391 | died  89 | eps  nan | lr 0.00005 | loss  6.165
EP  26 | time  8.72s | reward  52327.5 | evac 419 | died  61 | eps  nan | lr 0.00005 | loss  7.190
EP  27 | time  9.85s | reward  57330.8 | evac 394 | died  86 | eps  nan | lr 0.00005 | loss  7.248
EP  28 | time 10.95s | reward  51140.3 | evac 386 | died  94 | eps  nan | lr 0.00004 | loss  7.297
EP  29 | time  8.96s | reward  50843.7 | evac 395 | died  85 | eps  nan | lr 0.00004 | loss  7.428
EP  30 | time  8.91s | reward  50502.2 | evac 403 | died  77 | eps  nan | lr 0.00004 | loss  7.559
EP  31 | time 10.62s | reward  59580.2 | evac 405 | died  75 | eps  nan | lr 0.00004 | loss  7.714
EP  32 | time  8.65s | reward  45435.3 | evac 392 | died  88 | eps  nan | lr 0.00003 | loss  8.214
EP  33 | time 10.05s | reward  50670.7 | evac 396 | died  84 | eps  nan | lr 0.00003 | loss  8.297
EP  34 | time  9.35s | reward  47524.2 | evac 395 | died  85 | eps  nan | lr 0.00003 | loss  7.678
EP  35 | time  8.89s | reward  46011.7 | evac 396 | died  84 | eps  nan | lr 0.00003 | loss  7.590
EP  36 | time 10.08s | reward  53064.3 | evac 394 | died  86 | eps  nan | lr 0.00003 | loss  7.969
EP  37 | time  8.93s | reward  50492.4 | evac 404 | died  76 | eps  nan | lr 0.00002 | loss  7.575
EP  38 | time 10.46s | reward  61390.9 | evac 415 | died  65 | eps  nan | lr 0.00002 | loss  7.741
EP  39 | time 10.65s | reward  52569.4 | evac 393 | died  87 | eps  nan | lr 0.00002 | loss  7.554
EP  40 | time  8.36s | reward  45805.7 | evac 410 | died  70 | eps  nan | lr 0.00002 | loss  8.008
EP  41 | time 10.14s | reward  52067.5 | evac 389 | died  91 | eps  nan | lr 0.00002 | loss  7.831
EP  42 | time 11.50s | reward  51508.0 | evac 393 | died  87 | eps  nan | lr 0.00002 | loss  8.395
EP  43 | time 10.32s | reward  55912.7 | evac 408 | died  72 | eps  nan | lr 0.00002 | loss  8.084
EP  44 | time  9.09s | reward  46751.9 | evac 383 | died  97 | eps  nan | lr 0.00002 | loss  8.146
EP  45 | time  9.96s | reward  53622.0 | evac 416 | died  64 | eps  nan | lr 0.00001 | loss  8.263
EP  46 | time  9.65s | reward  48931.5 | evac 395 | died  85 | eps  nan | lr 0.00001 | loss  8.400
EP  47 | time  8.36s | reward  54009.2 | evac 419 | died  61 | eps  nan | lr 0.00001 | loss  8.259
EP  48 | time  8.95s | reward  46190.4 | evac 390 | died  90 | eps  nan | lr 0.00001 | loss  8.329
EP  49 | time  7.98s | reward  49402.3 | evac 412 | died  68 | eps  nan | lr 0.00001 | loss  8.726
EP  50 | time  7.92s | reward  48199.5 | evac 397 | died  83 | eps  nan | lr 0.00001 | loss  8.681
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_13_NoisyDuelingDDQN.csv
