Using device: cuda
EP   1 | time 24.04s | reward  -9069.9 | evac  76 | died 404 | eps 0.954 | lr 0.00028 | loss  0.350
EP   2 | time  8.80s | reward  -5924.7 | evac 120 | died 360 | eps 0.905 | lr 0.00026 | loss  0.062
EP   3 | time  9.65s | reward   2959.3 | evac 211 | died 269 | eps 0.862 | lr 0.00024 | loss  0.080
EP   4 | time  9.76s | reward   2923.9 | evac 209 | died 271 | eps 0.820 | lr 0.00023 | loss  0.146
EP   5 | time 10.27s | reward   9932.1 | evac 308 | died 172 | eps 0.778 | lr 0.00021 | loss  0.152
EP   6 | time 10.53s | reward   9646.5 | evac 260 | died 220 | eps 0.739 | lr 0.00020 | loss  0.191
EP   7 | time 10.24s | reward  11252.0 | evac 239 | died 241 | eps 0.701 | lr 0.00019 | loss  0.292
EP   8 | time 10.51s | reward  12878.1 | evac 278 | died 202 | eps 0.666 | lr 0.00017 | loss  0.334
EP   9 | time 10.48s | reward  19240.1 | evac 299 | died 181 | eps 0.632 | lr 0.00016 | loss  0.397
EP  10 | time 11.09s | reward  27447.4 | evac 303 | died 177 | eps 0.598 | lr 0.00015 | loss  0.636
EP  11 | time 10.42s | reward  23208.9 | evac 332 | died 148 | eps 0.569 | lr 0.00014 | loss  0.794
EP  12 | time 10.94s | reward  26242.2 | evac 340 | died 140 | eps 0.541 | lr 0.00013 | loss  1.037
EP  13 | time 10.13s | reward  24023.8 | evac 305 | died 175 | eps 0.515 | lr 0.00012 | loss  1.271
EP  14 | time 11.43s | reward  28335.6 | evac 352 | died 128 | eps 0.489 | lr 0.00012 | loss  1.438
EP  15 | time 11.21s | reward  28757.1 | evac 362 | died 118 | eps 0.466 | lr 0.00011 | loss  1.792
EP  16 | time 11.05s | reward  32755.6 | evac 368 | died 112 | eps 0.443 | lr 0.00010 | loss  2.024
EP  17 | time 10.54s | reward  30621.4 | evac 358 | died 122 | eps 0.422 | lr 0.00009 | loss  2.084
EP  18 | time 11.53s | reward  36605.7 | evac 370 | died 110 | eps 0.400 | lr 0.00009 | loss  2.257
EP  19 | time 11.36s | reward  34748.4 | evac 375 | died 105 | eps 0.379 | lr 0.00008 | loss  2.562
EP  20 | time 11.07s | reward  35773.6 | evac 372 | died 108 | eps 0.360 | lr 0.00008 | loss  2.462
EP  21 | time 11.57s | reward  40657.7 | evac 397 | died  83 | eps 0.341 | lr 0.00007 | loss  2.835
EP  22 | time 12.69s | reward  36546.8 | evac 344 | died 136 | eps 0.323 | lr 0.00007 | loss  2.806
EP  23 | time 12.80s | reward  38416.5 | evac 353 | died 127 | eps 0.306 | lr 0.00006 | loss  3.208
EP  24 | time 12.84s | reward  40998.4 | evac 383 | died  97 | eps 0.289 | lr 0.00006 | loss  2.792
EP  25 | time 12.38s | reward  35322.6 | evac 363 | died 117 | eps 0.275 | lr 0.00005 | loss  3.117
