Using device: cuda
EP   1 | time 26.59s | reward    356.2 | evac 250 | died 230 | eps  nan | lr 0.00028 | loss  2.147
EP   2 | time  9.48s | reward  33332.3 | evac 343 | died 137 | eps  nan | lr 0.00026 | loss  0.461
EP   3 | time 10.23s | reward  61244.0 | evac 416 | died  64 | eps  nan | lr 0.00024 | loss  0.780
EP   4 | time 10.12s | reward  56201.8 | evac 400 | died  80 | eps  nan | lr 0.00023 | loss  1.143
EP   5 | time 10.48s | reward  56460.9 | evac 394 | died  86 | eps  nan | lr 0.00021 | loss  1.562
EP   6 | time  9.98s | reward  55031.4 | evac 429 | died  51 | eps  nan | lr 0.00020 | loss  1.686
EP   7 | time  9.56s | reward  54816.5 | evac 413 | died  67 | eps  nan | lr 0.00019 | loss  1.942
EP   8 | time 10.05s | reward  57906.9 | evac 428 | died  52 | eps  nan | lr 0.00017 | loss  2.120
EP   9 | time  9.73s | reward  53969.1 | evac 421 | died  59 | eps  nan | lr 0.00016 | loss  2.564
EP  10 | time 10.32s | reward  52975.9 | evac 415 | died  65 | eps  nan | lr 0.00015 | loss  3.280
EP  11 | time  9.13s | reward  46695.4 | evac 412 | died  68 | eps  nan | lr 0.00014 | loss  4.608
EP  12 | time  9.50s | reward  49710.5 | evac 434 | died  46 | eps  nan | lr 0.00013 | loss  4.856
EP  13 | time 10.27s | reward  57709.1 | evac 418 | died  62 | eps  nan | lr 0.00012 | loss  6.182
EP  14 | time  9.90s | reward  56302.7 | evac 417 | died  63 | eps  nan | lr 0.00012 | loss  6.447
EP  15 | time  9.75s | reward  51316.4 | evac 418 | died  62 | eps  nan | lr 0.00011 | loss  7.322
EP  16 | time 12.27s | reward  62958.5 | evac 423 | died  57 | eps  nan | lr 0.00010 | loss  7.226
EP  17 | time 10.87s | reward  53817.7 | evac 416 | died  64 | eps  nan | lr 0.00009 | loss  6.847
EP  18 | time 10.51s | reward  59930.5 | evac 426 | died  54 | eps  nan | lr 0.00009 | loss  6.908
EP  19 | time 10.12s | reward  56175.2 | evac 420 | died  60 | eps  nan | lr 0.00008 | loss  7.386
EP  20 | time 10.47s | reward  50646.6 | evac 392 | died  88 | eps  nan | lr 0.00008 | loss  7.799
EP  21 | time 10.15s | reward  54860.9 | evac 416 | died  64 | eps  nan | lr 0.00007 | loss  8.146
EP  22 | time  9.82s | reward  47852.4 | evac 410 | died  70 | eps  nan | lr 0.00007 | loss  8.179
EP  23 | time  9.82s | reward  53978.5 | evac 423 | died  57 | eps  nan | lr 0.00006 | loss  7.535
EP  24 | time 11.27s | reward  50266.0 | evac 424 | died  56 | eps  nan | lr 0.00006 | loss  7.556
EP  25 | time  9.41s | reward  45999.3 | evac 401 | died  79 | eps  nan | lr 0.00005 | loss  8.218
EP  26 | time 11.01s | reward  52857.2 | evac 405 | died  75 | eps  nan | lr 0.00005 | loss  8.914
EP  27 | time 10.18s | reward  52165.0 | evac 415 | died  65 | eps  nan | lr 0.00005 | loss  9.805
EP  28 | time 11.32s | reward  52370.7 | evac 417 | died  63 | eps  nan | lr 0.00004 | loss 10.264
EP  29 | time 11.12s | reward  51922.8 | evac 414 | died  66 | eps  nan | lr 0.00004 | loss 11.142
EP  30 | time 10.01s | reward  53596.8 | evac 420 | died  60 | eps  nan | lr 0.00004 | loss 10.964
EP  31 | time 10.47s | reward  49037.7 | evac 397 | died  83 | eps  nan | lr 0.00004 | loss 10.786
EP  32 | time  9.91s | reward  45094.0 | evac 372 | died 108 | eps  nan | lr 0.00003 | loss 10.427
EP  33 | time 10.78s | reward  47727.8 | evac 397 | died  83 | eps  nan | lr 0.00003 | loss  9.814
EP  34 | time 10.55s | reward  49491.8 | evac 403 | died  77 | eps  nan | lr 0.00003 | loss  9.731
EP  35 | time 10.33s | reward  50703.3 | evac 404 | died  76 | eps  nan | lr 0.00003 | loss  9.474
EP  36 | time 10.71s | reward  44761.3 | evac 385 | died  95 | eps  nan | lr 0.00003 | loss  9.539
EP  37 | time 11.92s | reward  47847.0 | evac 398 | died  82 | eps  nan | lr 0.00002 | loss  9.315
EP  38 | time 10.83s | reward  43204.4 | evac 382 | died  98 | eps  nan | lr 0.00002 | loss  9.310
EP  39 | time  9.66s | reward  49810.4 | evac 400 | died  80 | eps  nan | lr 0.00002 | loss  9.114
EP  40 | time 10.41s | reward  55024.1 | evac 404 | died  76 | eps  nan | lr 0.00002 | loss  9.130
EP  41 | time  9.63s | reward  50104.9 | evac 388 | died  92 | eps  nan | lr 0.00002 | loss  8.698
EP  42 | time  8.24s | reward  42366.6 | evac 362 | died 118 | eps  nan | lr 0.00002 | loss  8.720
EP  43 | time  8.25s | reward  43859.3 | evac 373 | died 107 | eps  nan | lr 0.00002 | loss  7.995
EP  44 | time  7.81s | reward  41938.2 | evac 362 | died 118 | eps  nan | lr 0.00002 | loss  7.965
EP  45 | time  8.29s | reward  42217.8 | evac 353 | died 127 | eps  nan | lr 0.00001 | loss  7.780
EP  46 | time  7.92s | reward  39029.1 | evac 347 | died 133 | eps  nan | lr 0.00001 | loss  7.898
EP  47 | time  8.70s | reward  48139.7 | evac 385 | died  95 | eps  nan | lr 0.00001 | loss  7.523
EP  48 | time  8.80s | reward  38598.8 | evac 339 | died 141 | eps  nan | lr 0.00001 | loss  7.499
EP  49 | time  7.49s | reward  44731.5 | evac 395 | died  85 | eps  nan | lr 0.00001 | loss  7.543
