Using device: cuda
EP   1 | time 10.00s | reward  -8672.9 | evac 173 | died 307 | eps  nan | lr 0.00028 | loss  1.040
EP   2 | time  8.55s | reward  23491.8 | evac 285 | died 195 | eps  nan | lr 0.00026 | loss  0.731
EP   3 | time  8.26s | reward  43893.8 | evac 391 | died  89 | eps  nan | lr 0.00024 | loss  0.562
EP   4 | time  8.59s | reward  39457.8 | evac 323 | died 157 | eps  nan | lr 0.00023 | loss  0.624
EP   5 | time  9.44s | reward  41768.3 | evac 339 | died 141 | eps  nan | lr 0.00021 | loss  0.878
EP   6 | time  7.83s | reward  53779.2 | evac 421 | died  59 | eps  nan | lr 0.00020 | loss  1.387
EP   7 | time  7.94s | reward  49844.1 | evac 427 | died  53 | eps  nan | lr 0.00019 | loss  1.761
EP   8 | time  9.13s | reward  54926.0 | evac 422 | died  58 | eps  nan | lr 0.00017 | loss  2.800
EP   9 | time  8.53s | reward  55755.9 | evac 428 | died  52 | eps  nan | lr 0.00016 | loss  3.510
EP  10 | time  9.51s | reward  57577.3 | evac 431 | died  49 | eps  nan | lr 0.00015 | loss  5.185
EP  11 | time  7.66s | reward  51239.0 | evac 424 | died  56 | eps  nan | lr 0.00014 | loss  7.444
EP  12 | time  7.64s | reward  50970.2 | evac 414 | died  66 | eps  nan | lr 0.00013 | loss  8.976
EP  13 | time  7.41s | reward  51236.0 | evac 423 | died  57 | eps  nan | lr 0.00012 | loss 10.292
EP  14 | time  7.96s | reward  53281.9 | evac 432 | died  48 | eps  nan | lr 0.00012 | loss 11.824
EP  15 | time  7.62s | reward  52698.5 | evac 426 | died  54 | eps  nan | lr 0.00011 | loss 12.322
EP  16 | time  8.15s | reward  51566.4 | evac 410 | died  70 | eps  nan | lr 0.00010 | loss 13.304
EP  17 | time  8.50s | reward  62027.5 | evac 442 | died  38 | eps  nan | lr 0.00009 | loss 14.739
EP  18 | time  7.60s | reward  52869.3 | evac 423 | died  57 | eps  nan | lr 0.00009 | loss 13.466
