Using device: cuda
EP   1 | time 33.76s | reward -18424.0 | evac  78 | died 402 | eps 0.948 | lr 0.00028 | loss  0.024
EP   2 | time 14.75s | reward -18639.7 | evac 104 | died 376 | eps 0.895 | lr 0.00026 | loss  0.024
EP   3 | time 13.61s | reward -12692.1 | evac 107 | died 373 | eps 0.852 | lr 0.00024 | loss  0.033
EP   4 | time 13.77s | reward  -9819.9 | evac 127 | died 353 | eps 0.810 | lr 0.00023 | loss  0.051
EP   5 | time 14.22s | reward  -9857.6 | evac 142 | died 338 | eps 0.768 | lr 0.00021 | loss  0.077
EP   6 | time 14.55s | reward  -8216.5 | evac 163 | died 317 | eps 0.727 | lr 0.00020 | loss  0.111
EP   7 | time 14.61s | reward  -1833.5 | evac 215 | died 265 | eps 0.688 | lr 0.00019 | loss  0.151
EP   8 | time 15.10s | reward  -2624.0 | evac 216 | died 264 | eps 0.650 | lr 0.00017 | loss  0.211
EP   9 | time 14.05s | reward   4832.0 | evac 249 | died 231 | eps 0.617 | lr 0.00016 | loss  0.272
EP  10 | time 16.83s | reward  13361.7 | evac 307 | died 173 | eps 0.579 | lr 0.00015 | loss  0.371
EP  11 | time 15.70s | reward  11904.8 | evac 291 | died 189 | eps 0.546 | lr 0.00014 | loss  0.450
EP  12 | time 15.61s | reward  16603.0 | evac 322 | died 158 | eps 0.515 | lr 0.00013 | loss  0.524
EP  13 | time 14.58s | reward  18746.9 | evac 313 | died 167 | eps 0.487 | lr 0.00012 | loss  0.584
EP  14 | time 15.26s | reward  19614.1 | evac 320 | died 160 | eps 0.459 | lr 0.00012 | loss  0.670
EP  15 | time 14.49s | reward  19042.0 | evac 316 | died 164 | eps 0.435 | lr 0.00011 | loss  0.692
EP  16 | time 14.79s | reward  20940.7 | evac 322 | died 158 | eps 0.411 | lr 0.00010 | loss  0.709
EP  17 | time 13.89s | reward  20735.0 | evac 331 | died 149 | eps 0.389 | lr 0.00009 | loss  0.754
EP  18 | time 14.60s | reward  22675.8 | evac 325 | died 155 | eps 0.368 | lr 0.00009 | loss  0.822
EP  19 | time 14.47s | reward  27020.9 | evac 341 | died 139 | eps 0.348 | lr 0.00008 | loss  0.836
EP  20 | time 14.22s | reward  25158.4 | evac 340 | died 140 | eps 0.330 | lr 0.00008 | loss  0.876
EP  21 | time 14.95s | reward  31299.3 | evac 356 | died 124 | eps 0.311 | lr 0.00007 | loss  0.880
EP  22 | time 15.10s | reward  28267.1 | evac 351 | died 129 | eps 0.295 | lr 0.00007 | loss  0.889
EP  23 | time 15.99s | reward  35968.4 | evac 366 | died 114 | eps 0.278 | lr 0.00006 | loss  0.981
EP  24 | time 15.08s | reward  30855.0 | evac 353 | died 127 | eps 0.263 | lr 0.00006 | loss  0.954
