Using device: cuda
EP   1 | time 12.85s | reward  -9695.5 | evac 100 | died 380 | eps 0.951 | lr 0.00028 | loss  0.300
EP   2 | time  8.28s | reward  -4690.2 | evac 102 | died 378 | eps 0.904 | lr 0.00026 | loss  0.065
EP   3 | time  9.53s | reward    640.1 | evac 152 | died 328 | eps 0.853 | lr 0.00024 | loss  0.101
EP   4 | time  9.64s | reward   5893.2 | evac 225 | died 255 | eps 0.806 | lr 0.00023 | loss  0.164
EP   5 | time  9.06s | reward   9451.5 | evac 251 | died 229 | eps 0.764 | lr 0.00021 | loss  0.320
EP   6 | time  9.34s | reward  17828.4 | evac 304 | died 176 | eps 0.720 | lr 0.00020 | loss  0.487
EP   7 | time  9.50s | reward  15186.8 | evac 273 | died 207 | eps 0.682 | lr 0.00019 | loss  0.681
EP   8 | time  9.15s | reward  19262.9 | evac 326 | died 154 | eps 0.646 | lr 0.00017 | loss  0.949
EP   9 | time  9.58s | reward  24795.2 | evac 332 | died 148 | eps 0.610 | lr 0.00016 | loss  1.200
EP  10 | time  9.13s | reward  22168.1 | evac 316 | died 164 | eps 0.579 | lr 0.00015 | loss  1.348
EP  11 | time  9.93s | reward  23257.9 | evac 323 | died 157 | eps 0.549 | lr 0.00014 | loss  1.565
EP  12 | time  9.71s | reward  31325.4 | evac 358 | died 122 | eps 0.519 | lr 0.00013 | loss  1.595
EP  13 | time 10.41s | reward  29171.0 | evac 340 | died 140 | eps 0.490 | lr 0.00012 | loss  1.753
EP  14 | time 10.35s | reward  28385.7 | evac 342 | died 138 | eps 0.463 | lr 0.00012 | loss  1.869
EP  15 | time  9.84s | reward  30225.2 | evac 353 | died 127 | eps 0.439 | lr 0.00011 | loss  1.934
EP  16 | time 11.22s | reward  32162.8 | evac 383 | died  97 | eps 0.416 | lr 0.00010 | loss  1.922
EP  17 | time 11.03s | reward  31951.4 | evac 385 | died  95 | eps 0.393 | lr 0.00009 | loss  2.175
EP  18 | time 10.96s | reward  37359.2 | evac 394 | died  86 | eps 0.372 | lr 0.00009 | loss  2.078
EP  19 | time 12.29s | reward  39602.8 | evac 380 | died 100 | eps 0.353 | lr 0.00008 | loss  2.096
EP  20 | time 11.34s | reward  40826.5 | evac 378 | died 102 | eps 0.333 | lr 0.00008 | loss  2.291
EP  21 | time 11.49s | reward  43648.3 | evac 383 | died  97 | eps 0.314 | lr 0.00007 | loss  2.260
EP  22 | time 10.74s | reward  34577.8 | evac 388 | died  92 | eps 0.298 | lr 0.00007 | loss  2.298
EP  23 | time 11.36s | reward  36825.4 | evac 373 | died 107 | eps 0.282 | lr 0.00006 | loss  2.225
