Using device: cuda
EP   1 | time 14.77s | reward -15679.1 | evac 273 | died 207 | eps  nan | lr 0.00028 | loss  1.086
EP   2 | time  9.37s | reward -12556.1 | evac  68 | died 412 | eps  nan | lr 0.00026 | loss  0.351
EP   3 | time 10.15s | reward    229.7 | evac 145 | died 335 | eps  nan | lr 0.00024 | loss  0.259
EP   4 | time 11.15s | reward   2629.0 | evac 134 | died 346 | eps  nan | lr 0.00023 | loss  0.242
EP   5 | time  9.99s | reward   9389.8 | evac 161 | died 319 | eps  nan | lr 0.00021 | loss  0.359
EP   6 | time 10.18s | reward  31559.1 | evac 270 | died 210 | eps  nan | lr 0.00020 | loss  0.434
EP   7 | time 10.16s | reward  42095.8 | evac 294 | died 186 | eps  nan | lr 0.00019 | loss  0.502
EP   8 | time  8.53s | reward  44117.5 | evac 355 | died 125 | eps  nan | lr 0.00017 | loss  0.670
EP   9 | time  8.80s | reward  44200.2 | evac 349 | died 131 | eps  nan | lr 0.00016 | loss  0.844
EP  10 | time  8.05s | reward  45883.1 | evac 372 | died 108 | eps  nan | lr 0.00015 | loss  1.061
EP  11 | time  9.65s | reward  53998.4 | evac 360 | died 120 | eps  nan | lr 0.00014 | loss  1.297
EP  12 | time  9.04s | reward  51702.2 | evac 357 | died 123 | eps  nan | lr 0.00013 | loss  1.656
EP  13 | time  8.88s | reward  54262.0 | evac 366 | died 114 | eps  nan | lr 0.00012 | loss  1.728
EP  14 | time  9.23s | reward  54205.3 | evac 372 | died 108 | eps  nan | lr 0.00012 | loss  1.960
EP  15 | time  8.57s | reward  51740.6 | evac 375 | died 105 | eps  nan | lr 0.00011 | loss  2.152
EP  16 | time 10.30s | reward  56883.7 | evac 374 | died 106 | eps  nan | lr 0.00010 | loss  2.520
EP  17 | time  9.85s | reward  56176.2 | evac 375 | died 105 | eps  nan | lr 0.00009 | loss  2.634
EP  18 | time  9.13s | reward  56487.6 | evac 387 | died  93 | eps  nan | lr 0.00009 | loss  3.139
EP  19 | time 10.84s | reward  52574.9 | evac 361 | died 119 | eps  nan | lr 0.00008 | loss  3.321
EP  20 | time  8.69s | reward  53532.1 | evac 391 | died  89 | eps  nan | lr 0.00008 | loss  3.416
EP  21 | time  9.38s | reward  53281.8 | evac 378 | died 102 | eps  nan | lr 0.00007 | loss  3.712
EP  22 | time  8.84s | reward  49049.9 | evac 380 | died 100 | eps  nan | lr 0.00007 | loss  3.894
EP  23 | time  9.43s | reward  53594.1 | evac 366 | died 114 | eps  nan | lr 0.00006 | loss  4.002
EP  24 | time  8.84s | reward  49029.0 | evac 364 | died 116 | eps  nan | lr 0.00006 | loss  4.101
EP  25 | time  9.81s | reward  56365.4 | evac 374 | died 106 | eps  nan | lr 0.00005 | loss  4.076
EP  26 | time  9.40s | reward  47232.9 | evac 354 | died 126 | eps  nan | lr 0.00005 | loss  4.234
EP  27 | time  9.80s | reward  50718.5 | evac 352 | died 128 | eps  nan | lr 0.00005 | loss  3.929
EP  28 | time 10.17s | reward  55423.1 | evac 360 | died 120 | eps  nan | lr 0.00004 | loss  4.028
EP  29 | time  9.22s | reward  43759.7 | evac 350 | died 130 | eps  nan | lr 0.00004 | loss  3.972
EP  30 | time  9.25s | reward  53834.6 | evac 375 | died 105 | eps  nan | lr 0.00004 | loss  4.055
EP  31 | time  8.83s | reward  53053.8 | evac 380 | died 100 | eps  nan | lr 0.00004 | loss  3.969
EP  32 | time  9.49s | reward  48779.4 | evac 361 | died 119 | eps  nan | lr 0.00003 | loss  3.912
EP  33 | time 10.06s | reward  52226.4 | evac 346 | died 134 | eps  nan | lr 0.00003 | loss  4.081
EP  34 | time  8.85s | reward  43473.2 | evac 345 | died 135 | eps  nan | lr 0.00003 | loss  3.781
EP  35 | time  9.16s | reward  48509.0 | evac 352 | died 128 | eps  nan | lr 0.00003 | loss  3.923
EP  36 | time  9.43s | reward  45240.4 | evac 346 | died 134 | eps  nan | lr 0.00003 | loss  3.973
EP  37 | time  8.99s | reward  45366.0 | evac 343 | died 137 | eps  nan | lr 0.00002 | loss  3.953
EP  38 | time  8.87s | reward  46793.6 | evac 354 | died 126 | eps  nan | lr 0.00002 | loss  3.881
EP  39 | time  9.86s | reward  45324.7 | evac 339 | died 141 | eps  nan | lr 0.00002 | loss  3.997
EP  40 | time  9.05s | reward  40785.0 | evac 323 | died 157 | eps  nan | lr 0.00002 | loss  3.870
EP  41 | time  9.78s | reward  47114.7 | evac 339 | died 141 | eps  nan | lr 0.00002 | loss  3.887
EP  42 | time  8.54s | reward  38709.2 | evac 339 | died 141 | eps  nan | lr 0.00002 | loss  3.832
EP  43 | time  9.60s | reward  45826.6 | evac 335 | died 145 | eps  nan | lr 0.00002 | loss  3.863
EP  44 | time  8.44s | reward  45959.2 | evac 361 | died 119 | eps  nan | lr 0.00002 | loss  3.807
EP  45 | time  9.54s | reward  41466.8 | evac 348 | died 132 | eps  nan | lr 0.00001 | loss  3.827
EP  46 | time  7.53s | reward  41900.1 | evac 343 | died 137 | eps  nan | lr 0.00001 | loss  3.766
EP  47 | time  8.47s | reward  48436.9 | evac 340 | died 140 | eps  nan | lr 0.00001 | loss  3.702
EP  48 | time  7.74s | reward  39047.4 | evac 324 | died 156 | eps  nan | lr 0.00001 | loss  3.686
EP  49 | time  7.84s | reward  45050.9 | evac 334 | died 146 | eps  nan | lr 0.00001 | loss  3.755
EP  50 | time  7.96s | reward  45010.9 | evac 335 | died 145 | eps  nan | lr 0.00001 | loss  3.679
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_3_NoisyDuelingDDQN.csv
