Using device: cuda
EP   1 | time 24.58s | reward -23775.2 | evac  61 | died 419 | eps 0.944 | lr 0.00028 | loss  0.496
EP   2 | time 12.19s | reward -20860.1 | evac  56 | died 424 | eps 0.894 | lr 0.00026 | loss  0.107
EP   3 | time 12.92s | reward -22707.7 | evac  70 | died 410 | eps 0.843 | lr 0.00024 | loss  0.151
EP   4 | time 13.01s | reward -21875.0 | evac  94 | died 386 | eps 0.796 | lr 0.00023 | loss  0.231
EP   5 | time 12.26s | reward -19154.4 | evac 117 | died 363 | eps 0.753 | lr 0.00021 | loss  0.318
EP   6 | time 12.22s | reward -19037.2 | evac 133 | died 347 | eps 0.713 | lr 0.00020 | loss  0.511
EP   7 | time 12.81s | reward -19879.3 | evac 166 | died 314 | eps 0.673 | lr 0.00019 | loss  0.760
EP   8 | time 13.31s | reward -23898.3 | evac 158 | died 322 | eps 0.632 | lr 0.00017 | loss  1.180
EP   9 | time 11.92s | reward -17370.5 | evac 179 | died 301 | eps 0.598 | lr 0.00016 | loss  1.489
EP  10 | time 12.88s | reward -20690.8 | evac 205 | died 275 | eps 0.563 | lr 0.00015 | loss  1.707
EP  11 | time 12.04s | reward -19308.8 | evac 226 | died 254 | eps 0.532 | lr 0.00014 | loss  2.301
EP  12 | time 11.60s | reward -17494.3 | evac 240 | died 240 | eps 0.503 | lr 0.00013 | loss  3.335
EP  13 | time 11.88s | reward -16425.5 | evac 252 | died 228 | eps 0.476 | lr 0.00012 | loss  4.145
EP  14 | time 12.48s | reward -20351.6 | evac 257 | died 223 | eps 0.449 | lr 0.00012 | loss  5.407
EP  15 | time 12.11s | reward -17193.0 | evac 270 | died 210 | eps 0.425 | lr 0.00011 | loss  5.592
EP  16 | time 12.24s | reward -18939.4 | evac 289 | died 191 | eps 0.400 | lr 0.00010 | loss  7.494
EP  17 | time 12.35s | reward -18354.9 | evac 276 | died 204 | eps 0.378 | lr 0.00009 | loss  9.505
EP  18 | time 11.80s | reward -17285.9 | evac 289 | died 191 | eps 0.357 | lr 0.00009 | loss 11.349
EP  19 | time 11.51s | reward -17897.5 | evac 319 | died 161 | eps 0.337 | lr 0.00008 | loss 13.598
EP  20 | time 11.79s | reward -14923.2 | evac 293 | died 187 | eps 0.319 | lr 0.00008 | loss 14.912
EP  21 | time 12.12s | reward -15236.0 | evac 305 | died 175 | eps 0.303 | lr 0.00007 | loss 15.802
EP  22 | time 11.32s | reward -16592.4 | evac 325 | died 155 | eps 0.287 | lr 0.00007 | loss 19.090
EP  23 | time 11.22s | reward -16619.8 | evac 322 | died 158 | eps 0.271 | lr 0.00006 | loss 22.264
EP  24 | time 11.58s | reward -16128.3 | evac 322 | died 158 | eps 0.257 | lr 0.00006 | loss 23.527
EP  25 | time 11.75s | reward -17631.0 | evac 304 | died 176 | eps 0.242 | lr 0.00005 | loss 25.210
EP  26 | time 11.19s | reward -16823.6 | evac 333 | died 147 | eps 0.229 | lr 0.00005 | loss 26.061
EP  27 | time 12.17s | reward -15840.8 | evac 331 | died 149 | eps 0.217 | lr 0.00005 | loss 27.197
EP  28 | time 11.35s | reward -17045.6 | evac 339 | died 141 | eps 0.205 | lr 0.00004 | loss 29.397
EP  29 | time 11.70s | reward -18558.4 | evac 343 | died 137 | eps 0.193 | lr 0.00004 | loss 33.576
EP  30 | time 10.99s | reward -16258.6 | evac 357 | died 123 | eps 0.183 | lr 0.00004 | loss 37.175
EP  31 | time 11.35s | reward -15762.3 | evac 360 | died 120 | eps 0.173 | lr 0.00004 | loss 38.520
EP  32 | time 11.19s | reward -17056.2 | evac 347 | died 133 | eps 0.163 | lr 0.00003 | loss 40.952
EP  33 | time 10.85s | reward -17251.4 | evac 355 | died 125 | eps 0.154 | lr 0.00003 | loss 44.255
EP  34 | time 11.35s | reward -15392.1 | evac 373 | died 107 | eps 0.146 | lr 0.00003 | loss 45.039
EP  35 | time 10.90s | reward -17031.3 | evac 358 | died 122 | eps 0.138 | lr 0.00003 | loss 48.475
EP  36 | time 10.57s | reward -16045.0 | evac 366 | died 114 | eps 0.131 | lr 0.00003 | loss 48.651
EP  37 | time 12.16s | reward -22385.1 | evac 370 | died 110 | eps 0.123 | lr 0.00002 | loss 49.894
EP  38 | time 11.29s | reward -19399.9 | evac 352 | died 128 | eps 0.116 | lr 0.00002 | loss 52.179
