Using device: cuda
EP   1 | time 19.08s | reward -12715.6 | evac 108 | died 372 | eps 0.944 | lr 0.00028 | loss  0.241
EP   2 | time  9.86s | reward    -27.2 | evac 175 | died 305 | eps 0.890 | lr 0.00026 | loss  0.084
EP   3 | time 10.76s | reward  -1507.4 | evac 207 | died 273 | eps 0.842 | lr 0.00024 | loss  0.106
EP   4 | time  9.76s | reward   8114.1 | evac 234 | died 246 | eps 0.800 | lr 0.00023 | loss  0.152
EP   5 | time 10.14s | reward   9236.1 | evac 249 | died 231 | eps 0.758 | lr 0.00021 | loss  0.208
EP   6 | time  9.94s | reward  10318.7 | evac 258 | died 222 | eps 0.719 | lr 0.00020 | loss  0.365
EP   7 | time 12.06s | reward  17660.3 | evac 259 | died 221 | eps 0.677 | lr 0.00019 | loss  0.580
EP   8 | time 11.65s | reward  17044.7 | evac 295 | died 185 | eps 0.641 | lr 0.00017 | loss  0.998
EP   9 | time 10.95s | reward  19845.0 | evac 291 | died 189 | eps 0.608 | lr 0.00016 | loss  1.226
EP  10 | time 11.29s | reward  24431.8 | evac 332 | died 148 | eps 0.575 | lr 0.00015 | loss  1.422
EP  11 | time 11.31s | reward  18424.7 | evac 286 | died 194 | eps 0.546 | lr 0.00014 | loss  1.656
EP  12 | time 10.34s | reward  19474.1 | evac 312 | died 168 | eps 0.518 | lr 0.00013 | loss  1.607
EP  13 | time 11.49s | reward  25748.3 | evac 349 | died 131 | eps 0.489 | lr 0.00012 | loss  1.610
EP  14 | time 10.82s | reward  23362.6 | evac 306 | died 174 | eps 0.464 | lr 0.00012 | loss  1.696
EP  15 | time 11.19s | reward  29312.1 | evac 325 | died 155 | eps 0.439 | lr 0.00011 | loss  1.611
EP  16 | time 11.60s | reward  32196.7 | evac 349 | died 131 | eps 0.415 | lr 0.00010 | loss  1.535
EP  17 | time 12.02s | reward  32777.2 | evac 342 | died 138 | eps 0.393 | lr 0.00009 | loss  1.620
EP  18 | time 11.54s | reward  34644.5 | evac 358 | died 122 | eps 0.372 | lr 0.00009 | loss  1.693
EP  19 | time 11.62s | reward  31770.9 | evac 333 | died 147 | eps 0.352 | lr 0.00008 | loss  1.562
EP  20 | time 11.88s | reward  37427.1 | evac 366 | died 114 | eps 0.333 | lr 0.00008 | loss  1.677
EP  21 | time 12.11s | reward  36838.0 | evac 360 | died 120 | eps 0.315 | lr 0.00007 | loss  1.835
EP  22 | time 12.03s | reward  40410.1 | evac 365 | died 115 | eps 0.298 | lr 0.00007 | loss  1.892
EP  23 | time 12.65s | reward  42235.3 | evac 383 | died  97 | eps 0.281 | lr 0.00006 | loss  1.993
EP  24 | time 12.69s | reward  31850.2 | evac 350 | died 130 | eps 0.266 | lr 0.00006 | loss  1.964
EP  25 | time 12.83s | reward  30852.5 | evac 348 | died 132 | eps 0.252 | lr 0.00005 | loss  1.845
EP  26 | time 12.31s | reward  24003.0 | evac 313 | died 167 | eps 0.239 | lr 0.00005 | loss  1.681
EP  27 | time 13.04s | reward  24882.2 | evac 338 | died 142 | eps 0.225 | lr 0.00005 | loss  1.606
EP  28 | time 12.73s | reward  23367.0 | evac 312 | died 168 | eps 0.212 | lr 0.00004 | loss  1.422
EP  29 | time 12.98s | reward  27973.5 | evac 336 | died 144 | eps 0.201 | lr 0.00004 | loss  1.618
EP  30 | time 13.98s | reward  25924.5 | evac 319 | died 161 | eps 0.189 | lr 0.00004 | loss  1.469
EP  31 | time 13.81s | reward  28676.7 | evac 335 | died 145 | eps 0.179 | lr 0.00004 | loss  1.598
EP  32 | time 12.96s | reward  31658.3 | evac 358 | died 122 | eps 0.170 | lr 0.00003 | loss  1.497
EP  33 | time 13.95s | reward  34104.2 | evac 355 | died 125 | eps 0.160 | lr 0.00003 | loss  1.496
EP  34 | time 14.15s | reward  28902.3 | evac 364 | died 116 | eps 0.151 | lr 0.00003 | loss  1.602
EP  35 | time 13.12s | reward  32048.9 | evac 360 | died 120 | eps 0.143 | lr 0.00003 | loss  1.517
EP  36 | time 13.38s | reward  35489.5 | evac 371 | died 109 | eps 0.135 | lr 0.00003 | loss  1.446
EP  37 | time 13.26s | reward  29815.0 | evac 349 | died 131 | eps 0.128 | lr 0.00002 | loss  1.458
EP  38 | time 16.41s | reward  34067.6 | evac 362 | died 118 | eps 0.121 | lr 0.00002 | loss  1.309
EP  39 | time 14.18s | reward  31555.6 | evac 360 | died 120 | eps 0.114 | lr 0.00002 | loss  1.221
EP  40 | time 14.02s | reward  34739.4 | evac 363 | died 117 | eps 0.108 | lr 0.00002 | loss  1.213
EP  41 | time 15.20s | reward  36221.6 | evac 372 | died 108 | eps 0.102 | lr 0.00002 | loss  1.345
EP  42 | time 13.47s | reward  39500.7 | evac 372 | died 108 | eps 0.097 | lr 0.00002 | loss  1.170
EP  43 | time 12.86s | reward  45977.3 | evac 394 | died  86 | eps 0.091 | lr 0.00002 | loss  1.104
EP  44 | time 11.27s | reward  44583.5 | evac 390 | died  90 | eps 0.086 | lr 0.00002 | loss  1.165
EP  45 | time 12.13s | reward  45333.3 | evac 403 | died  77 | eps 0.081 | lr 0.00001 | loss  1.116
EP  46 | time 11.36s | reward  38286.1 | evac 404 | died  76 | eps 0.077 | lr 0.00001 | loss  1.087
EP  47 | time 12.70s | reward  42519.7 | evac 391 | died  89 | eps 0.072 | lr 0.00001 | loss  1.051
EP  48 | time 12.55s | reward  39676.9 | evac 392 | died  88 | eps 0.068 | lr 0.00001 | loss  1.050
EP  49 | time 12.01s | reward  41418.8 | evac 400 | died  80 | eps 0.065 | lr 0.00001 | loss  0.966
EP  50 | time 12.63s | reward  41490.6 | evac 379 | died 101 | eps 0.061 | lr 0.00001 | loss  0.930
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_8_DuelingDDQNPrioritized.csv
