Using device: cuda
EP   1 | time 20.61s | reward   2351.6 | evac 159 | died 321 | eps  nan | lr 0.00028 | loss  0.865
EP   2 | time 11.88s | reward  39951.7 | evac 339 | died 141 | eps  nan | lr 0.00026 | loss  0.780
EP   3 | time 10.38s | reward  56348.3 | evac 380 | died 100 | eps  nan | lr 0.00024 | loss  1.025
EP   4 | time 10.65s | reward  52721.0 | evac 355 | died 125 | eps  nan | lr 0.00023 | loss  1.203
EP   5 | time 11.04s | reward  56546.5 | evac 371 | died 109 | eps  nan | lr 0.00021 | loss  1.869
EP   6 | time  9.89s | reward  60021.8 | evac 404 | died  76 | eps  nan | lr 0.00020 | loss  2.695
EP   7 | time 11.12s | reward  61269.9 | evac 402 | died  78 | eps  nan | lr 0.00019 | loss  3.577
EP   8 | time 11.19s | reward  58916.7 | evac 403 | died  77 | eps  nan | lr 0.00017 | loss  4.314
EP   9 | time 10.13s | reward  60428.9 | evac 410 | died  70 | eps  nan | lr 0.00016 | loss  4.860
EP  10 | time 10.80s | reward  62083.1 | evac 426 | died  54 | eps  nan | lr 0.00015 | loss  6.003
EP  11 | time 10.42s | reward  64740.1 | evac 440 | died  40 | eps  nan | lr 0.00014 | loss  6.376
EP  12 | time  9.87s | reward  66141.0 | evac 445 | died  35 | eps  nan | lr 0.00013 | loss  7.542
EP  13 | time 10.24s | reward  57493.9 | evac 426 | died  54 | eps  nan | lr 0.00012 | loss  8.068
EP  14 | time  9.60s | reward  56622.6 | evac 426 | died  54 | eps  nan | lr 0.00012 | loss  8.494
EP  15 | time  9.88s | reward  60122.0 | evac 432 | died  48 | eps  nan | lr 0.00011 | loss  8.857
EP  16 | time 10.30s | reward  61776.9 | evac 428 | died  52 | eps  nan | lr 0.00010 | loss  9.408
EP  17 | time 10.05s | reward  63076.6 | evac 416 | died  64 | eps  nan | lr 0.00009 | loss  9.266
EP  18 | time 10.52s | reward  65604.4 | evac 426 | died  54 | eps  nan | lr 0.00009 | loss  9.302
EP  19 | time  9.81s | reward  56488.0 | evac 420 | died  60 | eps  nan | lr 0.00008 | loss  9.196
EP  20 | time  9.94s | reward  61179.5 | evac 426 | died  54 | eps  nan | lr 0.00008 | loss  9.016
EP  21 | time 10.51s | reward  61995.1 | evac 432 | died  48 | eps  nan | lr 0.00007 | loss  9.436
EP  22 | time 10.90s | reward  64452.6 | evac 431 | died  49 | eps  nan | lr 0.00007 | loss  9.528
EP  23 | time 10.01s | reward  65536.7 | evac 441 | died  39 | eps  nan | lr 0.00006 | loss  9.597
EP  24 | time  9.98s | reward  62763.8 | evac 441 | died  39 | eps  nan | lr 0.00006 | loss 10.149
EP  25 | time 10.79s | reward  64903.5 | evac 438 | died  42 | eps  nan | lr 0.00005 | loss  9.341
EP  26 | time 10.88s | reward  64437.2 | evac 437 | died  43 | eps  nan | lr 0.00005 | loss  9.545
EP  27 | time 11.15s | reward  64178.0 | evac 427 | died  53 | eps  nan | lr 0.00005 | loss  9.234
EP  28 | time 10.87s | reward  66964.2 | evac 436 | died  44 | eps  nan | lr 0.00004 | loss  8.977
EP  29 | time 10.42s | reward  63639.9 | evac 432 | died  48 | eps  nan | lr 0.00004 | loss  8.631
EP  30 | time 11.09s | reward  59496.9 | evac 420 | died  60 | eps  nan | lr 0.00004 | loss  8.541
EP  31 | time 10.54s | reward  62574.1 | evac 421 | died  59 | eps  nan | lr 0.00004 | loss  7.974
EP  32 | time  9.82s | reward  62311.1 | evac 421 | died  59 | eps  nan | lr 0.00003 | loss  8.015
EP  33 | time 10.32s | reward  59764.1 | evac 420 | died  60 | eps  nan | lr 0.00003 | loss  7.658
EP  34 | time  9.75s | reward  60954.8 | evac 421 | died  59 | eps  nan | lr 0.00003 | loss  7.641
EP  35 | time  9.97s | reward  56373.6 | evac 410 | died  70 | eps  nan | lr 0.00003 | loss  8.190
EP  36 | time 10.95s | reward  61462.7 | evac 408 | died  72 | eps  nan | lr 0.00003 | loss  7.958
EP  37 | time  9.65s | reward  55425.0 | evac 411 | died  69 | eps  nan | lr 0.00002 | loss  7.855
EP  38 | time 10.85s | reward  72206.8 | evac 427 | died  53 | eps  nan | lr 0.00002 | loss  7.632
EP  39 | time 10.56s | reward  57032.4 | evac 418 | died  62 | eps  nan | lr 0.00002 | loss  7.708
EP  40 | time 10.18s | reward  61112.8 | evac 410 | died  70 | eps  nan | lr 0.00002 | loss  6.872
EP  41 | time 10.03s | reward  59876.1 | evac 415 | died  65 | eps  nan | lr 0.00002 | loss  6.938
EP  42 | time 10.06s | reward  52492.9 | evac 404 | died  76 | eps  nan | lr 0.00002 | loss  6.715
EP  43 | time 10.51s | reward  57261.8 | evac 408 | died  72 | eps  nan | lr 0.00002 | loss  6.902
EP  44 | time 10.70s | reward  59711.1 | evac 409 | died  71 | eps  nan | lr 0.00002 | loss  6.755
EP  45 | time 10.75s | reward  56863.8 | evac 398 | died  82 | eps  nan | lr 0.00001 | loss  6.525
EP  46 | time 10.64s | reward  60614.5 | evac 396 | died  84 | eps  nan | lr 0.00001 | loss  6.432
EP  47 | time  9.75s | reward  50772.3 | evac 395 | died  85 | eps  nan | lr 0.00001 | loss  6.366
EP  48 | time 11.41s | reward  61063.0 | evac 391 | died  89 | eps  nan | lr 0.00001 | loss  6.525
EP  49 | time 10.39s | reward  57465.1 | evac 381 | died  99 | eps  nan | lr 0.00001 | loss  6.677
EP  50 | time  8.09s | reward  52325.3 | evac 394 | died  86 | eps  nan | lr 0.00001 | loss  6.176
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\liders_check\leaders_8_NoisyDuelingDDQN.csv
