episode,reward,evacuated,died,avg_steps,avg_hp,epsilon,loss,duration,lr,evac_min,evac_max
1,-33610.05919265747,142,1058,9.239436149597168,88.38027954101562,0.9972407117415493,0.26719220851858455,12.057976961135864,0.0003,1,11
2,-15953.066890716553,240,960,17.941667556762695,56.770835876464844,0.9945806371983491,0.06457083498866394,12.093798160552979,0.0002989813740414403,3,18
3,-23938.1706905365,169,1031,13.591715812683105,80.1775131225586,0.9919276582304616,0.06555574939682565,11.967642784118652,0.00029796620674569217,1,13
4,-16590.65126991272,250,950,21.532001495361328,58.30000305175781,0.9893273150684121,0.12556977766124824,12.715635299682617,0.00029695448636914314,3,16
5,-22074.924120903015,217,983,20.921659469604492,65.66820526123047,0.9866429113631755,0.20712035023054834,14.180346488952637,0.00029594620120805526,3,14
6,-20601.434951782227,229,971,19.20960807800293,65.50218200683594,0.9838298609106355,0.27086750213657657,14.250195980072021,0.0002949413395984298,3,14
7,-18789.27597618103,207,993,16.14009666442871,71.61835479736328,0.9812055589371645,0.40984738952127,13.998275756835938,0.00029393988991587206,4,18
8,-18384.280876159668,258,942,21.395349502563477,50.67829513549805,0.9783629547845935,0.4821265337486116,14.663835763931274,0.0002929418405754571,6,22
9,-12171.667716026306,294,906,23.18027114868164,47.023807525634766,0.9757083013641444,0.6456582162339809,14.20050597190857,0.0002919471800315958,4,21
10,-9863.982055664062,350,850,27.154285430908203,42.57142639160156,0.9729712328916467,0.7527622306933168,17.832086086273193,0.0002909558967779009,4,20
11,-18850.725900650024,255,945,18.42353057861328,57.352943420410156,0.9700631337839533,1.0394797879915971,15.312554359436035,0.00028996797934705427,4,18
12,-20290.5231590271,242,958,18.227272033691406,61.26032638549805,0.9672528098235619,1.2007753404359969,15.713764429092407,0.0002889834163106743,4,14
13,-6110.777293205261,431,769,30.696054458618164,34.28074264526367,0.9644506275196129,1.4663445859674424,15.544499158859253,0.00028800219627918327,12,24
14,-10361.59018087387,451,749,34.52771759033203,34.922393798828125,0.9617894302272425,1.5644612714648247,15.357348203659058,0.00028702430790167603,12,26
15,-14123.298505783081,272,928,18.952205657958984,56.70956039428711,0.95909140713676,1.9378598772111486,20.193062782287598,0.00028604973986578845,5,19
16,-8685.365255355835,375,825,28.92799949645996,36.93333435058594,0.9564449974782666,1.805353452761968,16.562135219573975,0.0002850784808975667,8,23
17,-5594.755744934082,355,845,24.028167724609375,43.30985641479492,0.9535423801269073,1.9163762908993345,18.014730215072632,0.00028411051976133663,9,22
18,-25922.585434913635,240,960,17.808334350585938,62.29167175292969,0.9506923516254959,2.04560109101809,18.97946524620056,0.00028314584525957403,4,16
19,-17835.351928710938,244,956,18.631147384643555,63.21720886230469,0.9480691173822566,1.9417168955008188,18.706122159957886,0.00028218444623277495,3,17
20,-13969.686601638794,314,886,22.21656036376953,53.582801818847656,0.9450613450655011,2.0653690928998203,21.656766653060913,0.00028122631155932666,4,20
21,-7353.836437225342,417,783,26.29736328125,39.38848876953125,0.9424536483925462,2.1486882040898005,19.2442307472229,0.00028027143015537894,10,27
22,-16387.785837173462,329,871,22.62006187438965,49.620059967041016,0.9398531471064023,1.8327212423086165,19.132265090942383,0.0002793197909747159,7,20
23,3182.2295780181885,574,626,32.477352142333984,30.270034790039062,0.9373461501481664,1.944094955921173,18.885796070098877,0.0002783713830086282,15,31
24,19681.832683086395,752,448,32.88829803466797,22.074466705322266,0.9347597419219582,1.867593558629354,19.235011339187622,0.00027742619528578575,24,36
25,10264.541983604431,508,692,28.38976287841797,33.710628509521484,0.9319658525658344,1.9953855771284836,21.122039079666138,0.0002764842168721106,13,30
26,-12650.013317108154,335,865,23.791044235229492,49.47761154174805,0.9290947370950954,2.499506350773484,21.523694276809692,0.00027554543687065074,4,24
27,-9397.780712127686,364,836,25.620880126953125,48.42033004760742,0.926403100736391,2.600727217538016,21.113388299942017,0.0002746098444214537,8,25
28,12128.218030452728,687,513,35.68122482299805,24.818050384521484,0.9238468875379366,3.0440160661935804,20.61204957962036,0.00027367742870144126,21,39
29,-5006.843230247498,403,797,26.841190338134766,44.66501235961914,0.9212553013171786,3.034843614844025,21.923579931259155,0.0002727481789242841,7,24
30,-17551.811697006226,310,890,23.645160675048828,51.290321350097656,0.9188402260811923,3.1023246279934,21.20162296295166,0.0002718220843402769,6,19
31,-12729.304039001465,368,832,23.6141300201416,46.263587951660156,0.9162626846063957,3.26035538315773,22.10992932319641,0.0002708991342362142,8,22
32,5715.335262298584,568,632,27.29929542541504,29.313379287719727,0.9137765317345754,3.1710338137917597,21.865875244140625,0.0002699793179352664,16,33
33,-21245.388573646545,352,848,25.394887924194336,49.00568389892578,0.9112551588797116,3.350290431578954,22.41171884536743,0.00026906262479685605,7,21
34,-5925.151027679443,541,659,29.01663589477539,32.116451263427734,0.9086988951251831,2.925290970528712,23.093820810317993,0.00026814904421653513,13,32
35,-10633.932228088379,385,815,22.600000381469727,49.35064697265625,0.9062332655566214,3.7341124546729914,22.084004163742065,0.00026723856562586206,10,20
36,-2520.568199157715,646,554,36.59287643432617,26.354488372802734,0.9036078600843376,3.662379881692311,23.15333843231201,0.00026633117849227957,15,37
37,-20423.184767723083,445,755,26.91910171508789,38.314605712890625,0.901156044339693,3.1719917250891863,22.76132297515869,0.00026542687231899284,8,27
38,-21306.581468582153,399,801,24.348371505737305,42.16791915893555,0.8985453478445273,3.4607316965148565,23.566516399383545,0.0002645256366448481,9,22
39,-20299.55703353882,332,868,21.466867446899414,51.65662384033203,0.8958596991470597,3.2300081399770884,23.886577367782593,0.00026362746104421155,7,20
40,-14638.947410583496,388,812,26.06185531616211,46.19845199584961,0.8932232110465247,3.654529834166169,24.567633628845215,0.00026273233512684886,10,24
41,-13130.658388137817,421,779,25.79097557067871,41.56769943237305,0.8906765126117463,3.50843842375663,23.27261710166931,0.00026184024853780487,12,25
42,-492.97304248809814,546,654,30.39377212524414,34.11172103881836,0.8882188793684188,4.285655814409256,22.790955543518066,0.0002609511909572838,15,30
43,-15622.441922187805,384,816,26.697917938232422,41.9921875,0.8856864489502956,4.046268491975723,22.820056676864624,0.00026006515210052995,5,27
44,-4622.60919380188,607,593,34.10378646850586,29.118616104125977,0.8831205686872559,3.9854901669517395,23.884357690811157,0.0002591821217177087,19,30
45,1322.422369003296,642,558,31.912771224975586,28.154205322265625,0.8804810228805912,4.408366637963515,24.469812154769897,0.000258302089593788,19,34
46,-13583.473485946655,672,528,38.038692474365234,26.227678298950195,0.8780110870965159,4.759060883131183,22.951492071151733,0.00025742504554841984,19,32
47,-11809.43602180481,578,622,34.2889289855957,31.790658950805664,0.8756287246775851,5.041243149062335,22.147668838500977,0.0002565509794358231,18,29
48,-4863.635541915894,633,567,35.810428619384766,29.225908279418945,0.8731724006178462,4.610603474202703,23.371963262557983,0.00025567988114466567,16,38
49,-11169.195055961609,464,736,27.400861740112305,41.056034088134766,0.8706026805532683,5.824978124350309,24.68497943878174,0.00025481174059794763,9,28
50,-7742.338832855225,521,679,29.130517959594727,36.46833038330078,0.8681204762660766,5.897365423940843,24.175838470458984,0.00025394654775288484,13,30
51,3226.3309297561646,677,523,32.84047317504883,28.101919174194336,0.8658048215278,5.774715910697806,23.143988132476807,0.0002530842926007925,20,37
52,16709.170162200928,769,431,33.52145767211914,23.862157821655273,0.863217030497804,6.546382698645958,24.437385082244873,0.00025222496516696957,24,40
53,14919.345489501953,817,383,34.559364318847656,22.827417373657227,0.860795523869445,5.375725818462059,22.89565896987915,0.0002513685555105833,28,40
54,2964.105644226074,492,708,26.74186897277832,37.44918441772461,0.858301753926564,5.875892402633788,28.166375398635864,0.0002505150537245542,9,30
55,-3050.2162704467773,562,638,30.407472610473633,37.5,0.8558152085664733,5.478958835677495,23.564624547958374,0.0002496644499354415,15,30
56,-5617.35721206665,409,791,22.94376564025879,50.977996826171875,0.8533751653329775,5.0440582729155015,23.60688328742981,0.000248816734303329,9,27
57,-18823.085580825806,292,908,15.6575345993042,72.2602767944336,0.8509028925593666,4.953905583847137,24.16710090637207,0.0002479718970217109,5,22
58,-16608.292490005493,303,897,20.966997146606445,62.45874786376953,0.8483205741753749,4.874035121816577,24.746545791625977,0.0002471299283173789,5,22
