episode,reward,evacuated,died,avg_steps,avg_hp,epsilon,loss,duration,lr,evac_min,evac_max
1,-30485.361234664917,442,758,40.92760467529297,30.033937454223633,0.9971947881670471,0.1985925764272936,14.174361228942871,0.0003,10,24
2,-26384.580981254578,230,970,21.608694076538086,51.304344177246094,0.9943974455475223,0.05072159139958561,14.693641424179077,0.0002989813740414403,5,14
3,-17382.744331359863,405,795,33.52098846435547,31.543210983276367,0.9916079500666142,0.06001539485620671,14.358264923095703,0.00029796620674569217,8,23
4,-21156.50180053711,260,940,24.08461570739746,55.57692337036133,0.9889629005477264,0.11481158846411212,14.711698532104492,0.00029695448636914314,5,17
5,-25520.966007232666,215,985,19.11627960205078,61.86046600341797,0.9861432354967838,0.16495638460882248,16.061402797698975,0.00029594620120805526,3,15
6,-9471.162376403809,436,764,32.05963134765625,34.747703552246094,0.9831504899925197,0.26846556681575195,17.631999969482422,0.0002949413395984298,10,25
7,-19172.10482597351,265,935,22.777359008789062,54.716983795166016,0.9803473968988216,0.36414115130901337,17.772526502609253,0.00029393988991587206,7,17
8,-13836.16333770752,327,873,24.559633255004883,49.15902328491211,0.9774172512852889,0.34630522429943084,17.1574285030365,0.0002929418405754571,7,21
9,-16583.159519195557,326,874,27.32822036743164,46.54907989501953,0.9745407417663039,0.4177425510715693,18.475626230239868,0.0002919471800315958,7,19
10,-2283.611560821533,444,756,28.283784866333008,36.88063049316406,0.9717621962124144,0.5334263645833538,17.089207649230957,0.0002909558967779009,10,29
11,-34429.11260700226,290,910,22.906896591186523,56.120689392089844,0.9690361974007826,0.5638531436685656,17.63947319984436,0.00028996797934705427,6,17
12,-17286.10064983368,352,848,30.616477966308594,37.428977966308594,0.9662733460365948,0.5981407595738288,19.117068767547607,0.0002889834163106743,7,20
13,-7558.231726646423,429,771,31.895105361938477,34.09090805053711,0.963252178742752,0.7016201209934319,19.323885202407837,0.00028800219627918327,9,24
14,19769.834856033325,729,471,34.60493850708008,23.52537727355957,0.9605942883160201,0.786037397881349,17.84586000442505,0.00028702430790167603,17,37
15,-5495.472805023193,385,815,26.197402954101562,40.71428680419922,0.9581643318673557,0.9504249973730607,18.573508501052856,0.00028604973986578845,10,23
16,4109.953479766846,607,593,34.93739700317383,25.28830337524414,0.9556084910183077,1.0078669113331828,19.36855387687683,0.0002850784808975667,16,31
17,2544.747001647949,609,591,34.94417190551758,23.809524536132812,0.952927806771633,1.2074198214734186,19.791788816452026,0.00028411051976133663,17,30
18,15871.497906684875,696,504,36.06465530395508,21.55172348022461,0.9502108825762591,1.271825147251929,20.031790018081665,0.00028314584525957403,16,35
19,-2569.2215480804443,459,741,30.09585952758789,37.200435638427734,0.9475889768449142,1.505281067887942,19.84351658821106,0.00028218444623277495,6,29
20,12778.243692398071,607,593,33.02141571044922,25.906095504760742,0.9448872743652883,1.613366553860326,20.996978521347046,0.00028122631155932666,19,32
21,20132.49730873108,770,430,36.610389709472656,19.837661743164062,0.9422366654024321,1.6491070365319487,21.473074674606323,0.00028027143015537894,21,40
22,14749.366658210754,721,479,35.5589485168457,23.23162269592285,0.9395069561856613,2.033126968239981,21.353744983673096,0.0002793197909747159,22,38
23,23006.80215740204,763,437,35.834861755371094,19.528179168701172,0.9368282966242082,2.1983910462548657,22.137245178222656,0.0002783713830086282,23,35
24,32429.8424243927,810,390,34.85432434082031,21.94444465637207,0.9341142557364712,2.601969274263533,22.845048189163208,0.00027742619528578575,27,37
25,16373.141388893127,845,355,40.01420211791992,20.177515029907227,0.9312365216610234,2.545333314297804,23.473237991333008,0.0002764842168721106,25,39
26,20178.252449035645,754,446,33.93766403198242,23.209548950195312,0.9284959206378044,2.684462146833539,24.340575218200684,0.00027554543687065074,24,35
27,13940.353086471558,737,463,35.259159088134766,22.795116424560547,0.925933932745969,2.9583734114964804,23.208466291427612,0.0002746098444214537,20,38
28,15426.863065719604,708,492,33.855934143066406,25.882768630981445,0.9233364919212975,2.8730940545191532,23.24567937850952,0.00027367742870144126,19,34
29,25704.481608390808,795,405,35.92955780029297,22.138364791870117,0.920661537501962,2.853762011679392,24.083101987838745,0.0002727481789242841,22,37
30,18256.175931930542,750,450,34.73066711425781,24.133333206176758,0.918248018820694,3.039354381854074,22.69150972366333,0.0002718220843402769,22,37
31,28227.62075996399,894,306,37.81208038330078,19.854585647583008,0.9155456425699641,3.6426950190216303,25.403191089630127,0.0002708991342362142,26,42
32,18801.38136768341,832,368,36.67428207397461,22.776443481445312,0.9129773430998179,3.718384645024284,25.023805618286133,0.0002699793179352664,21,40
33,17316.420784950256,855,345,37.46783447265625,19.561403274536133,0.9103323996798989,3.6385778046789623,25.502170085906982,0.00026906262479685605,20,41
34,24632.369817733765,886,314,35.82392883300781,21.86794662475586,0.9077787244603965,3.6182386836067577,24.82054305076599,0.00026814904421653513,27,42
35,14661.309387207031,759,441,33.91436004638672,24.407114028930664,0.9053572839321824,3.962639771658799,24.51202702522278,0.00026723856562586206,17,39
36,29940.711784362793,942,258,38.22611618041992,20.514863967895508,0.9026928447258059,4.304518204182386,26.294877767562866,0.00026633117849227957,29,44
37,23821.69588661194,852,348,40.0457763671875,19.24882698059082,0.9000362468837286,5.003886723890901,26.008230209350586,0.00026542687231899284,27,40
38,31983.506141662598,871,329,35.205509185791016,22.70378875732422,0.8973461420605104,4.989328907086299,26.245404481887817,0.0002645256366448481,31,39
39,32544.87442588806,875,325,36.29828643798828,22.08571434020996,0.8948288960445477,4.991295849690672,25.419633150100708,0.00026362746104421155,28,40
40,30900.753633499146,859,341,35.24330520629883,23.690338134765625,0.8924009008123238,5.861174595558037,24.166286945343018,0.00026273233512684886,23,43
41,27639.197566986084,899,301,36.040042877197266,20.884315490722656,0.8900614675270636,5.512390145084314,23.73303198814392,0.00026184024853780487,28,43
42,28061.609493255615,846,354,36.3877067565918,22.695035934448242,0.8875646565663013,5.302976901413964,24.816510915756226,0.0002609511909572838,26,41
43,41822.42637062073,855,345,35.360233306884766,22.42690086364746,0.8849118278921078,5.485408639907837,26.231465101242065,0.00026006515210052995,25,45
44,36815.467166900635,890,310,36.04045104980469,22.27528190612793,0.8824294627613848,5.893559663022151,25.217353343963623,0.0002591821217177087,26,45
45,26161.26371383667,849,351,35.80565643310547,25.029447555541992,0.8799540611907005,5.947511522496333,25.214622735977173,0.000258302089593788,29,39
46,22164.636115074158,851,349,35.66862487792969,22.679201126098633,0.8773239797107429,5.458000903863173,26.437244176864624,0.00025742504554841984,31,40
47,19157.835418701172,814,386,34.470516204833984,22.57370948791504,0.875104667053988,5.485056541182778,23.079557418823242,0.0002565509794358231,22,39
48,36967.15816497803,899,301,35.41267776489258,21.496105194091797,0.8726900010212707,4.853200896581014,25.05255961418152,0.00025567988114466567,26,41
49,15101.60047531128,772,428,33.72538757324219,25.582901000976562,0.8704022399553142,3.9935214226705984,23.765111446380615,0.00025481174059794763,16,36
50,13997.085706710815,807,393,35.48079299926758,25.650558471679688,0.868000549274476,3.9237495760122933,25.048108339309692,0.00025394654775288484,25,38
51,15489.26244544983,871,329,36.19976806640625,23.306543350219727,0.8656852144336261,4.229254288920041,23.404195308685303,0.0002530842926007925,26,41
52,41372.78486061096,885,315,36.293785095214844,24.293785095214844,0.863018290312847,3.8982402370936833,27.128443241119385,0.00025222496516696957,29,44
53,23708.20971107483,750,450,33.62666702270508,27.066665649414062,0.8606766087875144,3.9131722167386847,24.468623161315918,0.0002513685555105833,21,39
54,19507.226552009583,760,440,33.55394744873047,26.80921173095703,0.8583412810931813,3.513077190366842,24.550784587860107,0.0002505150537245542,18,38
55,27776.49620628357,815,385,35.70061492919922,25.276073455810547,0.855894035690205,3.304494607833124,26.30786371231079,0.0002496644499354415,24,39
56,18636.51841545105,702,498,30.665241241455078,32.72792053222656,0.8536109941845683,3.5069436245951158,25.09054708480835,0.000248816734303329,19,33
57,21493.033215522766,768,432,33.74609375,28.25520896911621,0.8513340425432129,3.6239323595474504,24.383281707763672,0.0002479718970217109,22,38
58,4072.858428955078,433,767,25.120092391967773,54.79214859008789,0.848945870213275,3.0059545880458396,24.8983473777771,0.0002471299283173789,10,24
59,27832.700477600098,721,479,32.36477279663086,31.90013885498047,0.8466423722658962,3.271427421246545,24.869850397109985,0.0002462908184503087,19,35
60,5146.32855796814,444,756,26.319820404052734,50.33783721923828,0.844228482011365,2.981425771790166,26.049286603927612,0.0002454545577135474,11,31
61,5079.7506103515625,477,723,28.55555534362793,44.02515411376953,0.8418602422839107,2.868799771441788,25.394683361053467,0.0002446211364331014,7,29
62,19075.264822006226,627,573,32.401912689208984,33.05422592163086,0.8393826729578119,3.4237934555858374,26.558126211166382,0.00024379054496782433,15,32
63,22639.875703811646,693,507,34.62626266479492,32.395381927490234,0.8369123950435855,3.655497495085001,26.026607275009155,0.00024296277370930555,20,40
64,31521.007598876953,805,395,33.684471130371094,31.428571701049805,0.8346415482773076,3.399454290583982,24.27146863937378,0.00024213781308175903,22,41
65,21500.910661697388,813,387,36.91389846801758,28.38253402709961,0.832338531653131,3.14578804175059,24.361762046813965,0.00024131565354191254,20,41
66,45310.46124267578,909,291,37.32343292236328,28.382837295532227,0.8297743389538568,3.6232174425872405,26.46579122543335,0.00024049628557889726,29,48
67,20689.714874267578,559,641,27.003578186035156,38.327369689941406,0.8274847523632176,3.5080324967702228,24.354332208633423,0.00023967969971413778,14,34
68,3009.1065196990967,453,747,25.86092758178711,50.49668884277344,0.8251634823443004,3.92737785421434,25.243232488632202,0.00023886588650124242,12,26
69,28125.773330688477,867,333,37.27220153808594,25.432525634765625,0.8228487239795074,3.463383187036045,25.02049231529236,0.000238054836525894,21,42
70,44307.46979522705,895,305,36.22234344482422,25.97765350341797,0.8203893237844373,4.704215313838079,26.425557136535645,0.0002372465404057408,24,44
71,45685.05862426758,982,218,35.98574447631836,25.356416702270508,0.8181256331559603,4.401973099509875,25.34328055381775,0.0002364409887902883,29,46
72,39761.3635559082,795,405,31.56729507446289,31.72955894470215,0.8158681887024556,5.450835053126017,25.035106897354126,0.0002356381723607906,22,40
