Using device: cuda
ALGORITHM: NoisyDuelingDDQN
EP 1/100 | time  3.85s | reward -14572.1 | evac  37 | died 443 | eps  nan | lr 0.00029 | loss  0.441
EP 2/100 | time  3.39s | reward -12863.5 | evac 136 | died 344 | eps  nan | lr 0.00028 | loss  0.322
EP 3/100 | time  4.30s | reward  -1041.4 | evac 254 | died 226 | eps  nan | lr 0.00027 | loss  0.458
EP 4/100 | time  5.21s | reward -12854.1 | evac 170 | died 310 | eps  nan | lr 0.00026 | loss  0.367
EP 5/100 | time  3.93s | reward -14704.2 | evac 192 | died 288 | eps  nan | lr 0.00025 | loss  0.511
EP 6/100 | time  3.78s | reward  13357.6 | evac 321 | died 159 | eps  nan | lr 0.00024 | loss  0.481
EP 7/100 | time  3.67s | reward -18775.5 | evac 139 | died 341 | eps  nan | lr 0.00024 | loss  0.573
EP 8/100 | time  3.40s | reward   2268.2 | evac 320 | died 160 | eps  nan | lr 0.00023 | loss  0.565
EP 9/100 | time  3.45s | reward   3712.5 | evac 346 | died 134 | eps  nan | lr 0.00022 | loss  0.615
EP 10/100 | time  3.50s | reward -10333.1 | evac 255 | died 225 | eps  nan | lr 0.00021 | loss  0.570
EP 11/100 | time  3.69s | reward -11268.5 | evac 293 | died 187 | eps  nan | lr 0.00021 | loss  0.589
EP 12/100 | time  3.62s | reward -14230.0 | evac 250 | died 230 | eps  nan | lr 0.00020 | loss  0.593
EP 13/100 | time  3.56s | reward -13862.6 | evac 195 | died 285 | eps  nan | lr 0.00019 | loss  0.649
EP 14/100 | time  3.80s | reward -16633.8 | evac 306 | died 174 | eps  nan | lr 0.00019 | loss  0.634
EP 15/100 | time  4.48s | reward -18120.4 | evac 292 | died 188 | eps  nan | lr 0.00018 | loss  0.656
EP 16/100 | time  8.94s | reward  -9396.1 | evac 321 | died 159 | eps  nan | lr 0.00017 | loss  0.686
EP 17/100 | time  8.50s | reward -11045.2 | evac 236 | died 244 | eps  nan | lr 0.00017 | loss  0.644
EP 18/100 | time  8.42s | reward   -702.2 | evac 372 | died 108 | eps  nan | lr 0.00016 | loss  0.715
EP 19/100 | time  8.80s | reward -10267.0 | evac 318 | died 162 | eps  nan | lr 0.00016 | loss  0.669
EP 20/100 | time  8.43s | reward  -4059.1 | evac 261 | died 219 | eps  nan | lr 0.00015 | loss  0.666
EP 21/100 | time  8.81s | reward   -440.3 | evac 314 | died 166 | eps  nan | lr 0.00015 | loss  0.711
EP 22/100 | time  8.00s | reward  -6070.7 | evac 295 | died 185 | eps  nan | lr 0.00014 | loss  0.796
EP 23/100 | time  7.78s | reward  10132.1 | evac 276 | died 204 | eps  nan | lr 0.00014 | loss  0.814
EP 24/100 | time  9.29s | reward  12366.9 | evac 317 | died 163 | eps  nan | lr 0.00013 | loss  0.823
EP 25/100 | time  7.62s | reward   6886.6 | evac 311 | died 169 | eps  nan | lr 0.00013 | loss  0.865
EP 26/100 | time  9.65s | reward   9503.1 | evac 271 | died 209 | eps  nan | lr 0.00012 | loss  0.843
EP 27/100 | time  9.08s | reward  11037.0 | evac 300 | died 180 | eps  nan | lr 0.00012 | loss  0.777
EP 28/100 | time  7.66s | reward  -8384.7 | evac 225 | died 255 | eps  nan | lr 0.00012 | loss  0.812
EP 29/100 | time  4.13s | reward  -4822.7 | evac 309 | died 171 | eps  nan | lr 0.00011 | loss  0.847
EP 30/100 | time  3.59s | reward   6225.9 | evac 253 | died 227 | eps  nan | lr 0.00011 | loss  0.938
EP 31/100 | time  4.19s | reward  18157.3 | evac 269 | died 211 | eps  nan | lr 0.00010 | loss  0.983
EP 32/100 | time  4.01s | reward  -5618.2 | evac 262 | died 218 | eps  nan | lr 0.00010 | loss  0.958
EP 33/100 | time  3.85s | reward  -8024.0 | evac 103 | died 377 | eps  nan | lr 0.00010 | loss  0.907
EP 34/100 | time  3.83s | reward  -9810.6 | evac 142 | died 338 | eps  nan | lr 0.00009 | loss  0.855
EP 35/100 | time  3.64s | reward  -5211.8 | evac 130 | died 350 | eps  nan | lr 0.00009 | loss  0.907
EP 36/100 | time  3.69s | reward  10480.4 | evac 226 | died 254 | eps  nan | lr 0.00009 | loss  0.890
EP 37/100 | time  3.62s | reward   1440.1 | evac 257 | died 223 | eps  nan | lr 0.00009 | loss  0.822
EP 38/100 | time  3.82s | reward     72.7 | evac 256 | died 224 | eps  nan | lr 0.00008 | loss  0.925
EP 39/100 | time  3.61s | reward   1302.5 | evac 234 | died 246 | eps  nan | lr 0.00008 | loss  0.875
EP 40/100 | time  3.82s | reward  13857.4 | evac 296 | died 184 | eps  nan | lr 0.00008 | loss  0.940
EP 41/100 | time  3.98s | reward   8637.5 | evac 294 | died 186 | eps  nan | lr 0.00007 | loss  0.891
EP 42/100 | time  3.88s | reward   9725.6 | evac 274 | died 206 | eps  nan | lr 0.00007 | loss  0.901
EP 43/100 | time  3.97s | reward  26167.6 | evac 308 | died 172 | eps  nan | lr 0.00007 | loss  1.038
EP 44/100 | time  3.75s | reward  18283.2 | evac 302 | died 178 | eps  nan | lr 0.00007 | loss  1.035
EP 45/100 | time  3.68s | reward  31998.3 | evac 337 | died 143 | eps  nan | lr 0.00006 | loss  1.042
EP 46/100 | time  3.69s | reward  22019.3 | evac 321 | died 159 | eps  nan | lr 0.00006 | loss  1.037
EP 47/100 | time  3.70s | reward  27330.1 | evac 296 | died 184 | eps  nan | lr 0.00006 | loss  1.001
EP 48/100 | time  4.07s | reward  20555.0 | evac 288 | died 192 | eps  nan | lr 0.00006 | loss  1.040
EP 49/100 | time  3.72s | reward  12859.6 | evac 249 | died 231 | eps  nan | lr 0.00006 | loss  1.009
EP 50/100 | time  3.96s | reward  11776.2 | evac 220 | died 260 | eps  nan | lr 0.00005 | loss  1.085
EP 51/100 | time  3.96s | reward  18083.2 | evac 268 | died 212 | eps  nan | lr 0.00005 | loss  1.039
