Using device: cuda
ALGORITHM: QRDQN
EP 1/100 | time  3.52s | reward -14570.1 | evac  71 | died 409 | eps 0.978 | lr 0.00029 | loss  0.046
EP 2/100 | time  3.15s | reward -15516.1 | evac  74 | died 406 | eps 0.955 | lr 0.00028 | loss  0.025
EP 3/100 | time  2.98s | reward -14868.4 | evac  96 | died 384 | eps 0.933 | lr 0.00027 | loss  0.034
EP 4/100 | time  4.99s | reward -16275.7 | evac  86 | died 394 | eps 0.910 | lr 0.00026 | loss  0.038
EP 5/100 | time  3.25s | reward -16424.2 | evac  91 | died 389 | eps 0.888 | lr 0.00025 | loss  0.045
EP 6/100 | time  3.33s | reward -16841.1 | evac 100 | died 380 | eps 0.866 | lr 0.00024 | loss  0.043
EP 7/100 | time  3.37s | reward -17761.0 | evac 102 | died 378 | eps 0.844 | lr 0.00024 | loss  0.045
EP 8/100 | time  3.45s | reward -17824.3 | evac 105 | died 375 | eps 0.822 | lr 0.00023 | loss  0.048
EP 9/100 | time  3.15s | reward -14427.7 | evac 119 | died 361 | eps 0.802 | lr 0.00022 | loss  0.048
EP 10/100 | time  3.10s | reward -15256.6 | evac 117 | died 363 | eps 0.783 | lr 0.00021 | loss  0.049
EP 11/100 | time  3.42s | reward -16606.9 | evac 124 | died 356 | eps 0.763 | lr 0.00021 | loss  0.050
EP 12/100 | time  3.12s | reward -14552.2 | evac 124 | died 356 | eps 0.745 | lr 0.00020 | loss  0.052
EP 13/100 | time  3.25s | reward -16885.3 | evac 125 | died 355 | eps 0.726 | lr 0.00019 | loss  0.054
EP 14/100 | time  2.99s | reward -12446.5 | evac 136 | died 344 | eps 0.710 | lr 0.00019 | loss  0.051
EP 15/100 | time  3.56s | reward -16154.4 | evac 153 | died 327 | eps 0.692 | lr 0.00018 | loss  0.053
EP 16/100 | time  3.07s | reward -12632.2 | evac 155 | died 325 | eps 0.675 | lr 0.00017 | loss  0.052
EP 17/100 | time  3.32s | reward -15057.5 | evac 137 | died 343 | eps 0.659 | lr 0.00017 | loss  0.061
EP 18/100 | time  7.63s | reward -15730.8 | evac 186 | died 294 | eps 0.642 | lr 0.00016 | loss  0.063
EP 19/100 | time  6.71s | reward -10755.7 | evac 178 | died 302 | eps 0.627 | lr 0.00016 | loss  0.064
EP 20/100 | time  8.02s | reward -16273.3 | evac 174 | died 306 | eps 0.610 | lr 0.00015 | loss  0.072
EP 21/100 | time  6.98s | reward -12197.9 | evac 155 | died 325 | eps 0.596 | lr 0.00015 | loss  0.071
EP 22/100 | time  7.06s | reward -12614.8 | evac 149 | died 331 | eps 0.582 | lr 0.00014 | loss  0.070
EP 23/100 | time  7.64s | reward -16790.9 | evac 154 | died 326 | eps 0.567 | lr 0.00014 | loss  0.074
EP 24/100 | time  7.48s | reward -14525.7 | evac 158 | died 322 | eps 0.552 | lr 0.00013 | loss  0.084
EP 25/100 | time  5.46s | reward -10963.9 | evac 167 | died 313 | eps 0.540 | lr 0.00013 | loss  0.086
EP 26/100 | time  7.49s | reward -15120.8 | evac 156 | died 324 | eps 0.526 | lr 0.00012 | loss  0.087
EP 27/100 | time  5.64s | reward -11880.1 | evac 194 | died 286 | eps 0.514 | lr 0.00012 | loss  0.089
EP 28/100 | time  7.76s | reward -15823.8 | evac 187 | died 293 | eps 0.500 | lr 0.00012 | loss  0.087
EP 29/100 | time  6.13s | reward -11019.0 | evac 208 | died 272 | eps 0.489 | lr 0.00011 | loss  0.096
EP 30/100 | time  7.60s | reward -14407.3 | evac 194 | died 286 | eps 0.476 | lr 0.00011 | loss  0.095
EP 31/100 | time  7.40s | reward -12666.5 | evac 193 | died 287 | eps 0.465 | lr 0.00010 | loss  0.097
EP 32/100 | time  6.76s | reward -10624.6 | evac 178 | died 302 | eps 0.454 | lr 0.00010 | loss  0.093
EP 33/100 | time  5.22s | reward -11347.4 | evac 258 | died 222 | eps 0.443 | lr 0.00010 | loss  0.095
EP 34/100 | time  3.90s | reward -15909.7 | evac 196 | died 284 | eps 0.431 | lr 0.00009 | loss  0.093
EP 35/100 | time  3.22s | reward -13252.4 | evac 165 | died 315 | eps 0.421 | lr 0.00009 | loss  0.096
EP 36/100 | time  3.43s | reward -15456.6 | evac 207 | died 273 | eps 0.409 | lr 0.00009 | loss  0.104
EP 37/100 | time  3.38s | reward -11220.6 | evac 216 | died 264 | eps 0.399 | lr 0.00009 | loss  0.093
EP 38/100 | time  3.59s | reward -14906.5 | evac 213 | died 267 | eps 0.389 | lr 0.00008 | loss  0.097
