Using device: cuda
ALGORITHM: DuelingDDQN
EP 1/100 | time  4.24s | reward -21400.9 | evac  47 | died 433 | eps 0.975 | lr 0.00029 | loss  0.261
EP 2/100 | time  4.03s | reward -22073.3 | evac  60 | died 420 | eps 0.949 | lr 0.00028 | loss  0.172
EP 3/100 | time  4.23s | reward -24705.4 | evac  60 | died 420 | eps 0.923 | lr 0.00027 | loss  0.222
EP 4/100 | time  3.95s | reward -22106.2 | evac  66 | died 414 | eps 0.898 | lr 0.00026 | loss  0.342
EP 5/100 | time  3.77s | reward -19858.4 | evac  59 | died 421 | eps 0.876 | lr 0.00025 | loss  0.479
EP 6/100 | time  4.10s | reward -22744.2 | evac  80 | died 400 | eps 0.852 | lr 0.00024 | loss  0.592
EP 7/100 | time  3.92s | reward -20970.5 | evac  65 | died 415 | eps 0.830 | lr 0.00024 | loss  0.798
EP 8/100 | time  3.86s | reward -19974.0 | evac  78 | died 402 | eps 0.809 | lr 0.00023 | loss  1.197
EP 9/100 | time  3.91s | reward -21429.3 | evac  85 | died 395 | eps 0.787 | lr 0.00022 | loss  1.208
EP 10/100 | time  4.30s | reward -22161.9 | evac 103 | died 377 | eps 0.766 | lr 0.00021 | loss  1.338
EP 11/100 | time  5.40s | reward -20323.7 | evac 125 | died 355 | eps 0.746 | lr 0.00021 | loss  1.754
EP 12/100 | time  4.86s | reward -22229.3 | evac 119 | died 361 | eps 0.725 | lr 0.00020 | loss  2.366
EP 13/100 | time  4.60s | reward -22607.7 | evac 116 | died 364 | eps 0.705 | lr 0.00019 | loss  2.587
EP 14/100 | time  4.59s | reward -20133.2 | evac 143 | died 337 | eps 0.687 | lr 0.00019 | loss  2.781
EP 15/100 | time  4.77s | reward -21333.7 | evac 143 | died 337 | eps 0.668 | lr 0.00018 | loss  2.997
EP 16/100 | time  3.98s | reward -21385.9 | evac 132 | died 348 | eps 0.650 | lr 0.00017 | loss  3.037
EP 17/100 | time  4.74s | reward -18689.4 | evac 174 | died 306 | eps 0.634 | lr 0.00017 | loss  3.598
EP 18/100 | time  3.85s | reward -19432.1 | evac 140 | died 340 | eps 0.617 | lr 0.00016 | loss  4.101
EP 19/100 | time  4.34s | reward -23331.3 | evac 178 | died 302 | eps 0.599 | lr 0.00016 | loss  4.313
EP 20/100 | time  5.63s | reward -18791.7 | evac 189 | died 291 | eps 0.584 | lr 0.00015 | loss  4.276
EP 21/100 | time  4.82s | reward -22151.3 | evac 209 | died 271 | eps 0.567 | lr 0.00015 | loss  5.209
EP 22/100 | time  5.20s | reward -24303.8 | evac 200 | died 280 | eps 0.550 | lr 0.00014 | loss  5.243
EP 23/100 | time  5.43s | reward -18545.6 | evac 204 | died 276 | eps 0.536 | lr 0.00014 | loss  5.975
EP 24/100 | time  4.69s | reward -16737.6 | evac 217 | died 263 | eps 0.523 | lr 0.00013 | loss  5.892
