Using device: cuda
ALGORITHM: DuelingDDQNPrioritized
EP 1/100 | time  5.28s | reward -17681.0 | evac  65 | died 415 | eps 0.976 | lr 0.00029 | loss  0.135
EP 2/100 | time  4.94s | reward -13157.9 | evac  71 | died 409 | eps 0.952 | lr 0.00028 | loss  0.075
EP 3/100 | time  4.97s | reward  -9088.7 | evac  78 | died 402 | eps 0.928 | lr 0.00027 | loss  0.145
EP 4/100 | time  5.04s | reward  -8664.1 | evac  80 | died 400 | eps 0.904 | lr 0.00026 | loss  0.273
EP 5/100 | time  5.03s | reward  -8789.2 | evac 107 | died 373 | eps 0.882 | lr 0.00025 | loss  0.427
EP 6/100 | time  4.95s | reward  -5782.0 | evac 129 | died 351 | eps 0.860 | lr 0.00024 | loss  0.532
EP 7/100 | time  5.07s | reward  -5413.3 | evac 108 | died 372 | eps 0.839 | lr 0.00024 | loss  0.606
EP 8/100 | time  5.19s | reward    665.0 | evac 195 | died 285 | eps 0.818 | lr 0.00023 | loss  0.703
EP 9/100 | time  6.67s | reward  -4743.9 | evac 135 | died 345 | eps 0.797 | lr 0.00022 | loss  1.015
EP 10/100 | time  5.42s | reward  -2976.3 | evac 142 | died 338 | eps 0.777 | lr 0.00021 | loss  1.271
EP 11/100 | time  5.61s | reward   1495.7 | evac 193 | died 287 | eps 0.758 | lr 0.00021 | loss  1.405
EP 12/100 | time  5.85s | reward  -2723.4 | evac 170 | died 310 | eps 0.739 | lr 0.00020 | loss  1.515
EP 13/100 | time  5.11s | reward   1427.6 | evac 172 | died 308 | eps 0.721 | lr 0.00019 | loss  1.789
EP 14/100 | time  5.90s | reward   1681.1 | evac 184 | died 296 | eps 0.703 | lr 0.00019 | loss  2.409
EP 15/100 | time  5.10s | reward   -676.4 | evac 181 | died 299 | eps 0.685 | lr 0.00018 | loss  2.764
EP 16/100 | time  6.13s | reward    211.6 | evac 189 | died 291 | eps 0.668 | lr 0.00017 | loss  3.543
EP 17/100 | time  5.93s | reward   6116.3 | evac 221 | died 259 | eps 0.651 | lr 0.00017 | loss  3.529
EP 18/100 | time  5.57s | reward   6436.4 | evac 213 | died 267 | eps 0.635 | lr 0.00016 | loss  3.920
EP 19/100 | time  7.19s | reward   1251.9 | evac 185 | died 295 | eps 0.619 | lr 0.00016 | loss  4.295
EP 20/100 | time  4.88s | reward   8020.0 | evac 229 | died 251 | eps 0.604 | lr 0.00015 | loss  4.989
EP 21/100 | time  5.75s | reward  10971.9 | evac 262 | died 218 | eps 0.589 | lr 0.00015 | loss  5.228
EP 22/100 | time  5.03s | reward   6236.7 | evac 229 | died 251 | eps 0.574 | lr 0.00014 | loss  5.054
EP 23/100 | time  7.00s | reward  10184.9 | evac 245 | died 235 | eps 0.560 | lr 0.00014 | loss  5.274
EP 24/100 | time  5.14s | reward  10806.5 | evac 251 | died 229 | eps 0.546 | lr 0.00013 | loss  5.496
EP 25/100 | time  5.15s | reward  14058.6 | evac 248 | died 232 | eps 0.532 | lr 0.00013 | loss  5.906
EP 26/100 | time  5.83s | reward  13581.5 | evac 262 | died 218 | eps 0.518 | lr 0.00012 | loss  6.603
EP 27/100 | time  6.08s | reward  14936.9 | evac 268 | died 212 | eps 0.504 | lr 0.00012 | loss  5.944
EP 28/100 | time  5.07s | reward  13551.3 | evac 253 | died 227 | eps 0.491 | lr 0.00012 | loss  6.318
EP 29/100 | time  5.92s | reward  15927.0 | evac 268 | died 212 | eps 0.477 | lr 0.00011 | loss  5.957
EP 30/100 | time  6.90s | reward  14265.8 | evac 266 | died 214 | eps 0.465 | lr 0.00011 | loss  6.868
