Using device: cuda
ALGORITHM: DuelingDDQN
EP 1/100 | time 39.44s | reward -17721.3 | evac  63 | died 417 | eps 0.977 | lr 0.00029 | loss  0.495
EP 2/100 | time 44.75s | reward -19127.7 | evac  62 | died 418 | eps 0.953 | lr 0.00028 | loss  0.134
EP 3/100 | time 47.39s | reward -20970.4 | evac  56 | died 424 | eps 0.929 | lr 0.00027 | loss  0.222
EP 4/100 | time 43.37s | reward -17437.9 | evac  71 | died 409 | eps 0.907 | lr 0.00026 | loss  0.353
EP 5/100 | time 43.58s | reward -18324.5 | evac  78 | died 402 | eps 0.885 | lr 0.00025 | loss  0.596
EP 6/100 | time 48.18s | reward -21222.6 | evac  88 | died 392 | eps 0.862 | lr 0.00024 | loss  0.921
EP 7/100 | time 45.99s | reward -18094.0 | evac 110 | died 370 | eps 0.840 | lr 0.00024 | loss  0.924
EP 8/100 | time 44.50s | reward -16948.9 | evac 100 | died 380 | eps 0.820 | lr 0.00023 | loss  1.642
EP 9/100 | time 44.72s | reward -17076.1 | evac 115 | died 365 | eps 0.801 | lr 0.00022 | loss  2.116
EP 10/100 | time 47.56s | reward -19239.7 | evac 119 | died 361 | eps 0.780 | lr 0.00021 | loss  2.945
EP 11/100 | time 46.10s | reward -18302.2 | evac 131 | died 349 | eps 0.761 | lr 0.00021 | loss  3.367
EP 12/100 | time 46.04s | reward -17603.0 | evac 135 | died 345 | eps 0.742 | lr 0.00020 | loss  4.560
EP 13/100 | time 43.78s | reward -15821.9 | evac 142 | died 338 | eps 0.724 | lr 0.00019 | loss  5.761
EP 14/100 | time 44.69s | reward -16099.5 | evac 164 | died 316 | eps 0.707 | lr 0.00019 | loss  8.476
EP 15/100 | time 51.00s | reward -20832.8 | evac 170 | died 310 | eps 0.687 | lr 0.00018 | loss 10.997
EP 16/100 | time 44.56s | reward -15793.4 | evac 173 | died 307 | eps 0.671 | lr 0.00017 | loss 11.693
EP 17/100 | time 45.18s | reward -16749.3 | evac 188 | died 292 | eps 0.654 | lr 0.00017 | loss 15.257
EP 18/100 | time 46.01s | reward -17031.5 | evac 194 | died 286 | eps 0.638 | lr 0.00016 | loss 17.948
EP 19/100 | time 47.01s | reward -18248.2 | evac 216 | died 264 | eps 0.621 | lr 0.00016 | loss 22.313
EP 20/100 | time 48.14s | reward -19066.4 | evac 219 | died 261 | eps 0.605 | lr 0.00015 | loss 23.772
EP 21/100 | time 47.11s | reward -18108.9 | evac 221 | died 259 | eps 0.589 | lr 0.00015 | loss 27.784
EP 22/100 | time 50.31s | reward -20889.4 | evac 235 | died 245 | eps 0.573 | lr 0.00014 | loss 28.988
EP 23/100 | time 47.14s | reward -16740.6 | evac 238 | died 242 | eps 0.558 | lr 0.00014 | loss 32.007
EP 24/100 | time 46.98s | reward -16687.5 | evac 227 | died 253 | eps 0.544 | lr 0.00013 | loss 36.978
