Using device: cuda
ALGORITHM: DuelingDDQNPrioritized
EP 1/100 | time 60.66s | reward -17199.9 | evac  74 | died 406 | eps 0.973 | lr 0.00029 | loss  0.189
EP 2/100 | time 64.62s | reward  -9808.2 | evac 140 | died 340 | eps 0.947 | lr 0.00028 | loss  0.076
EP 3/100 | time 63.90s | reward  -8428.5 | evac  99 | died 381 | eps 0.922 | lr 0.00027 | loss  0.138
EP 4/100 | time 70.05s | reward    753.1 | evac 218 | died 262 | eps 0.895 | lr 0.00026 | loss  0.275
EP 5/100 | time 67.47s | reward   3689.7 | evac 246 | died 234 | eps 0.869 | lr 0.00025 | loss  0.387
EP 6/100 | time 66.81s | reward   5960.9 | evac 318 | died 162 | eps 0.845 | lr 0.00024 | loss  0.569
EP 7/100 | time 66.72s | reward   2812.1 | evac 201 | died 279 | eps 0.822 | lr 0.00024 | loss  0.864
EP 8/100 | time 65.76s | reward   3968.5 | evac 254 | died 226 | eps 0.800 | lr 0.00023 | loss  0.967
EP 9/100 | time 65.92s | reward   6292.5 | evac 269 | died 211 | eps 0.779 | lr 0.00022 | loss  1.366
EP 10/100 | time 69.52s | reward  10115.9 | evac 345 | died 135 | eps 0.756 | lr 0.00021 | loss  1.693
EP 11/100 | time 66.50s | reward   2599.0 | evac 200 | died 280 | eps 0.735 | lr 0.00021 | loss  1.881
EP 12/100 | time 65.04s | reward   7855.8 | evac 289 | died 191 | eps 0.716 | lr 0.00020 | loss  2.134
EP 13/100 | time 67.02s | reward   7594.4 | evac 286 | died 194 | eps 0.696 | lr 0.00019 | loss  2.028
EP 14/100 | time 65.92s | reward   9678.5 | evac 220 | died 260 | eps 0.677 | lr 0.00019 | loss  2.096
EP 15/100 | time 63.19s | reward   8773.2 | evac 248 | died 232 | eps 0.660 | lr 0.00018 | loss  2.377
EP 16/100 | time 66.04s | reward  11019.0 | evac 288 | died 192 | eps 0.642 | lr 0.00017 | loss  2.628
