Using device: cuda
ALGORITHM: NoisyDuelingDDQN
EP 1/100 | time 48.54s | reward -23874.6 | evac  21 | died 459 | eps  nan | lr 0.00029 | loss  0.791
EP 2/100 | time 55.00s | reward -16585.6 | evac 158 | died 322 | eps  nan | lr 0.00028 | loss  0.375
EP 3/100 | time 53.79s | reward  -4869.0 | evac 172 | died 308 | eps  nan | lr 0.00027 | loss  0.364
EP 4/100 | time 59.02s | reward  30640.8 | evac 272 | died 208 | eps  nan | lr 0.00026 | loss  0.432
EP 5/100 | time 56.71s | reward  34431.7 | evac 310 | died 170 | eps  nan | lr 0.00025 | loss  0.917
EP 6/100 | time 55.93s | reward  38317.5 | evac 337 | died 143 | eps  nan | lr 0.00024 | loss  1.001
EP 7/100 | time 56.97s | reward  50249.7 | evac 372 | died 108 | eps  nan | lr 0.00024 | loss  1.216
EP 8/100 | time 57.62s | reward  45096.1 | evac 339 | died 141 | eps  nan | lr 0.00023 | loss  1.412
EP 9/100 | time 55.93s | reward  51164.4 | evac 387 | died  93 | eps  nan | lr 0.00022 | loss  2.136
EP 10/100 | time 58.73s | reward  49536.0 | evac 349 | died 131 | eps  nan | lr 0.00021 | loss  2.821
EP 11/100 | time 54.79s | reward  47627.8 | evac 361 | died 119 | eps  nan | lr 0.00021 | loss  3.609
EP 12/100 | time 56.83s | reward  52337.1 | evac 385 | died  95 | eps  nan | lr 0.00020 | loss  4.994
EP 13/100 | time 53.77s | reward  51788.8 | evac 397 | died  83 | eps  nan | lr 0.00019 | loss  5.485
EP 14/100 | time 55.66s | reward  46705.4 | evac 381 | died  99 | eps  nan | lr 0.00019 | loss  6.842
EP 15/100 | time 54.16s | reward  50054.2 | evac 387 | died  93 | eps  nan | lr 0.00018 | loss  7.701
EP 16/100 | time 55.94s | reward  50820.2 | evac 377 | died 103 | eps  nan | lr 0.00017 | loss  7.948
EP 17/100 | time 55.81s | reward  52575.9 | evac 389 | died  91 | eps  nan | lr 0.00017 | loss  9.624
EP 18/100 | time 58.56s | reward  56220.2 | evac 394 | died  86 | eps  nan | lr 0.00016 | loss 10.836
EP 19/100 | time 54.09s | reward  50565.2 | evac 388 | died  92 | eps  nan | lr 0.00016 | loss 13.312
EP 20/100 | time 58.05s | reward  54351.5 | evac 384 | died  96 | eps  nan | lr 0.00015 | loss 13.161
EP 21/100 | time 56.16s | reward  45006.7 | evac 351 | died 129 | eps  nan | lr 0.00015 | loss 13.480
