Using device: cuda
ALGORITHM: QRDQN
EP 1/100 | time 4799.27s | reward -14934.4 | evac  84 | died 396 | eps 0.975 | lr 0.00029 | loss  0.053
EP 2/100 | time  6.25s | reward -15416.3 | evac  94 | died 386 | eps 0.950 | lr 0.00028 | loss  0.036
EP 3/100 | time  6.44s | reward -17354.9 | evac 107 | died 373 | eps 0.924 | lr 0.00027 | loss  0.036
EP 4/100 | time  6.06s | reward -14340.8 | evac 121 | died 359 | eps 0.900 | lr 0.00026 | loss  0.044
EP 5/100 | time  6.38s | reward -13070.8 | evac 124 | died 356 | eps 0.876 | lr 0.00025 | loss  0.054
EP 6/100 | time  6.76s | reward -16067.9 | evac 130 | died 350 | eps 0.851 | lr 0.00024 | loss  0.069
EP 7/100 | time  6.68s | reward -13776.8 | evac 161 | died 319 | eps 0.827 | lr 0.00024 | loss  0.076
EP 8/100 | time  6.09s | reward  -9548.3 | evac 141 | died 339 | eps 0.806 | lr 0.00023 | loss  0.088
EP 9/100 | time  7.07s | reward -12075.2 | evac 162 | died 318 | eps 0.783 | lr 0.00022 | loss  0.104
EP 10/100 | time  7.82s | reward -10378.4 | evac 189 | died 291 | eps 0.758 | lr 0.00021 | loss  0.116
EP 11/100 | time  6.99s | reward  -4426.7 | evac 201 | died 279 | eps 0.736 | lr 0.00021 | loss  0.148
EP 12/100 | time  6.35s | reward  -5429.0 | evac 193 | died 287 | eps 0.716 | lr 0.00020 | loss  0.185
EP 13/100 | time  5.30s | reward  -3033.3 | evac 207 | died 273 | eps 0.696 | lr 0.00019 | loss  0.212
EP 14/100 | time  5.47s | reward   1872.4 | evac 235 | died 245 | eps 0.676 | lr 0.00019 | loss  0.255
EP 15/100 | time  4.66s | reward    765.8 | evac 219 | died 261 | eps 0.659 | lr 0.00018 | loss  0.306
EP 16/100 | time  4.95s | reward   3899.6 | evac 253 | died 227 | eps 0.641 | lr 0.00017 | loss  0.335
EP 17/100 | time  4.78s | reward   6042.8 | evac 247 | died 233 | eps 0.625 | lr 0.00017 | loss  0.397
EP 18/100 | time  5.23s | reward   6266.1 | evac 249 | died 231 | eps 0.607 | lr 0.00016 | loss  0.409
EP 19/100 | time  4.87s | reward   8919.8 | evac 267 | died 213 | eps 0.591 | lr 0.00016 | loss  0.464
EP 20/100 | time  5.17s | reward   9907.3 | evac 266 | died 214 | eps 0.574 | lr 0.00015 | loss  0.553
EP 21/100 | time  5.23s | reward  11970.6 | evac 286 | died 194 | eps 0.558 | lr 0.00015 | loss  0.625
EP 22/100 | time  5.11s | reward  11931.4 | evac 287 | died 193 | eps 0.543 | lr 0.00014 | loss  0.648
EP 23/100 | time  5.43s | reward  16070.0 | evac 295 | died 185 | eps 0.527 | lr 0.00014 | loss  0.730
EP 24/100 | time  5.45s | reward  17845.0 | evac 308 | died 172 | eps 0.512 | lr 0.00013 | loss  0.825
EP 25/100 | time  6.00s | reward  16438.7 | evac 305 | died 175 | eps 0.498 | lr 0.00013 | loss  0.853
EP 26/100 | time  5.19s | reward  18285.6 | evac 323 | died 157 | eps 0.484 | lr 0.00012 | loss  0.997
EP 27/100 | time  3.96s | reward  19234.4 | evac 325 | died 155 | eps 0.471 | lr 0.00012 | loss  1.011
EP 28/100 | time  3.25s | reward  20763.8 | evac 319 | died 161 | eps 0.459 | lr 0.00012 | loss  1.200
EP 29/100 | time  3.21s | reward  21627.3 | evac 327 | died 153 | eps 0.446 | lr 0.00011 | loss  1.230
EP 30/100 | time  3.29s | reward  24822.4 | evac 344 | died 136 | eps 0.433 | lr 0.00011 | loss  1.279
EP 31/100 | time  3.34s | reward  23394.3 | evac 344 | died 136 | eps 0.422 | lr 0.00010 | loss  1.375
EP 32/100 | time  3.25s | reward  23079.1 | evac 319 | died 161 | eps 0.410 | lr 0.00010 | loss  1.494
EP 33/100 | time  3.33s | reward  25956.2 | evac 336 | died 144 | eps 0.399 | lr 0.00010 | loss  1.493
EP 34/100 | time  3.52s | reward  27662.2 | evac 337 | died 143 | eps 0.388 | lr 0.00009 | loss  1.614
EP 35/100 | time  3.06s | reward  24860.9 | evac 325 | died 155 | eps 0.378 | lr 0.00009 | loss  1.728
EP 36/100 | time  3.41s | reward  28026.8 | evac 341 | died 139 | eps 0.368 | lr 0.00009 | loss  1.778
EP 37/100 | time  3.47s | reward  32840.8 | evac 362 | died 118 | eps 0.357 | lr 0.00009 | loss  1.655
EP 38/100 | time  4.14s | reward  30856.5 | evac 352 | died 128 | eps 0.345 | lr 0.00008 | loss  1.718
EP 39/100 | time  3.28s | reward  30424.3 | evac 348 | died 132 | eps 0.336 | lr 0.00008 | loss  1.906
EP 40/100 | time  3.55s | reward  30925.5 | evac 338 | died 142 | eps 0.326 | lr 0.00008 | loss  2.009
EP 41/100 | time  4.23s | reward  30707.3 | evac 336 | died 144 | eps 0.317 | lr 0.00007 | loss  1.964
EP 42/100 | time  4.13s | reward  33028.8 | evac 335 | died 145 | eps 0.307 | lr 0.00007 | loss  2.165
EP 43/100 | time  4.10s | reward  31707.9 | evac 350 | died 130 | eps 0.299 | lr 0.00007 | loss  2.190
EP 44/100 | time  3.55s | reward  35847.4 | evac 359 | died 121 | eps 0.290 | lr 0.00007 | loss  2.281
EP 45/100 | time  3.15s | reward  34211.9 | evac 355 | died 125 | eps 0.282 | lr 0.00006 | loss  2.227
EP 46/100 | time  3.44s | reward  36646.5 | evac 365 | died 115 | eps 0.274 | lr 0.00006 | loss  2.237
EP 47/100 | time  3.45s | reward  37025.9 | evac 373 | died 107 | eps 0.266 | lr 0.00006 | loss  2.378
EP 48/100 | time  3.37s | reward  33117.1 | evac 361 | died 119 | eps 0.259 | lr 0.00006 | loss  2.373
EP 49/100 | time  3.47s | reward  38383.0 | evac 374 | died 106 | eps 0.252 | lr 0.00006 | loss  2.248
EP 50/100 | time  3.37s | reward  35875.9 | evac 359 | died 121 | eps 0.245 | lr 0.00005 | loss  2.448
EP 51/100 | time  3.07s | reward  35265.0 | evac 372 | died 108 | eps 0.238 | lr 0.00005 | loss  2.451
EP 52/100 | time  3.18s | reward  35599.4 | evac 361 | died 119 | eps 0.232 | lr 0.00005 | loss  2.440
EP 53/100 | time  3.13s | reward  35964.4 | evac 353 | died 127 | eps 0.226 | lr 0.00005 | loss  2.562
EP 54/100 | time  3.64s | reward  40806.7 | evac 376 | died 104 | eps 0.220 | lr 0.00005 | loss  2.498
EP 55/100 | time  3.83s | reward  37556.5 | evac 361 | died 119 | eps 0.214 | lr 0.00005 | loss  2.483
EP 56/100 | time  3.52s | reward  35629.6 | evac 332 | died 148 | eps 0.207 | lr 0.00004 | loss  2.544
EP 57/100 | time  3.57s | reward  37659.3 | evac 347 | died 133 | eps 0.202 | lr 0.00004 | loss  2.520
EP 58/100 | time  3.80s | reward  37485.2 | evac 349 | died 131 | eps 0.196 | lr 0.00004 | loss  2.612
EP 59/100 | time  3.93s | reward  36760.4 | evac 361 | died 119 | eps 0.191 | lr 0.00004 | loss  2.548
EP 60/100 | time  3.66s | reward  38295.7 | evac 350 | died 130 | eps 0.186 | lr 0.00004 | loss  2.647
EP 61/100 | time  4.05s | reward  38315.2 | evac 350 | died 130 | eps 0.181 | lr 0.00004 | loss  2.496
EP 62/100 | time  3.97s | reward  38216.3 | evac 347 | died 133 | eps 0.176 | lr 0.00004 | loss  2.627
EP 63/100 | time  3.32s | reward  39726.1 | evac 346 | died 134 | eps 0.171 | lr 0.00004 | loss  2.629
EP 64/100 | time  3.31s | reward  37814.5 | evac 351 | died 129 | eps 0.166 | lr 0.00003 | loss  2.624
EP 65/100 | time  3.79s | reward  40348.7 | evac 341 | died 139 | eps 0.161 | lr 0.00003 | loss  2.568
EP 66/100 | time  3.83s | reward  41076.7 | evac 358 | died 122 | eps 0.157 | lr 0.00003 | loss  2.639
EP 67/100 | time  3.40s | reward  39972.7 | evac 361 | died 119 | eps 0.152 | lr 0.00003 | loss  2.644
EP 68/100 | time  3.59s | reward  43319.2 | evac 364 | died 116 | eps 0.148 | lr 0.00003 | loss  2.638
EP 69/100 | time  3.28s | reward  38933.2 | evac 343 | died 137 | eps 0.144 | lr 0.00003 | loss  2.584
EP 70/100 | time  3.72s | reward  44707.2 | evac 367 | died 113 | eps 0.140 | lr 0.00003 | loss  2.487
EP 71/100 | time  3.24s | reward  39409.7 | evac 350 | died 130 | eps 0.136 | lr 0.00003 | loss  2.523
