Using device: cuda
ALGORITHM: DuelingDDQN
EP 1/100 | time  2.41s | reward -26662.4 | evac  56 | died 424 | eps 0.971 | lr 0.00029 | loss  0.492
EP 2/100 | time  1.67s | reward -22628.4 | evac  61 | died 419 | eps 0.945 | lr 0.00028 | loss  0.167
EP 3/100 | time  1.80s | reward -26978.7 | evac  67 | died 413 | eps 0.917 | lr 0.00027 | loss  0.199
EP 4/100 | time  1.84s | reward -27207.0 | evac  83 | died 397 | eps 0.890 | lr 0.00026 | loss  0.335
EP 5/100 | time  1.65s | reward -21893.3 | evac  86 | died 394 | eps 0.866 | lr 0.00025 | loss  0.533
EP 6/100 | time  1.73s | reward -22873.5 | evac 104 | died 376 | eps 0.841 | lr 0.00024 | loss  0.760
EP 7/100 | time  1.71s | reward -22663.1 | evac 124 | died 356 | eps 0.818 | lr 0.00024 | loss  1.045
EP 8/100 | time  1.75s | reward -23076.1 | evac 128 | died 352 | eps 0.795 | lr 0.00023 | loss  1.375
EP 9/100 | time  1.71s | reward -21847.0 | evac 129 | died 351 | eps 0.773 | lr 0.00022 | loss  1.911
EP 10/100 | time  1.78s | reward -22821.0 | evac 134 | died 346 | eps 0.751 | lr 0.00021 | loss  2.619
EP 11/100 | time  1.75s | reward -22956.1 | evac 156 | died 324 | eps 0.729 | lr 0.00021 | loss  3.115
EP 12/100 | time  1.65s | reward -20055.4 | evac 150 | died 330 | eps 0.710 | lr 0.00020 | loss  3.948
EP 13/100 | time  1.80s | reward -23998.8 | evac 180 | died 300 | eps 0.689 | lr 0.00019 | loss  5.308
EP 14/100 | time  1.69s | reward -20721.5 | evac 185 | died 295 | eps 0.670 | lr 0.00019 | loss  6.934
EP 15/100 | time  1.69s | reward -19719.3 | evac 204 | died 276 | eps 0.652 | lr 0.00018 | loss  7.246
EP 16/100 | time  1.77s | reward -21205.0 | evac 212 | died 268 | eps 0.633 | lr 0.00017 | loss  7.870
EP 17/100 | time  1.79s | reward -20406.5 | evac 205 | died 275 | eps 0.615 | lr 0.00017 | loss  8.541
EP 18/100 | time  1.99s | reward -18779.8 | evac 223 | died 257 | eps 0.599 | lr 0.00016 | loss  8.932
EP 19/100 | time  2.57s | reward -17824.3 | evac 197 | died 283 | eps 0.583 | lr 0.00016 | loss  9.780
EP 20/100 | time  2.67s | reward -21232.0 | evac 238 | died 242 | eps 0.567 | lr 0.00015 | loss  9.492
EP 21/100 | time  3.01s | reward -17984.7 | evac 239 | died 241 | eps 0.551 | lr 0.00015 | loss 10.168
EP 22/100 | time  2.77s | reward -18922.6 | evac 241 | died 239 | eps 0.536 | lr 0.00014 | loss  9.637
EP 23/100 | time  2.85s | reward -17848.1 | evac 240 | died 240 | eps 0.522 | lr 0.00014 | loss  9.790
EP 24/100 | time  2.39s | reward -17948.7 | evac 266 | died 214 | eps 0.508 | lr 0.00013 | loss 10.757
EP 25/100 | time  1.92s | reward -21156.8 | evac 270 | died 210 | eps 0.493 | lr 0.00013 | loss 11.117
EP 26/100 | time  1.74s | reward -19360.7 | evac 279 | died 201 | eps 0.479 | lr 0.00012 | loss 12.109
EP 27/100 | time  1.89s | reward -22400.5 | evac 280 | died 200 | eps 0.465 | lr 0.00012 | loss 11.722
EP 28/100 | time  2.43s | reward -20573.2 | evac 275 | died 205 | eps 0.452 | lr 0.00012 | loss 13.531
EP 29/100 | time  2.46s | reward -20193.9 | evac 281 | died 199 | eps 0.439 | lr 0.00011 | loss 13.119
EP 30/100 | time  2.42s | reward -19833.7 | evac 302 | died 178 | eps 0.426 | lr 0.00011 | loss 12.857
EP 31/100 | time  2.14s | reward -20161.9 | evac 285 | died 195 | eps 0.414 | lr 0.00010 | loss 12.957
EP 32/100 | time  1.81s | reward -18604.7 | evac 308 | died 172 | eps 0.403 | lr 0.00010 | loss 14.000
EP 33/100 | time  1.67s | reward -16864.1 | evac 313 | died 167 | eps 0.392 | lr 0.00010 | loss 13.734
EP 34/100 | time  1.72s | reward -19453.8 | evac 324 | died 156 | eps 0.381 | lr 0.00009 | loss 14.539
EP 35/100 | time  1.62s | reward -15960.5 | evac 308 | died 172 | eps 0.371 | lr 0.00009 | loss 14.956
EP 36/100 | time  1.67s | reward -17609.8 | evac 331 | died 149 | eps 0.361 | lr 0.00009 | loss 15.594
EP 37/100 | time  1.71s | reward -18798.0 | evac 329 | died 151 | eps 0.351 | lr 0.00009 | loss 17.221
EP 38/100 | time  1.87s | reward -18522.1 | evac 334 | died 146 | eps 0.341 | lr 0.00008 | loss 17.618
EP 39/100 | time  1.67s | reward -17006.3 | evac 336 | died 144 | eps 0.332 | lr 0.00008 | loss 17.195
EP 40/100 | time  1.85s | reward -20852.8 | evac 354 | died 126 | eps 0.322 | lr 0.00008 | loss 17.707
EP 41/100 | time  1.62s | reward -17093.3 | evac 334 | died 146 | eps 0.313 | lr 0.00007 | loss 18.048
EP 42/100 | time  1.71s | reward -18202.3 | evac 344 | died 136 | eps 0.305 | lr 0.00007 | loss 17.433
EP 43/100 | time  1.78s | reward -19677.5 | evac 349 | died 131 | eps 0.296 | lr 0.00007 | loss 17.640
EP 44/100 | time  1.74s | reward -17770.6 | evac 346 | died 134 | eps 0.288 | lr 0.00007 | loss 17.698
EP 45/100 | time  1.71s | reward -17785.7 | evac 346 | died 134 | eps 0.280 | lr 0.00006 | loss 17.901
EP 46/100 | time  1.74s | reward -18453.5 | evac 361 | died 119 | eps 0.272 | lr 0.00006 | loss 17.240
EP 47/100 | time  1.68s | reward -16896.0 | evac 349 | died 131 | eps 0.264 | lr 0.00006 | loss 18.173
EP 48/100 | time  1.59s | reward -15201.7 | evac 336 | died 144 | eps 0.258 | lr 0.00006 | loss 18.447
EP 49/100 | time  1.73s | reward -15429.9 | evac 349 | died 131 | eps 0.251 | lr 0.00006 | loss 18.061
EP 50/100 | time  2.44s | reward -18609.0 | evac 362 | died 118 | eps 0.244 | lr 0.00005 | loss 17.341
EP 51/100 | time  2.69s | reward -16365.7 | evac 354 | died 126 | eps 0.237 | lr 0.00005 | loss 18.010
EP 52/100 | time  2.39s | reward -19493.7 | evac 360 | died 120 | eps 0.231 | lr 0.00005 | loss 16.671
EP 53/100 | time  1.81s | reward -16186.1 | evac 367 | died 113 | eps 0.224 | lr 0.00005 | loss 16.381
EP 54/100 | time  1.81s | reward -20018.5 | evac 335 | died 145 | eps 0.218 | lr 0.00005 | loss 16.312
EP 55/100 | time  1.74s | reward -17976.3 | evac 357 | died 123 | eps 0.212 | lr 0.00005 | loss 16.093
EP 56/100 | time  1.72s | reward -18343.8 | evac 358 | died 122 | eps 0.206 | lr 0.00004 | loss 15.242
EP 57/100 | time  1.64s | reward -17576.7 | evac 351 | died 129 | eps 0.200 | lr 0.00004 | loss 15.090
EP 58/100 | time  1.67s | reward -16259.7 | evac 357 | died 123 | eps 0.195 | lr 0.00004 | loss 15.385
EP 59/100 | time  1.60s | reward -15018.3 | evac 345 | died 135 | eps 0.190 | lr 0.00004 | loss 15.558
EP 60/100 | time  1.70s | reward -18409.4 | evac 369 | died 111 | eps 0.185 | lr 0.00004 | loss 15.428
EP 61/100 | time  1.71s | reward -17639.9 | evac 370 | died 110 | eps 0.180 | lr 0.00004 | loss 15.974
EP 62/100 | time  1.75s | reward -19214.1 | evac 365 | died 115 | eps 0.175 | lr 0.00004 | loss 16.525
EP 63/100 | time  1.68s | reward -16075.2 | evac 370 | died 110 | eps 0.170 | lr 0.00004 | loss 15.162
EP 64/100 | time  1.75s | reward -18245.0 | evac 366 | died 114 | eps 0.165 | lr 0.00003 | loss 16.470
EP 65/100 | time  1.72s | reward -18243.3 | evac 360 | died 120 | eps 0.160 | lr 0.00003 | loss 15.618
EP 66/100 | time  1.72s | reward -17484.1 | evac 352 | died 128 | eps 0.156 | lr 0.00003 | loss 14.725
EP 67/100 | time  1.81s | reward -19379.2 | evac 376 | died 104 | eps 0.152 | lr 0.00003 | loss 15.691
EP 68/100 | time  1.74s | reward -17065.4 | evac 364 | died 116 | eps 0.147 | lr 0.00003 | loss 14.886
EP 69/100 | time  1.77s | reward -18407.2 | evac 382 | died  98 | eps 0.143 | lr 0.00003 | loss 14.795
EP 70/100 | time  1.78s | reward -19464.8 | evac 376 | died 104 | eps 0.139 | lr 0.00003 | loss 15.047
EP 71/100 | time  1.76s | reward -18986.6 | evac 369 | died 111 | eps 0.135 | lr 0.00003 | loss 14.202
EP 72/100 | time  1.92s | reward -21108.0 | evac 363 | died 117 | eps 0.131 | lr 0.00003 | loss 15.099
EP 73/100 | time  1.74s | reward -18685.9 | evac 363 | died 117 | eps 0.127 | lr 0.00003 | loss 15.740
EP 74/100 | time  1.80s | reward -19736.5 | evac 375 | died 105 | eps 0.124 | lr 0.00002 | loss 14.466
EP 75/100 | time  1.80s | reward -20153.7 | evac 369 | died 111 | eps 0.120 | lr 0.00002 | loss 15.344
EP 76/100 | time  1.68s | reward -16840.2 | evac 381 | died  99 | eps 0.117 | lr 0.00002 | loss 14.932
EP 77/100 | time  1.69s | reward -16453.4 | evac 375 | died 105 | eps 0.114 | lr 0.00002 | loss 14.777
EP 78/100 | time  1.86s | reward -17194.7 | evac 356 | died 124 | eps 0.111 | lr 0.00002 | loss 14.803
EP 79/100 | time  2.55s | reward -23534.7 | evac 374 | died 106 | eps 0.107 | lr 0.00002 | loss 14.546
EP 80/100 | time  2.81s | reward -18615.8 | evac 372 | died 108 | eps 0.104 | lr 0.00002 | loss 14.973
EP 81/100 | time  2.48s | reward -15066.6 | evac 371 | died 109 | eps 0.101 | lr 0.00002 | loss 15.210
EP 82/100 | time  1.78s | reward -15270.9 | evac 371 | died 109 | eps 0.099 | lr 0.00002 | loss 14.854
EP 83/100 | time  1.67s | reward -17395.2 | evac 371 | died 109 | eps 0.096 | lr 0.00002 | loss 16.297
EP 84/100 | time  1.68s | reward -16814.7 | evac 378 | died 102 | eps 0.093 | lr 0.00002 | loss 14.421
EP 85/100 | time  1.90s | reward -16564.6 | evac 370 | died 110 | eps 0.091 | lr 0.00002 | loss 14.709
EP 86/100 | time  1.64s | reward -15674.3 | evac 373 | died 107 | eps 0.089 | lr 0.00002 | loss 14.718
EP 87/100 | time  1.87s | reward -17691.6 | evac 375 | died 105 | eps 0.086 | lr 0.00002 | loss 15.381
EP 88/100 | time  1.96s | reward -17301.0 | evac 387 | died  93 | eps 0.084 | lr 0.00002 | loss 14.752
EP 89/100 | time  2.48s | reward -19695.7 | evac 383 | died  97 | eps 0.081 | lr 0.00001 | loss 14.537
EP 90/100 | time  2.13s | reward -16520.6 | evac 389 | died  91 | eps 0.079 | lr 0.00001 | loss 15.842
EP 91/100 | time  1.94s | reward -15950.5 | evac 379 | died 101 | eps 0.077 | lr 0.00001 | loss 15.837
EP 92/100 | time  1.65s | reward -16080.8 | evac 389 | died  91 | eps 0.075 | lr 0.00001 | loss 14.632
EP 93/100 | time  1.68s | reward -16741.2 | evac 390 | died  90 | eps 0.073 | lr 0.00001 | loss 15.062
EP 94/100 | time  1.73s | reward -16804.5 | evac 371 | died 109 | eps 0.071 | lr 0.00001 | loss 15.513
EP 95/100 | time  1.66s | reward -16255.2 | evac 373 | died 107 | eps 0.069 | lr 0.00001 | loss 16.330
EP 96/100 | time  1.66s | reward -16217.9 | evac 384 | died  96 | eps 0.067 | lr 0.00001 | loss 15.789
EP 97/100 | time  1.69s | reward -17656.5 | evac 383 | died  97 | eps 0.065 | lr 0.00001 | loss 15.843
EP 98/100 | time  1.75s | reward -16499.7 | evac 386 | died  94 | eps 0.064 | lr 0.00001 | loss 16.195
EP 99/100 | time  1.64s | reward -17578.5 | evac 381 | died  99 | eps 0.062 | lr 0.00001 | loss 16.674
EP 100/100 | time  1.66s | reward -16204.4 | evac 385 | died  95 | eps 0.060 | lr 0.00001 | loss 16.085
[done] metrics saved -> C:\Users\nikmi\OneDrive\Рабочий стол\pyPROJECT\ДИПЛОМ\PROGS\full_jaga_jaga\smoke_check\smoke_7_DuelingDDQN.csv
