Using device: cuda
ALGORITHM: DuelingDDQNPrioritized
EP 1/100 | time  3.08s | reward -15602.6 | evac  62 | died 418 | eps 0.974 | lr 0.00029 | loss  0.126
EP 2/100 | time  2.43s | reward -10336.5 | evac  81 | died 399 | eps 0.947 | lr 0.00028 | loss  0.070
EP 3/100 | time  2.61s | reward  -3499.3 | evac 125 | died 355 | eps 0.921 | lr 0.00027 | loss  0.117
EP 4/100 | time  2.56s | reward  -3203.4 | evac 123 | died 357 | eps 0.897 | lr 0.00026 | loss  0.200
EP 5/100 | time  2.50s | reward  -1562.5 | evac 161 | died 319 | eps 0.874 | lr 0.00025 | loss  0.375
EP 6/100 | time  2.48s | reward  -2384.4 | evac 126 | died 354 | eps 0.850 | lr 0.00024 | loss  0.521
EP 7/100 | time  2.59s | reward   7035.9 | evac 262 | died 218 | eps 0.827 | lr 0.00024 | loss  0.763
EP 8/100 | time  2.52s | reward   5424.2 | evac 226 | died 254 | eps 0.805 | lr 0.00023 | loss  1.314
EP 9/100 | time  2.36s | reward   5696.5 | evac 251 | died 229 | eps 0.785 | lr 0.00022 | loss  1.834
EP 10/100 | time  2.14s | reward   7260.6 | evac 253 | died 227 | eps 0.764 | lr 0.00021 | loss  1.977
EP 11/100 | time  2.39s | reward   7827.6 | evac 291 | died 189 | eps 0.743 | lr 0.00021 | loss  2.502
EP 12/100 | time  2.48s | reward   8926.7 | evac 238 | died 242 | eps 0.724 | lr 0.00020 | loss  2.736
EP 13/100 | time  2.43s | reward  11520.2 | evac 273 | died 207 | eps 0.705 | lr 0.00019 | loss  3.259
EP 14/100 | time  2.33s | reward  13656.5 | evac 289 | died 191 | eps 0.685 | lr 0.00019 | loss  3.776
EP 15/100 | time  1.88s | reward  16312.8 | evac 360 | died 120 | eps 0.666 | lr 0.00018 | loss  3.667
EP 16/100 | time  1.81s | reward  13213.3 | evac 305 | died 175 | eps 0.648 | lr 0.00017 | loss  3.653
EP 17/100 | time  1.76s | reward  17353.2 | evac 357 | died 123 | eps 0.630 | lr 0.00017 | loss  3.417
EP 18/100 | time  1.74s | reward  19040.3 | evac 360 | died 120 | eps 0.613 | lr 0.00016 | loss  3.704
EP 19/100 | time  1.68s | reward  20842.1 | evac 372 | died 108 | eps 0.597 | lr 0.00016 | loss  3.471
EP 20/100 | time  1.61s | reward  20535.7 | evac 383 | died  97 | eps 0.582 | lr 0.00015 | loss  3.685
EP 21/100 | time  1.72s | reward  25444.5 | evac 376 | died 104 | eps 0.567 | lr 0.00015 | loss  3.838
EP 22/100 | time  1.76s | reward  22655.4 | evac 330 | died 150 | eps 0.551 | lr 0.00014 | loss  3.895
EP 23/100 | time  1.88s | reward  27075.1 | evac 323 | died 157 | eps 0.535 | lr 0.00014 | loss  4.439
EP 24/100 | time  1.80s | reward  25332.8 | evac 327 | died 153 | eps 0.520 | lr 0.00013 | loss  4.071
EP 25/100 | time  1.85s | reward  27625.4 | evac 356 | died 124 | eps 0.504 | lr 0.00013 | loss  4.164
EP 26/100 | time  1.74s | reward  28703.7 | evac 361 | died 119 | eps 0.490 | lr 0.00012 | loss  3.991
EP 27/100 | time  1.73s | reward  26826.2 | evac 334 | died 146 | eps 0.477 | lr 0.00012 | loss  4.209
EP 28/100 | time  1.61s | reward  25800.8 | evac 337 | died 143 | eps 0.465 | lr 0.00012 | loss  3.833
EP 29/100 | time  1.82s | reward  29489.1 | evac 366 | died 114 | eps 0.452 | lr 0.00011 | loss  3.638
EP 30/100 | time  1.89s | reward  27035.9 | evac 347 | died 133 | eps 0.439 | lr 0.00011 | loss  3.675
EP 31/100 | time  1.73s | reward  24054.6 | evac 344 | died 136 | eps 0.427 | lr 0.00010 | loss  3.326
EP 32/100 | time  1.78s | reward  25789.3 | evac 347 | died 133 | eps 0.415 | lr 0.00010 | loss  3.690
EP 33/100 | time  1.83s | reward  30615.0 | evac 363 | died 117 | eps 0.403 | lr 0.00010 | loss  3.316
EP 34/100 | time  1.70s | reward  28037.9 | evac 352 | died 128 | eps 0.393 | lr 0.00009 | loss  3.375
EP 35/100 | time  1.65s | reward  25025.4 | evac 357 | died 123 | eps 0.382 | lr 0.00009 | loss  3.004
EP 36/100 | time  1.76s | reward  24853.4 | evac 340 | died 140 | eps 0.372 | lr 0.00009 | loss  2.945
EP 37/100 | time  1.67s | reward  26431.5 | evac 353 | died 127 | eps 0.362 | lr 0.00009 | loss  3.110
EP 38/100 | time  1.65s | reward  22668.8 | evac 319 | died 161 | eps 0.353 | lr 0.00008 | loss  2.907
EP 39/100 | time  1.67s | reward  24631.3 | evac 330 | died 150 | eps 0.344 | lr 0.00008 | loss  2.988
EP 40/100 | time  1.69s | reward  28932.8 | evac 326 | died 154 | eps 0.335 | lr 0.00008 | loss  2.658
EP 41/100 | time  1.75s | reward  25913.0 | evac 337 | died 143 | eps 0.326 | lr 0.00007 | loss  2.650
EP 42/100 | time  1.68s | reward  20891.7 | evac 328 | died 152 | eps 0.318 | lr 0.00007 | loss  2.549
EP 43/100 | time  1.72s | reward  24615.0 | evac 333 | died 147 | eps 0.309 | lr 0.00007 | loss  2.519
EP 44/100 | time  1.68s | reward  19393.9 | evac 282 | died 198 | eps 0.301 | lr 0.00007 | loss  2.600
EP 45/100 | time  1.68s | reward  23405.6 | evac 311 | died 169 | eps 0.293 | lr 0.00006 | loss  2.357
EP 46/100 | time  1.80s | reward  27737.9 | evac 345 | died 135 | eps 0.285 | lr 0.00006 | loss  2.318
EP 47/100 | time  1.75s | reward  28765.3 | evac 310 | died 170 | eps 0.277 | lr 0.00006 | loss  2.112
EP 48/100 | time  1.76s | reward  30888.1 | evac 349 | died 131 | eps 0.270 | lr 0.00006 | loss  2.076
EP 49/100 | time  1.66s | reward  27706.0 | evac 317 | died 163 | eps 0.263 | lr 0.00006 | loss  2.088
EP 50/100 | time  1.69s | reward  31497.5 | evac 347 | died 133 | eps 0.256 | lr 0.00005 | loss  2.002
EP 51/100 | time  1.74s | reward  31649.2 | evac 353 | died 127 | eps 0.249 | lr 0.00005 | loss  2.004
EP 52/100 | time  1.64s | reward  31618.1 | evac 370 | died 110 | eps 0.243 | lr 0.00005 | loss  1.811
EP 53/100 | time  1.70s | reward  25956.2 | evac 344 | died 136 | eps 0.236 | lr 0.00005 | loss  1.973
EP 54/100 | time  1.70s | reward  31366.3 | evac 352 | died 128 | eps 0.230 | lr 0.00005 | loss  1.598
EP 55/100 | time  1.73s | reward  25907.1 | evac 343 | died 137 | eps 0.224 | lr 0.00005 | loss  2.011
EP 56/100 | time  1.83s | reward  32623.4 | evac 339 | died 141 | eps 0.217 | lr 0.00004 | loss  1.567
EP 57/100 | time  1.75s | reward  31910.3 | evac 339 | died 141 | eps 0.211 | lr 0.00004 | loss  1.563
