Using device: cuda
ALGORITHM: NoisyDuelingDDQN
EP 1/100 | time  2.65s | reward -17459.7 | evac 124 | died 356 | eps  nan | lr 0.00029 | loss  0.857
EP 2/100 | time  1.97s | reward -11502.3 | evac  81 | died 399 | eps  nan | lr 0.00028 | loss  0.473
EP 3/100 | time  2.53s | reward   6940.4 | evac 259 | died 221 | eps  nan | lr 0.00027 | loss  0.565
EP 4/100 | time  2.43s | reward  19069.1 | evac 319 | died 161 | eps  nan | lr 0.00026 | loss  0.602
EP 5/100 | time  2.23s | reward  22491.0 | evac 280 | died 200 | eps  nan | lr 0.00025 | loss  0.691
EP 6/100 | time  2.02s | reward  37953.7 | evac 330 | died 150 | eps  nan | lr 0.00024 | loss  0.847
EP 7/100 | time  2.18s | reward  41184.4 | evac 351 | died 129 | eps  nan | lr 0.00024 | loss  1.122
EP 8/100 | time  1.92s | reward  45241.8 | evac 400 | died  80 | eps  nan | lr 0.00023 | loss  1.261
EP 9/100 | time  2.00s | reward  44858.4 | evac 379 | died 101 | eps  nan | lr 0.00022 | loss  1.459
EP 10/100 | time  2.68s | reward  48908.8 | evac 393 | died  87 | eps  nan | lr 0.00021 | loss  1.698
EP 11/100 | time  2.59s | reward  49554.9 | evac 401 | died  79 | eps  nan | lr 0.00021 | loss  2.004
EP 12/100 | time  2.65s | reward  48005.3 | evac 387 | died  93 | eps  nan | lr 0.00020 | loss  2.303
EP 13/100 | time  2.36s | reward  55957.3 | evac 398 | died  82 | eps  nan | lr 0.00019 | loss  2.472
EP 14/100 | time  2.06s | reward  48593.1 | evac 394 | died  86 | eps  nan | lr 0.00019 | loss  3.042
EP 15/100 | time  2.01s | reward  53813.6 | evac 421 | died  59 | eps  nan | lr 0.00018 | loss  3.231
EP 16/100 | time  2.18s | reward  61018.1 | evac 409 | died  71 | eps  nan | lr 0.00017 | loss  3.769
EP 17/100 | time  1.86s | reward  48756.5 | evac 403 | died  77 | eps  nan | lr 0.00017 | loss  4.334
EP 18/100 | time  1.95s | reward  49672.0 | evac 409 | died  71 | eps  nan | lr 0.00016 | loss  4.959
EP 19/100 | time  2.18s | reward  52737.8 | evac 402 | died  78 | eps  nan | lr 0.00016 | loss  5.257
EP 20/100 | time  2.07s | reward  51463.4 | evac 404 | died  76 | eps  nan | lr 0.00015 | loss  5.216
EP 21/100 | time  2.35s | reward  53185.9 | evac 414 | died  66 | eps  nan | lr 0.00015 | loss  5.342
EP 22/100 | time  2.82s | reward  47333.0 | evac 401 | died  79 | eps  nan | lr 0.00014 | loss  5.150
EP 23/100 | time  1.96s | reward  47057.5 | evac 414 | died  66 | eps  nan | lr 0.00014 | loss  5.335
EP 24/100 | time  2.08s | reward  46882.2 | evac 378 | died 102 | eps  nan | lr 0.00013 | loss  5.752
EP 25/100 | time  1.98s | reward  47685.1 | evac 385 | died  95 | eps  nan | lr 0.00013 | loss  5.535
EP 26/100 | time  1.89s | reward  48411.7 | evac 411 | died  69 | eps  nan | lr 0.00012 | loss  5.678
EP 27/100 | time  1.99s | reward  45752.6 | evac 399 | died  81 | eps  nan | lr 0.00012 | loss  5.810
EP 28/100 | time  2.15s | reward  47051.7 | evac 393 | died  87 | eps  nan | lr 0.00012 | loss  5.599
EP 29/100 | time  2.48s | reward  41754.8 | evac 374 | died 106 | eps  nan | lr 0.00011 | loss  5.823
EP 30/100 | time  2.24s | reward  45307.8 | evac 387 | died  93 | eps  nan | lr 0.00011 | loss  6.379
EP 31/100 | time  2.16s | reward  44282.7 | evac 396 | died  84 | eps  nan | lr 0.00010 | loss  5.914
EP 32/100 | time  2.35s | reward  38874.1 | evac 384 | died  96 | eps  nan | lr 0.00010 | loss  6.456
EP 33/100 | time  2.02s | reward  47551.4 | evac 401 | died  79 | eps  nan | lr 0.00010 | loss  6.256
EP 34/100 | time  2.02s | reward  48888.0 | evac 398 | died  82 | eps  nan | lr 0.00009 | loss  6.007
EP 35/100 | time  2.05s | reward  50787.9 | evac 393 | died  87 | eps  nan | lr 0.00009 | loss  5.829
EP 36/100 | time  1.95s | reward  31587.7 | evac 367 | died 113 | eps  nan | lr 0.00009 | loss  6.026
EP 37/100 | time  2.06s | reward  43233.3 | evac 377 | died 103 | eps  nan | lr 0.00009 | loss  6.017
EP 38/100 | time  2.10s | reward  43440.7 | evac 387 | died  93 | eps  nan | lr 0.00008 | loss  6.133
EP 39/100 | time  1.96s | reward  44079.2 | evac 374 | died 106 | eps  nan | lr 0.00008 | loss  6.121
EP 40/100 | time  2.20s | reward  47931.2 | evac 379 | died 101 | eps  nan | lr 0.00008 | loss  6.089
EP 41/100 | time  1.91s | reward  40599.8 | evac 361 | died 119 | eps  nan | lr 0.00007 | loss  6.228
EP 42/100 | time  2.05s | reward  39979.7 | evac 340 | died 140 | eps  nan | lr 0.00007 | loss  6.261
EP 43/100 | time  2.14s | reward  46026.1 | evac 360 | died 120 | eps  nan | lr 0.00007 | loss  5.922
EP 44/100 | time  2.08s | reward  45336.1 | evac 375 | died 105 | eps  nan | lr 0.00007 | loss  5.594
EP 45/100 | time  2.00s | reward  44214.5 | evac 370 | died 110 | eps  nan | lr 0.00006 | loss  5.729
EP 46/100 | time  1.95s | reward  42612.6 | evac 375 | died 105 | eps  nan | lr 0.00006 | loss  5.642
