Using device: cuda
ALGORITHM: QRDQN
EP 1/100 | time  4.68s | reward -16464.9 | evac  70 | died 410 | eps 0.977 | lr 0.00029 | loss  0.040
EP 2/100 | time  4.41s | reward -17965.9 | evac  71 | died 409 | eps 0.953 | lr 0.00028 | loss  0.034
EP 3/100 | time  4.45s | reward -17313.9 | evac  67 | died 413 | eps 0.930 | lr 0.00027 | loss  0.032
EP 4/100 | time  5.02s | reward -15861.8 | evac  76 | died 404 | eps 0.907 | lr 0.00026 | loss  0.036
EP 5/100 | time  5.09s | reward -17130.7 | evac  97 | died 383 | eps 0.883 | lr 0.00025 | loss  0.050
EP 6/100 | time  4.40s | reward -12613.3 | evac 102 | died 378 | eps 0.863 | lr 0.00024 | loss  0.070
EP 7/100 | time  4.39s | reward -13328.7 | evac 122 | died 358 | eps 0.841 | lr 0.00024 | loss  0.100
EP 8/100 | time  4.58s | reward -10300.1 | evac 141 | died 339 | eps 0.821 | lr 0.00023 | loss  0.126
EP 9/100 | time  4.63s | reward -12301.4 | evac 136 | died 344 | eps 0.801 | lr 0.00022 | loss  0.155
EP 10/100 | time  4.61s | reward  -9767.7 | evac 154 | died 326 | eps 0.781 | lr 0.00021 | loss  0.190
EP 11/100 | time  4.82s | reward -11538.4 | evac 162 | died 318 | eps 0.761 | lr 0.00021 | loss  0.228
EP 12/100 | time  4.43s | reward  -8284.7 | evac 170 | died 310 | eps 0.742 | lr 0.00020 | loss  0.260
EP 13/100 | time  4.60s | reward -10449.8 | evac 152 | died 328 | eps 0.723 | lr 0.00019 | loss  0.295
EP 14/100 | time  4.50s | reward  -5498.2 | evac 176 | died 304 | eps 0.705 | lr 0.00019 | loss  0.324
EP 15/100 | time  4.46s | reward  -5582.4 | evac 170 | died 310 | eps 0.687 | lr 0.00018 | loss  0.349
EP 16/100 | time  4.36s | reward  -4767.7 | evac 180 | died 300 | eps 0.671 | lr 0.00017 | loss  0.368
EP 17/100 | time  4.83s | reward  -2990.0 | evac 231 | died 249 | eps 0.653 | lr 0.00017 | loss  0.411
EP 18/100 | time  5.01s | reward  -4679.9 | evac 183 | died 297 | eps 0.635 | lr 0.00016 | loss  0.467
EP 19/100 | time  4.84s | reward   -591.2 | evac 200 | died 280 | eps 0.619 | lr 0.00016 | loss  0.482
EP 20/100 | time  5.25s | reward  -2766.8 | evac 200 | died 280 | eps 0.603 | lr 0.00015 | loss  0.516
EP 21/100 | time  5.93s | reward  -3865.6 | evac 214 | died 266 | eps 0.585 | lr 0.00015 | loss  0.499
EP 22/100 | time  5.24s | reward  -1770.6 | evac 200 | died 280 | eps 0.570 | lr 0.00014 | loss  0.532
EP 23/100 | time  5.23s | reward   1077.4 | evac 201 | died 279 | eps 0.556 | lr 0.00014 | loss  0.568
EP 24/100 | time  4.97s | reward   3744.6 | evac 258 | died 222 | eps 0.542 | lr 0.00013 | loss  0.619
EP 25/100 | time  4.98s | reward   4384.3 | evac 245 | died 235 | eps 0.527 | lr 0.00013 | loss  0.601
EP 26/100 | time  4.53s | reward   6394.2 | evac 233 | died 247 | eps 0.513 | lr 0.00012 | loss  0.646
EP 27/100 | time  5.13s | reward   2974.8 | evac 225 | died 255 | eps 0.499 | lr 0.00012 | loss  0.652
EP 28/100 | time  4.38s | reward   9406.2 | evac 255 | died 225 | eps 0.487 | lr 0.00012 | loss  0.675
EP 29/100 | time  4.74s | reward  10694.8 | evac 260 | died 220 | eps 0.475 | lr 0.00011 | loss  0.678
EP 30/100 | time  5.04s | reward  12325.7 | evac 278 | died 202 | eps 0.463 | lr 0.00011 | loss  0.741
EP 31/100 | time  4.59s | reward   9163.8 | evac 251 | died 229 | eps 0.451 | lr 0.00010 | loss  0.800
EP 32/100 | time  4.40s | reward  10834.9 | evac 251 | died 229 | eps 0.440 | lr 0.00010 | loss  0.784
EP 33/100 | time  4.53s | reward  13946.4 | evac 268 | died 212 | eps 0.429 | lr 0.00010 | loss  0.772
EP 34/100 | time  4.34s | reward  12121.1 | evac 269 | died 211 | eps 0.418 | lr 0.00009 | loss  0.800
EP 35/100 | time  4.46s | reward  13960.5 | evac 283 | died 197 | eps 0.407 | lr 0.00009 | loss  0.843
EP 36/100 | time  4.69s | reward  14376.4 | evac 276 | died 204 | eps 0.396 | lr 0.00009 | loss  0.852
EP 37/100 | time  4.32s | reward  16414.0 | evac 299 | died 181 | eps 0.387 | lr 0.00009 | loss  0.875
EP 38/100 | time  4.54s | reward  14061.2 | evac 270 | died 210 | eps 0.377 | lr 0.00008 | loss  0.905
EP 39/100 | time  4.56s | reward  14898.9 | evac 285 | died 195 | eps 0.367 | lr 0.00008 | loss  0.934
EP 40/100 | time  4.42s | reward  15612.4 | evac 286 | died 194 | eps 0.358 | lr 0.00008 | loss  0.921
EP 41/100 | time  4.52s | reward  17823.8 | evac 288 | died 192 | eps 0.348 | lr 0.00007 | loss  0.956
EP 42/100 | time  4.30s | reward  15023.9 | evac 277 | died 203 | eps 0.340 | lr 0.00007 | loss  1.030
EP 43/100 | time  4.48s | reward  20172.2 | evac 289 | died 191 | eps 0.331 | lr 0.00007 | loss  1.055
EP 44/100 | time  4.45s | reward  15127.8 | evac 263 | died 217 | eps 0.323 | lr 0.00007 | loss  1.076
EP 45/100 | time  4.37s | reward  13352.3 | evac 245 | died 235 | eps 0.315 | lr 0.00006 | loss  1.034
EP 46/100 | time  4.49s | reward  19177.6 | evac 286 | died 194 | eps 0.307 | lr 0.00006 | loss  1.071
EP 47/100 | time  4.46s | reward  19537.6 | evac 308 | died 172 | eps 0.299 | lr 0.00006 | loss  1.059
EP 48/100 | time  4.35s | reward  14886.9 | evac 243 | died 237 | eps 0.292 | lr 0.00006 | loss  1.122
EP 49/100 | time  4.47s | reward  22404.6 | evac 305 | died 175 | eps 0.284 | lr 0.00006 | loss  1.115
EP 50/100 | time  4.66s | reward  14068.7 | evac 267 | died 213 | eps 0.277 | lr 0.00005 | loss  1.143
EP 51/100 | time  4.56s | reward  24445.4 | evac 310 | died 170 | eps 0.270 | lr 0.00005 | loss  1.151
EP 52/100 | time  4.80s | reward  23644.1 | evac 296 | died 184 | eps 0.262 | lr 0.00005 | loss  1.169
EP 53/100 | time  4.58s | reward  21166.0 | evac 283 | died 197 | eps 0.256 | lr 0.00005 | loss  1.230
EP 54/100 | time  4.98s | reward  24103.3 | evac 331 | died 149 | eps 0.249 | lr 0.00005 | loss  1.263
EP 55/100 | time  4.78s | reward  23311.7 | evac 288 | died 192 | eps 0.243 | lr 0.00005 | loss  1.263
EP 56/100 | time  4.62s | reward  19292.2 | evac 297 | died 183 | eps 0.237 | lr 0.00004 | loss  1.262
EP 57/100 | time  4.61s | reward  21474.4 | evac 294 | died 186 | eps 0.231 | lr 0.00004 | loss  1.270
EP 58/100 | time  4.93s | reward  24568.3 | evac 301 | died 179 | eps 0.224 | lr 0.00004 | loss  1.304
EP 59/100 | time  4.14s | reward  18125.6 | evac 289 | died 191 | eps 0.219 | lr 0.00004 | loss  1.366
EP 60/100 | time  4.67s | reward  23089.9 | evac 277 | died 203 | eps 0.213 | lr 0.00004 | loss  1.393
EP 61/100 | time  4.51s | reward  20128.9 | evac 271 | died 209 | eps 0.208 | lr 0.00004 | loss  1.450
EP 62/100 | time  5.01s | reward  17363.6 | evac 235 | died 245 | eps 0.202 | lr 0.00004 | loss  1.453
EP 63/100 | time  4.76s | reward  26155.5 | evac 305 | died 175 | eps 0.196 | lr 0.00004 | loss  1.511
EP 64/100 | time  4.40s | reward  22717.0 | evac 294 | died 186 | eps 0.192 | lr 0.00003 | loss  1.532
