Using device: cuda
ALGORITHM: DuelingDDQNPrioritized
EP 1/100 | time  2.47s | reward -15227.7 | evac 115 | died 365 | eps 0.975 | lr 0.00029 | loss  0.226
EP 2/100 | time  1.83s | reward  -3606.6 | evac  99 | died 381 | eps 0.951 | lr 0.00028 | loss  0.051
EP 3/100 | time  1.87s | reward  -7550.2 | evac  80 | died 400 | eps 0.926 | lr 0.00027 | loss  0.083
EP 4/100 | time  1.82s | reward   6220.6 | evac 233 | died 247 | eps 0.903 | lr 0.00026 | loss  0.129
EP 5/100 | time  1.88s | reward   3713.8 | evac 248 | died 232 | eps 0.880 | lr 0.00025 | loss  0.228
EP 6/100 | time  1.87s | reward  10555.3 | evac 296 | died 184 | eps 0.857 | lr 0.00024 | loss  0.360
EP 7/100 | time  1.74s | reward   7078.3 | evac 228 | died 252 | eps 0.837 | lr 0.00024 | loss  0.540
EP 8/100 | time  1.73s | reward  10577.2 | evac 295 | died 185 | eps 0.817 | lr 0.00023 | loss  0.613
EP 9/100 | time  1.84s | reward   8943.1 | evac 231 | died 249 | eps 0.797 | lr 0.00022 | loss  0.780
EP 10/100 | time  1.74s | reward  10817.3 | evac 268 | died 212 | eps 0.778 | lr 0.00021 | loss  0.868
EP 11/100 | time  1.85s | reward  13328.0 | evac 278 | died 202 | eps 0.758 | lr 0.00021 | loss  1.003
EP 12/100 | time  1.82s | reward  17705.4 | evac 342 | died 138 | eps 0.740 | lr 0.00020 | loss  1.235
EP 13/100 | time  1.92s | reward  15767.8 | evac 287 | died 193 | eps 0.720 | lr 0.00019 | loss  1.657
EP 14/100 | time  1.88s | reward  17732.6 | evac 289 | died 191 | eps 0.701 | lr 0.00019 | loss  2.225
EP 15/100 | time  1.78s | reward  17343.2 | evac 303 | died 177 | eps 0.685 | lr 0.00018 | loss  2.159
EP 16/100 | time  1.76s | reward  15870.4 | evac 284 | died 196 | eps 0.668 | lr 0.00017 | loss  2.310
EP 17/100 | time  2.12s | reward  16553.5 | evac 285 | died 195 | eps 0.652 | lr 0.00017 | loss  2.008
EP 18/100 | time  2.41s | reward  17007.1 | evac 277 | died 203 | eps 0.635 | lr 0.00016 | loss  2.677
EP 19/100 | time  2.37s | reward  18846.8 | evac 297 | died 183 | eps 0.619 | lr 0.00016 | loss  2.648
EP 20/100 | time  2.31s | reward  20235.0 | evac 300 | died 180 | eps 0.603 | lr 0.00015 | loss  2.345
EP 21/100 | time  1.92s | reward  16918.0 | evac 313 | died 167 | eps 0.588 | lr 0.00015 | loss  2.312
EP 22/100 | time  1.82s | reward  17942.8 | evac 298 | died 182 | eps 0.573 | lr 0.00014 | loss  2.515
EP 23/100 | time  1.88s | reward  16887.2 | evac 292 | died 188 | eps 0.558 | lr 0.00014 | loss  2.642
EP 24/100 | time  1.84s | reward  22616.2 | evac 311 | died 169 | eps 0.545 | lr 0.00013 | loss  2.588
