Using device: cuda
ALGORITHM: NoisyDuelingDDQN
EP 1/100 | time  2.95s | reward -27253.7 | evac  31 | died 449 | eps  nan | lr 0.00029 | loss  1.116
EP 2/100 | time  2.75s | reward  -7356.0 | evac 106 | died 374 | eps  nan | lr 0.00028 | loss  0.394
EP 3/100 | time  2.62s | reward  36994.6 | evac 339 | died 141 | eps  nan | lr 0.00027 | loss  0.313
EP 4/100 | time  2.47s | reward  38592.0 | evac 341 | died 139 | eps  nan | lr 0.00026 | loss  0.565
EP 5/100 | time  2.53s | reward  42297.0 | evac 326 | died 154 | eps  nan | lr 0.00025 | loss  0.680
EP 6/100 | time  2.34s | reward  48795.2 | evac 382 | died  98 | eps  nan | lr 0.00024 | loss  0.930
EP 7/100 | time  2.47s | reward  47902.3 | evac 386 | died  94 | eps  nan | lr 0.00024 | loss  1.042
EP 8/100 | time  2.84s | reward  53664.4 | evac 364 | died 116 | eps  nan | lr 0.00023 | loss  1.153
EP 9/100 | time  2.95s | reward  53093.1 | evac 394 | died  86 | eps  nan | lr 0.00022 | loss  1.334
EP 10/100 | time  2.65s | reward  45829.5 | evac 406 | died  74 | eps  nan | lr 0.00021 | loss  1.541
EP 11/100 | time  2.59s | reward  48867.0 | evac 402 | died  78 | eps  nan | lr 0.00021 | loss  2.035
EP 12/100 | time  2.45s | reward  55413.4 | evac 401 | died  79 | eps  nan | lr 0.00020 | loss  2.223
EP 13/100 | time  2.90s | reward  60847.7 | evac 383 | died  97 | eps  nan | lr 0.00019 | loss  2.606
EP 14/100 | time  2.82s | reward  63581.7 | evac 391 | died  89 | eps  nan | lr 0.00019 | loss  2.896
EP 15/100 | time  2.50s | reward  57597.9 | evac 418 | died  62 | eps  nan | lr 0.00018 | loss  3.225
EP 16/100 | time  2.43s | reward  53569.9 | evac 401 | died  79 | eps  nan | lr 0.00017 | loss  4.097
EP 17/100 | time  2.57s | reward  57448.2 | evac 398 | died  82 | eps  nan | lr 0.00017 | loss  4.725
EP 18/100 | time  2.26s | reward  50824.2 | evac 401 | died  79 | eps  nan | lr 0.00016 | loss  5.249
EP 19/100 | time  2.44s | reward  52802.2 | evac 395 | died  85 | eps  nan | lr 0.00016 | loss  5.674
EP 20/100 | time  2.72s | reward  56573.9 | evac 380 | died 100 | eps  nan | lr 0.00015 | loss  6.075
EP 21/100 | time  2.53s | reward  54076.1 | evac 395 | died  85 | eps  nan | lr 0.00015 | loss  6.112
EP 22/100 | time  2.49s | reward  50136.1 | evac 394 | died  86 | eps  nan | lr 0.00014 | loss  6.296
EP 23/100 | time  2.53s | reward  51523.9 | evac 373 | died 107 | eps  nan | lr 0.00014 | loss  6.549
EP 24/100 | time  2.67s | reward  52846.5 | evac 388 | died  92 | eps  nan | lr 0.00013 | loss  6.707
EP 25/100 | time  2.32s | reward  39054.9 | evac 356 | died 124 | eps  nan | lr 0.00013 | loss  7.344
EP 26/100 | time  2.43s | reward  38395.1 | evac 343 | died 137 | eps  nan | lr 0.00012 | loss  7.167
EP 27/100 | time  2.55s | reward  50049.8 | evac 390 | died  90 | eps  nan | lr 0.00012 | loss  7.115
EP 28/100 | time  2.66s | reward  49500.0 | evac 373 | died 107 | eps  nan | lr 0.00012 | loss  7.191
EP 29/100 | time  2.35s | reward  42969.1 | evac 398 | died  82 | eps  nan | lr 0.00011 | loss  7.385
EP 30/100 | time  2.56s | reward  46881.0 | evac 370 | died 110 | eps  nan | lr 0.00011 | loss  7.723
EP 31/100 | time  2.49s | reward  49096.2 | evac 365 | died 115 | eps  nan | lr 0.00010 | loss  6.883
EP 32/100 | time  2.58s | reward  42535.2 | evac 330 | died 150 | eps  nan | lr 0.00010 | loss  7.476
EP 33/100 | time  2.63s | reward  43247.5 | evac 326 | died 154 | eps  nan | lr 0.00010 | loss  7.754
EP 34/100 | time  2.40s | reward  38446.0 | evac 343 | died 137 | eps  nan | lr 0.00009 | loss  7.744
EP 35/100 | time  2.56s | reward  45404.2 | evac 365 | died 115 | eps  nan | lr 0.00009 | loss  7.845
EP 36/100 | time  2.56s | reward  47547.4 | evac 366 | died 114 | eps  nan | lr 0.00009 | loss  7.934
EP 37/100 | time  2.55s | reward  49056.1 | evac 379 | died 101 | eps  nan | lr 0.00009 | loss  8.124
EP 38/100 | time  2.60s | reward  49925.6 | evac 387 | died  93 | eps  nan | lr 0.00008 | loss  8.442
EP 39/100 | time  2.34s | reward  46537.0 | evac 382 | died  98 | eps  nan | lr 0.00008 | loss  7.845
EP 40/100 | time  2.43s | reward  45775.6 | evac 363 | died 117 | eps  nan | lr 0.00008 | loss  8.346
EP 41/100 | time  2.45s | reward  48377.3 | evac 379 | died 101 | eps  nan | lr 0.00007 | loss  8.248
EP 42/100 | time  2.46s | reward  47805.0 | evac 370 | died 110 | eps  nan | lr 0.00007 | loss  8.683
EP 43/100 | time  2.49s | reward  45676.6 | evac 364 | died 116 | eps  nan | lr 0.00007 | loss  8.346
EP 44/100 | time  2.34s | reward  43232.5 | evac 359 | died 121 | eps  nan | lr 0.00007 | loss  8.038
EP 45/100 | time  2.41s | reward  46871.1 | evac 366 | died 114 | eps  nan | lr 0.00006 | loss  8.308
EP 46/100 | time  2.24s | reward  40672.4 | evac 358 | died 122 | eps  nan | lr 0.00006 | loss  8.448
EP 47/100 | time  2.32s | reward  43927.9 | evac 386 | died  94 | eps  nan | lr 0.00006 | loss  8.343
