episode,reward,evacuated,died,avg_steps,avg_hp,epsilon,loss,duration,lr,evac_min,evac_max
1,-17199.941499710083,74,406,16.66216278076172,65.20270538330078,0.9731952935922759,0.1892093291222039,60.65777397155762,0.0003,4,10
2,-9808.22349357605,140,340,35.585716247558594,34.46428680419922,0.9471090794701564,0.07627771791638964,64.61860799789429,0.0002899679793470544,7,22
3,-8428.537779808044,99,381,24.353534698486328,51.51515197753906,0.9221466651242586,0.13762989498931785,63.900864601135254,0.0002802714301553792,3,15
4,753.1085567474365,218,262,35.481651306152344,30.27522850036621,0.8945404837788618,0.27538860453800723,70.04918026924133,0.00027089913423621466,12,28
5,3689.682831764221,246,234,35.475608825683594,27.5406494140625,0.8693606925094077,0.38678649596629605,67.46436095237732,0.00026184024853780535,17,33
6,5960.901163101196,318,162,39.32389831542969,23.191823959350586,0.8452788451602798,0.5686585761484553,66.8070797920227,0.00025308429260079314,25,38
7,2812.098861217499,201,279,29.97512435913086,38.184078216552734,0.8222426499470601,0.864013152817885,66.71757483482361,0.0002446211364331022,13,25
8,3968.527840614319,254,226,34.66535568237305,32.972442626953125,0.8002026771193206,0.9669771593506054,65.75908637046814,0.0002364409887902892,20,29
9,6292.505990982056,269,211,34.360595703125,38.940521240234375,0.7787534792924625,1.365838432716111,65.91612911224365,0.00022853438584779901,21,30
10,10115.883419036865,345,135,38.41159439086914,29.492753982543945,0.7561361470777145,1.6934477966278791,69.517826795578,0.00022089218025202117,24,40
11,2598.961390018463,200,280,24.03499984741211,55.0,0.7351906920715507,1.8812405281379574,66.49848675727844,0.00021350553053747965,14,24
12,7855.777505874634,289,191,31.64706039428711,36.33218002319336,0.7158136899114572,2.133791641942386,65.0368218421936,0.00020636589089791265,20,36
13,7594.385461807251,286,194,32.786712646484375,44.318180084228516,0.6956647535283346,2.02814995473431,67.0141909122467,0.00019946500129940805,22,35
14,9678.515335083008,220,260,24.740907669067383,58.75,0.6770176640518061,2.0956403208991228,65.92107915878296,0.00019279487792415645,14,30
15,8773.20666885376,248,232,26.310483932495117,55.54435348510742,0.6597812965139382,2.3765085765293668,63.1897394657135,0.00018634780393376557,20,30
16,11018.97891998291,288,192,29.10416603088379,48.87152862548828,0.6420960525675747,2.627959417084516,66.04130148887634,0.00018011632054145026,20,34
17,8637.834949493408,268,212,24.436567306518555,58.3955192565918,0.6266138646723153,3.0312278878014043,60.784921646118164,0.00017409321838276893,20,32
18,7321.545021057129,219,261,23.995431900024414,62.899539947509766,0.6086953723348804,3.213717906248002,68.81628799438477,0.00016827152917492326,17,30
19,10343.692810058594,233,247,23.21459197998047,64.377685546875,0.5915616341754524,3.129937485341103,69.08564472198486,0.00016264451765497136,17,32
20,13473.597454071045,253,227,24.82213592529297,66.79842376708984,0.5759701812546489,3.1157885461018004,65.2395236492157,0.00015720567378762787,14,35
21,14119.228591918945,254,226,21.535432815551758,69.58661651611328,0.5607896633744868,3.434805826894168,65.41540265083313,0.00015194870523363552,20,33
22,11464.731033325195,235,245,21.382978439331055,75.53191375732422,0.5465123745198487,3.7567162481801852,63.39781141281128,0.00014686753006999494,18,32
23,14387.349643707275,243,237,22.189300537109375,77.46913146972656,0.5303957066945119,4.034206812198345,71.30777096748352,0.00014195626975363061,17,31
24,15087.067455291748,248,232,20.677419662475586,74.59677124023438,0.5154659707832145,4.188921732287253,68.11471009254456,0.00013720924232035216,20,31
25,14741.406436920166,287,193,23.811847686767578,64.63414764404297,0.5028054772806144,3.800370534261068,60.94484615325928,0.00013262095581124286,21,35
26,14033.493682861328,251,229,20.60557746887207,77.29084014892578,0.48977881936842127,4.187200705210368,63.249406576156616,0.00012818610191887028,17,35
27,15056.086483001709,268,212,22.630596160888672,73.973876953125,0.47686999810175285,4.0766313877599,64.51932334899902,0.00012389954984596798,19,32
28,13303.514873504639,256,224,20.875,78.80859375,0.4638739667560055,4.262926322221756,65.23127317428589,0.00011975634036948327,16,37
29,17699.11186981201,296,184,24.030405044555664,67.0608139038086,0.4499870338721249,4.0636180278026695,70.91260743141174,0.00011575168010312381,25,36
30,15145.74764251709,254,226,19.62598419189453,81.39763641357422,0.4375221051582262,4.194196640468035,67.16548109054565,0.00011188093595176484,16,34
