episode,reward,evacuated,died,avg_steps,avg_hp,epsilon,loss,duration,lr,evac_min,evac_max
1,-14934.398425102234,84,396,14.916666984558105,79.76190948486328,0.9754387404402978,0.053260633928908244,4799.27326965332,0.0003,6,13
2,-15416.320093154907,94,386,19.404254913330078,73.67021179199219,0.9501671247555608,0.035859835056359306,6.250469923019409,0.0002899679793470544,6,12
3,-17354.93145608902,107,373,20.476634979248047,76.16822052001953,0.9238468875379396,0.03598156925596175,6.441416263580322,0.0002802714301553792,8,14
4,-14340.772826194763,121,359,22.51239585876465,67.76859283447266,0.8999119108700451,0.04357769876195673,6.056383371353149,0.00027089913423621466,10,14
5,-13070.819039821625,124,356,21.080644607543945,72.17741394042969,0.8757900363063601,0.05360017780025127,6.379668712615967,0.00026184024853780535,8,16
6,-16067.921469211578,130,350,24.96923065185547,60.0,0.850746164889688,0.06945267958300454,6.758326053619385,0.00025308429260079314,9,15
7,-13776.839979171753,161,319,27.782609939575195,58.85093307495117,0.8267991091178599,0.0756280011227054,6.6835198402404785,0.0002446211364331022,11,22
8,-9548.282523155212,141,339,21.482269287109375,73.75886535644531,0.8057494170914391,0.08783906059605735,6.0912861824035645,0.0002364409887902892,9,20
9,-12075.225580215454,162,318,27.364198684692383,60.80247116088867,0.7827084095905986,0.10449402270809052,7.065605878829956,0.00022853438584779901,12,20
10,-10378.442430496216,189,291,27.08465576171875,61.90475845336914,0.7582283175716148,0.11619904281004616,7.8151280879974365,0.00022089218025202117,14,24
11,-4426.66622543335,201,279,26.776119232177734,71.2686538696289,0.7362070974947205,0.14777462522033602,6.98685359954834,0.00021350553053747965,17,24
12,-5429.007612228394,193,287,26.549222946166992,67.22797393798828,0.7161434102128854,0.18519646028677622,6.349915981292725,0.00020636589089791265,17,22
13,-3033.320418357849,207,273,24.966182708740234,73.42994689941406,0.6959851927647716,0.21248658301849518,5.297024250030518,0.00019946500129940805,13,25
14,1872.3912506103516,235,245,25.097871780395508,72.76595306396484,0.6760829753919635,0.2547100803681782,5.467749118804932,0.00019279487792415645,20,29
15,765.786169052124,219,261,23.488582611083984,77.8538818359375,0.6588704043340547,0.3062227587880833,4.6556620597839355,0.00018634780393376557,14,28
16,3899.6014556884766,253,227,25.16996192932129,75.79051971435547,0.6412095765851421,0.33495758650666574,4.948937654495239,0.00018011632054145026,21,32
17,6042.827063560486,247,233,22.627531051635742,74.79756927490234,0.6245971525332554,0.39650620912250717,4.775647878646851,0.00017409321838276893,20,31
18,6266.104602098465,249,231,23.69076156616211,78.31324768066406,0.6067363295884844,0.40853781572410036,5.229131460189819,0.00016827152917492326,18,29
19,8919.802574157715,267,213,24.48314666748047,72.7528076171875,0.5907449258672045,0.46433211220749493,4.864835739135742,0.00016264451765497136,20,31
